	bsrc.name.new	btgt.name.new	bweight.new	bcommon.num.new
fra_spa	fra	spa	0.158315495172775	36240
eng_zho	eng	zho	0.646049481245012	40475
por_eng	por	eng	0.0157012591083708	2297
lat_nld	lat	nld	0.00532454588716991	593
slk_eng	slk	eng	0.00272054903140252	398
fra_mkd	fra	mkd	0.0933094078441425	364
grc_pol	grc	pol	0.00814650677789364	625
spa_fra	spa	fra	0.0351710747579289	8387
ron_deu	ron	deu	0.00256397967986198	749
spa_ara	spa	ara	0.0271460602178091	339
fro_fra	fro	fra	0.0015474098707137	369
gmh_deu	gmh	deu	0.00120154454957484	351
cat_spa	cat	spa	0.0233410510681054	5343
hbs_mkd	hbs	mkd	0.134324532171238	524
rus_slk	rus	slk	0.0961254518609032	1888
rus_lit	rus	lit	0.14753673852528	2279
jpn_zho	jpn	zho	0.114860335195531	7196
deu_fra	deu	fra	0.0970926307225859	23153
lat_jpn	lat	jpn	0.00233014752507774	305
ces_hun	ces	hun	0.0246412918947426	1355
lat_ces	lat	ces	0.00620713199466187	400
hbs_eng	hbs	eng	0.0266518107372825	3899
swe_ces	swe	ces	0.00491915210576953	317
deu_hbs	deu	hbs	0.11177724487077	5034
fra_ces	fra	ces	0.0643524409546569	4147
kor_fra	kor	fra	0.00469255188435942	1119
deu_swe	deu	swe	0.0522681620354871	3747
grc_swe	grc	swe	0.00446378752371387	320
fin_fra	fin	fra	0.00135870134989495	324
ara_spa	ara	spa	0.00493206937224237	1129
rus_ara	rus	ara	0.122837924407431	1534
grc_dan	grc	dan	0.00470686276022778	305
spa_ron	spa	ron	0.0258882149046794	478
slk_deu	slk	deu	0.0011981213457299	350
deu_nor	deu	nor	0.0508024301548244	2333
swe_est	swe	est	0.0377092938607134	777
bul_rus	bul	rus	0.0134465761368579	1113
slv_eng	slv	eng	0.00317853090352304	465
grc_hun	grc	hun	0.00561930567931768	309
spa_ell	spa	ell	0.0329662314929619	904
fra_heb	fra	heb	0.0622206003101907	682
nor_eng	nor	eng	0.00909128193910892	1330
rus_uig	rus	uig	0.262096774193548	390
pol_ita	pol	ita	0.00528163128865118	316
por_ita	por	ita	0.0059669062343306	357
jpn_rus	jpn	rus	0.0061252597496738	507
pol_eng	pol	eng	0.015537205900447	2273
eng_hbs	eng	hbs	0.513389288569145	23121
zho_kaz	zho	kaz	0.13080684596577	321
spa_bul	spa	bul	0.0158884313573149	409
fin_eng	fin	eng	0.010793333971318	1579
deu_eus	deu	eus	0.0815702268671935	320
eng_ara	eng	ara	0.535233824471493	6684
heb_fra	heb	fra	0.00536351551393717	1279
spa_por	spa	por	0.0696055994967947	5201
spa_hbs	spa	hbs	0.0246913580246914	1112
est_deu	est	deu	0.00152674891484438	446
tur_deu	tur	deu	0.00235858744916542	689
fra_nld	fra	nld	0.104264126208798	11612
lat_pol	lat	pol	0.00753388946819604	578
swe_dan	swe	dan	0.115943147270791	7513
ukr_eng	ukr	eng	0.00280941118569456	411
hbs_ita	hbs	ita	0.0101286979776032	606
deu_sqi	deu	sqi	0.08628089388782	583
deu_eng	deu	eng	0.191586804653643	28028
nor_deu	nor	deu	0.00675398118607167	1973
spa_hun	spa	hun	0.0147484042262998	811
ara_msa	ara	msa	0.189992614475628	1029
spa_cat	spa	cat	0.200844256831815	3616
spa_swe	spa	swe	0.00922051110367146	661
ita_dan	ita	dan	0.00950631954196824	616
spa_deu	spa	deu	0.022226862565212	6493
ces_eng	ces	eng	0.0213132459294298	3118
jpn_deu	jpn	deu	0.00715449603592995	2090
cat_fra	cat	fra	0.0028893371298692	689
jpn_nld	jpn	nld	0.00299898537321206	334
rus_hin	rus	hin	0.157729606389047	553
hye_rus	hye	rus	0.00577489972454453	478
rus_nld	rus	nld	0.00929326305770802	1035
eng_nld	eng	nld	0.659264979213619	73423
pol_rus	pol	rus	0.0188469530759194	1560
lat_spa	lat	spa	0.0126599973788825	2898
jpn_fra	jpn	fra	0.0359636505453676	8576
rus_bak	rus	bak	0.910358565737052	457
bel_rus	bel	rus	0.00854153578504808	707
kaz_rus	kaz	rus	0.00808244333832697	669
fin_deu	fin	deu	0.00229354657611151	670
fra_hun	fra	hun	0.0717779919620288	3947
spa_pol	spa	pol	0.0193952033368092	1488
deu_pol	deu	pol	0.131856100104275	10116
fra_isl	fra	isl	0.0535769112680381	349
yid_deu	yid	deu	0.00104407717270748	305
eng_pol	eng	pol	0.588933785192909	45183
swe_nor	swe	nor	0.133636739760033	6137
nor_pol	nor	pol	0.00598279457768509	459
slk_ces	slk	ces	0.0171627199652401	1106
fra_kor	fra	kor	0.0723430924881368	1616
eng_glg	eng	glg	0.182201602699283	432
swe_jpn	swe	jpn	0.00459917642654687	602
ita_nld	ita	nld	0.0157401837103016	1753
rus_pol	rus	pol	0.0439259645464025	3370
zho_uig	zho	uig	0.565188172043011	841
