	bweight.new	bcommon.num.new
fra (pp) spa	0.158315495172775	36240
eng (pp) zho	0.646049481245012	40475
por (pp) eng	0.0157012591083708	2297
lat (pp) eus	0.00866683660463931	34
lat (pp) nld	0.00532454588716991	593
slk (pp) eng	0.00272054903140252	398
tur (pp) sqi	0.0180553500073997	122
fra (pp) msa	0.0365583456425406	198
swe (pp) ita	0.00307538024402474	184
fra (pp) mkd	0.0933094078441425	364
swe (pp) bul	0.00357392587988501	92
hbs (pp) ara	0.00288276745675849	36
bel (pp) pol	0.00116006256517205	89
udm (pp) rus	0.00106316145556468	88
grc (pp) heb	0.00301067420855761	33
heb (pp) slv	0.00277792617126983	52
grc (pp) pol	0.00814650677789364	625
bul (pp) ara	0.00280269058295964	35
ron (pp) mkd	0.00845936939246347	33
nld (pp) por	0.00226174703229346	169
spa (pp) fra	0.0351710747579289	8387
pol (pp) heb	0.00738983669373232	81
zho (pp) dan	0.00135804564885261	88
ron (pp) deu	0.00256397967986198	749
fra (pp) epo	0.0664206642066421	36
spa (pp) ara	0.0271460602178091	339
grc (pp) lit	0.00524373664789279	81
eng (pp) mlt	0.348837209302326	30
fro (pp) fra	0.0015474098707137	369
gmh (pp) deu	0.00120154454957484	351
cat (pp) spa	0.0233410510681054	5343
hbs (pp) mkd	0.134324532171238	524
deu (pp) hin	0.017969195664575	63
ara (pp) por	0.00124463002368812	93
rus (pp) slk	0.0961254518609032	1888
por (pp) ara	0.00240230621396541	30
jpn (pp) cat	0.00316596311930682	57
fas (pp) fra	0.00123289566934912	294
kat (pp) hye	0.0154277699859748	33
rus (pp) lit	0.14753673852528	2279
pol (pp) cat	0.00227727171739613	41
dan (pp) bul	0.00295237355294849	76
tgk (pp) rus	0.00339486782970087	281
jpn (pp) zho	0.114860335195531	7196
deu (pp) fra	0.0970926307225859	23153
fin (pp) lit	0.00343108694244837	53
bul (pp) lit	0.00207159966336505	32
ces (pp) cat	0.00261053099311264	47
lat (pp) jpn	0.00233014752507774	305
ces (pp) hun	0.0246412918947426	1355
lat (pp) ces	0.00620713199466187	400
urd (pp) ben	0.0548455804046858	103
hin (pp) kan	0.0628571428571429	44
hun (pp) tur	0.00336870473303015	40
hbs (pp) eng	0.0266518107372825	3899
swe (pp) ces	0.00491915210576953	317
spa (pp) isl	0.0168867055572613	110
deu (pp) hbs	0.11177724487077	5034
fra (pp) ces	0.0643524409546569	4147
heb (pp) slk	0.0021383839926684	42
kor (pp) fra	0.00469255188435942	1119
deu (pp) swe	0.0522681620354871	3747
eng (pp) mon	0.0854312835328106	207
por (pp) kor	0.00228310502283105	51
dan (pp) tur	0.010611419909045	126
deu (pp) epo	0.134686346863469	73
grc (pp) swe	0.00446378752371387	320
zho (pp) vie	0.0381679389312977	30
tur (pp) ell	0.00386550944497119	106
oss (pp) kat	0.0174632352941176	38
fin (pp) fra	0.00135870134989495	324
zho (pp) yiz	0.991071428571429	222
ara (pp) spa	0.00493206937224237	1129
rus (pp) ara	0.122837924407431	1534
grc (pp) dan	0.00470686276022778	305
ell (pp) ita	0.00242353334447602	145
ces (pp) por	0.00127139626075668	95
spa (pp) ron	0.0258882149046794	478
slk (pp) deu	0.0011981213457299	350
non (pp) nor	0.00152429066045337	70
fin (pp) slv	0.00186975799989316	35
isl (pp) swe	0.00263642450619351	189
deu (pp) tam	0.026091888825865	46
deu (pp) nor	0.0508024301548244	2333
swe (pp) est	0.0377092938607134	777
por (pp) hbs	0.00512922994937383	231
bul (pp) rus	0.0134465761368579	1113
slv (pp) eng	0.00317853090352304	465
deu (pp) gsw	0.448275862068966	52
grc (pp) hun	0.00561930567931768	309
rus (pp) mkd	0.0730581902076391	285
rus (pp) tyv	0.865853658536585	142
pol (pp) mkd	0.00999743655472956	39
ben (pp) guj	0.122137404580153	64
spa (pp) ell	0.0329662314929619	904
pol (pp) ukr	0.0301284891448826	136
fra (pp) heb	0.0622206003101907	682
dan (pp) por	0.0018870197133336	141
eng (pp) iku	0.223684210526316	68
nor (pp) eng	0.00909128193910892	1330
rus (pp) uig	0.262096774193548	390
pol (pp) ita	0.00528163128865118	316
por (pp) ita	0.0059669062343306	357
jpn (pp) rus	0.0061252597496738	507
pol (pp) eng	0.015537205900447	2273
ara (pp) ben	0.0250266240681576	47
nor (pp) est	0.00669740354282941	138
mkd (pp) hbs	0.00455191402433609	205
eng (pp) hbs	0.513389288569145	23121
zho (pp) kaz	0.13080684596577	321
spa (pp) bul	0.0158884313573149	409
san (pp) ron	0.002328856152513	43
dan (pp) lav	0.00896255371393493	73
por (pp) cat	0.0122750499888914	221
por (pp) hun	0.00421902562330648	232
fin (pp) eng	0.010793333971318	1579
deu (pp) eus	0.0815702268671935	320
hye (pp) ukr	0.00686752326096588	31
eng (pp) ara	0.535233824471493	6684
heb (pp) fra	0.00536351551393717	1279
swe (pp) por	0.00163274046118226	122
por (pp) nor	0.00311390806349759	143
fra (pp) cos	0.78	39
spa (pp) est	0.0100461053142441	207
spa (pp) por	0.0696055994967947	5201
spa (pp) hbs	0.0246913580246914	1112
est (pp) deu	0.00152674891484438	446
tur (pp) deu	0.00235858744916542	689
fra (pp) nld	0.104264126208798	11612
sqi (pp) eng	0.0018319274884821	268
fra (pp) tam	0.0187180941576858	33
urd (pp) tur	0.00640053899275729	76
nor (pp) tur	0.00252652854977261	30
lat (pp) pol	0.00753388946819604	578
zho (pp) hun	0.00234592373020059	129
eng (pp) bre	0.142857142857143	58
ita (pp) eus	0.0310986489931175	122
guj (pp) hin	0.0328009127210496	115
swe (pp) dan	0.115943147270791	7513
rus (pp) ori	0.131648936170213	99
