	bsrc.name.new	btgt.name.new	bweight.new	bcommon.num.new
fra_spa	fra	spa	0.158315495172775	36240
eng_zho	eng	zho	0.646049481245012	40475
por_eng	por	eng	0.0157012591083708	2297
lat_eus	lat	eus	0.00866683660463931	34
lat_nld	lat	nld	0.00532454588716991	593
slk_eng	slk	eng	0.00272054903140252	398
tur_sqi	tur	sqi	0.0180553500073997	122
fra_msa	fra	msa	0.0365583456425406	198
swe_ita	swe	ita	0.00307538024402474	184
fra_mkd	fra	mkd	0.0933094078441425	364
swe_bul	swe	bul	0.00357392587988501	92
hbs_ara	hbs	ara	0.00288276745675849	36
bel_pol	bel	pol	0.00116006256517205	89
udm_rus	udm	rus	0.00106316145556468	88
grc_heb	grc	heb	0.00301067420855761	33
heb_slv	heb	slv	0.00277792617126983	52
grc_pol	grc	pol	0.00814650677789364	625
bul_ara	bul	ara	0.00280269058295964	35
ron_mkd	ron	mkd	0.00845936939246347	33
nld_por	nld	por	0.00226174703229346	169
spa_fra	spa	fra	0.0351710747579289	8387
pol_heb	pol	heb	0.00738983669373232	81
zho_dan	zho	dan	0.00135804564885261	88
ron_deu	ron	deu	0.00256397967986198	749
fra_epo	fra	epo	0.0664206642066421	36
spa_ara	spa	ara	0.0271460602178091	339
grc_lit	grc	lit	0.00524373664789279	81
eng_mlt	eng	mlt	0.348837209302326	30
fro_fra	fro	fra	0.0015474098707137	369
gmh_deu	gmh	deu	0.00120154454957484	351
cat_spa	cat	spa	0.0233410510681054	5343
hbs_mkd	hbs	mkd	0.134324532171238	524
deu_hin	deu	hin	0.017969195664575	63
ara_por	ara	por	0.00124463002368812	93
rus_slk	rus	slk	0.0961254518609032	1888
por_ara	por	ara	0.00240230621396541	30
jpn_cat	jpn	cat	0.00316596311930682	57
fas_fra	fas	fra	0.00123289566934912	294
kat_hye	kat	hye	0.0154277699859748	33
rus_lit	rus	lit	0.14753673852528	2279
pol_cat	pol	cat	0.00227727171739613	41
dan_bul	dan	bul	0.00295237355294849	76
tgk_rus	tgk	rus	0.00339486782970087	281
jpn_zho	jpn	zho	0.114860335195531	7196
deu_fra	deu	fra	0.0970926307225859	23153
fin_lit	fin	lit	0.00343108694244837	53
bul_lit	bul	lit	0.00207159966336505	32
ces_cat	ces	cat	0.00261053099311264	47
lat_jpn	lat	jpn	0.00233014752507774	305
ces_hun	ces	hun	0.0246412918947426	1355
lat_ces	lat	ces	0.00620713199466187	400
urd_ben	urd	ben	0.0548455804046858	103
hin_kan	hin	kan	0.0628571428571429	44
hun_tur	hun	tur	0.00336870473303015	40
hbs_eng	hbs	eng	0.0266518107372825	3899
swe_ces	swe	ces	0.00491915210576953	317
spa_isl	spa	isl	0.0168867055572613	110
deu_hbs	deu	hbs	0.11177724487077	5034
fra_ces	fra	ces	0.0643524409546569	4147
heb_slk	heb	slk	0.0021383839926684	42
kor_fra	kor	fra	0.00469255188435942	1119
deu_swe	deu	swe	0.0522681620354871	3747
eng_mon	eng	mon	0.0854312835328106	207
por_kor	por	kor	0.00228310502283105	51
dan_tur	dan	tur	0.010611419909045	126
deu_epo	deu	epo	0.134686346863469	73
grc_swe	grc	swe	0.00446378752371387	320
zho_vie	zho	vie	0.0381679389312977	30
tur_ell	tur	ell	0.00386550944497119	106
oss_kat	oss	kat	0.0174632352941176	38
fin_fra	fin	fra	0.00135870134989495	324
zho_yiz	zho	yiz	0.991071428571429	222
ara_spa	ara	spa	0.00493206937224237	1129
rus_ara	rus	ara	0.122837924407431	1534
grc_dan	grc	dan	0.00470686276022778	305
ell_ita	ell	ita	0.00242353334447602	145
ces_por	ces	por	0.00127139626075668	95
spa_ron	spa	ron	0.0258882149046794	478
slk_deu	slk	deu	0.0011981213457299	350
non_nor	non	nor	0.00152429066045337	70
fin_slv	fin	slv	0.00186975799989316	35
isl_swe	isl	swe	0.00263642450619351	189
deu_tam	deu	tam	0.026091888825865	46
deu_nor	deu	nor	0.0508024301548244	2333
swe_est	swe	est	0.0377092938607134	777
por_hbs	por	hbs	0.00512922994937383	231
bul_rus	bul	rus	0.0134465761368579	1113
slv_eng	slv	eng	0.00317853090352304	465
deu_gsw	deu	gsw	0.448275862068966	52
grc_hun	grc	hun	0.00561930567931768	309
rus_mkd	rus	mkd	0.0730581902076391	285
rus_tyv	rus	tyv	0.865853658536585	142
pol_mkd	pol	mkd	0.00999743655472956	39
ben_guj	ben	guj	0.122137404580153	64
spa_ell	spa	ell	0.0329662314929619	904
pol_ukr	pol	ukr	0.0301284891448826	136
fra_heb	fra	heb	0.0622206003101907	682
dan_por	dan	por	0.0018870197133336	141
eng_iku	eng	iku	0.223684210526316	68
nor_eng	nor	eng	0.00909128193910892	1330
rus_uig	rus	uig	0.262096774193548	390
pol_ita	pol	ita	0.00528163128865118	316
por_ita	por	ita	0.0059669062343306	357
