	tweight.new	tcommon.num.new
fra (pp) hat	0.516556291390728	78
eng (pp) vie	0.564994882292733	552
eng (pp) ita	0.366109308709758	2934
eng (pp) swe	0.160752458315519	376
ara (pp) eng	0.00571165463385885	7753
deu (pp) eng	0.00166421099160159	2259
rus (pp) ukr	0.471830985915493	67
jpn (pp) zho	0.048637092463923	91
eng (pp) tur	0.0408117249154453	724
eng (pp) heb	0.141949152542373	67
msa (pp) por	0.00140786812336112	371
cat (pp) spa	0.00185246382342948	398
eng (pp) por	0.0961145116670904	25328
eng (pp) jpn	0.00395977089252695	1756
eng (pp) fil	0.946221161495625	11894
eng (pp) swa	0.973094170403587	217
eng (pp) hat	0.443708609271523	67
eng (pp) nld	0.271702119869659	14842
eng (pp) fra	0.296236122393718	5470
eng (pp) rus	0.0598950293300401	970
eng (pp) tha	0.0558698920322537	2044
kor (pp) tha	0.0037720377203772	138
ara (pp) fra	0.00519902518277823	96
eng (pp) hun	0.356076759061834	167
eng (pp) spa	0.12818770392229	27541
jpn (pp) kor	0.0146365761140274	764
eng (pp) tam	0.348178137651822	86
eng (pp) zho	0.121859967931587	228
eng (pp) pol	0.583484573502722	643
kor (pp) zho	0.0309994655264564	58
eng (pp) fin	0.550724637681159	114
eng (pp) kor	0.0175485650791218	916
eng (pp) msa	0.270466933561721	81476
eng (pp) ron	0.216463414634146	71
por (pp) spa	0.00409589991110035	880
eng (pp) nor	0.265	106
spa (pp) fra	0.00427836447332792	79
hat (pp) fra	0.00422420796100731	78
msa (pp) kor	0.00272041074370666	142
msa (pp) fil	0.0119331742243437	150
ita (pp) eng	0.00216148519227936	2934
spa (pp) ita	0.0179685550286998	144
eng (pp) ara	0.148325999617371	7753
eng (pp) deu	0.2757568359375	2259
ukr (pp) rus	0.004137079345477	67
por (pp) msa	0.00123156797524914	371
spa (pp) cat	0.597597597597598	398
por (pp) eng	0.0186592014144688	25328
jpn (pp) eng	0.00129364962428172	1756
fil (pp) eng	0.008762339767202	11894
nld (pp) eng	0.0109341387947547	14842
spa (pp) fil	0.00421638822593477	53
fra (pp) eng	0.00402976278178871	5470
tha (pp) eng	0.00150581994990423	2044
tha (pp) kor	0.00264377945515154	138
fra (pp) ara	0.00183661756265544	96
spa (pp) eng	0.0202895240901724	27541
kor (pp) jpn	0.00172281603752311	764
eng (pp) ell	0.110243055555556	254
zho (pp) kor	0.0011111536840492	58
eng (pp) dan	0.440414507772021	85
msa (pp) eng	0.0600235744806247	81476
jpn (pp) ell	0.03515625	81
spa (pp) por	0.00333941765109916	880
