	wweight.new	wcommon.num.new
deu (pp) fin	0.0261204289249381	95
fra (pp) spa	0.0175095506639985	385
nld (pp) spa	0.00236492632344915	52
eng (pp) zho	0.159873970932005	1573
eng (pp) ron	0.228029867892016	397
deu (pp) jpn	0.0127641224665804	296
eng (pp) tur	0.182985553772071	570
eng (pp) por	0.164162974170539	1519
eng (pp) nor	0.277136258660508	840
jpn (pp) spa	0.00377478624704384	83
pol (pp) spa	0.00254684373294524	56
glg (pp) spa	0.00427505912315809	94
eng (pp) mkd	0.213740458015267	56
ita (pp) jpn	0.00297542043984476	69
eus (pp) spa	0.00354738948517373	78
deu (pp) hun	0.0307370934049537	103
cat (pp) spa	0.0233763871202474	514
deu (pp) rus	0.019047083942016	339
eng (pp) tha	0.15036496350365	206
eng (pp) hun	0.145628170695315	488
fin (pp) swe	0.0124011118238187	58
ara (pp) eng	0.00177732232781189	444
jpn (pp) zho	0.0296778127858522	292
deu (pp) fra	0.0351270842198925	908
deu (pp) ron	0.0304422745548535	53
ell (pp) eng	0.00142105726660636	355
eng (pp) est	0.185185185185185	115
deu (pp) tur	0.0272873194221509	85
rus (pp) spa	0.00395670365653993	87
dan (pp) deu	0.00171982847577335	75
eng (pp) slk	0.170180722891566	113
rus (pp) ukr	0.234204275534442	493
deu (pp) zho	0.00843581664803334	83
eng (pp) fil	0.607142857142857	85
deu (pp) swe	0.0429762668377165	201
deu (pp) epo	0.0964285714285714	54
nor (pp) swe	0.0141116100064144	66
eng (pp) spa	0.174549754411497	3838
eng (pp) kor	0.12656023222061	436
eng (pp) msa	0.294811320754717	500
eng (pp) ita	0.123932746617628	1887
deu (pp) nor	0.0419003629165292	127
deu (pp) heb	0.0129198966408269	55
jpn (pp) rus	0.00483200359590965	86
eng (pp) hbs	0.220574162679426	461
deu (pp) nld	0.0457935365694099	350
fra (pp) ita	0.0203599106791015	310
eng (pp) swe	0.269831088304469	1262
eng (pp) epo	0.25	140
eng (pp) lat	0.322463768115942	89
eng (pp) mal	0.41358024691358	134
eng (pp) kat	0.192452830188679	51
por (pp) spa	0.00900491177005639	198
eng (pp) hin	0.434944237918216	117
fra (pp) nld	0.0226350909328798	173
eng (pp) sqi	0.244252873563218	85
eng (pp) isl	0.341121495327103	73
ita (pp) spa	0.00845915954156813	186
dan (pp) eng	0.00176531339316451	441
fra (pp) pol	0.0117722602739726	110
eng (pp) gle	0.442622950819672	54
deu (pp) sqi	0.195402298850575	68
eng (pp) fas	0.17614929449249	387
deu (pp) eng	0.0297981698383597	7444
eng (pp) jpn	0.0603277274687365	1399
eng (pp) slv	0.133644859813084	143
ara (pp) fra	0.0036751905296143	95
