	wsrc.name.new	wtgt.name.new	wweight.new	wcommon.num.new
deu_fin	deu	fin	0.0261204289249381	95
fra_spa	fra	spa	0.0175095506639985	385
nld_spa	nld	spa	0.00236492632344915	52
eng_zho	eng	zho	0.159873970932005	1573
eng_ron	eng	ron	0.228029867892016	397
deu_jpn	deu	jpn	0.0127641224665804	296
eng_tur	eng	tur	0.182985553772071	570
eng_por	eng	por	0.164162974170539	1519
eng_nor	eng	nor	0.277136258660508	840
jpn_spa	jpn	spa	0.00377478624704384	83
pol_spa	pol	spa	0.00254684373294524	56
glg_spa	glg	spa	0.00427505912315809	94
eng_mkd	eng	mkd	0.213740458015267	56
ita_jpn	ita	jpn	0.00297542043984476	69
eus_spa	eus	spa	0.00354738948517373	78
deu_hun	deu	hun	0.0307370934049537	103
cat_spa	cat	spa	0.0233763871202474	514
deu_rus	deu	rus	0.019047083942016	339
eng_tha	eng	tha	0.15036496350365	206
eng_hun	eng	hun	0.145628170695315	488
fin_swe	fin	swe	0.0124011118238187	58
ara_eng	ara	eng	0.00177732232781189	444
jpn_zho	jpn	zho	0.0296778127858522	292
deu_fra	deu	fra	0.0351270842198925	908
deu_ron	deu	ron	0.0304422745548535	53
ell_eng	ell	eng	0.00142105726660636	355
eng_est	eng	est	0.185185185185185	115
deu_tur	deu	tur	0.0272873194221509	85
rus_spa	rus	spa	0.00395670365653993	87
dan_deu	dan	deu	0.00171982847577335	75
eng_slk	eng	slk	0.170180722891566	113
rus_ukr	rus	ukr	0.234204275534442	493
deu_zho	deu	zho	0.00843581664803334	83
eng_fil	eng	fil	0.607142857142857	85
deu_swe	deu	swe	0.0429762668377165	201
deu_epo	deu	epo	0.0964285714285714	54
nor_swe	nor	swe	0.0141116100064144	66
eng_spa	eng	spa	0.174549754411497	3838
eng_kor	eng	kor	0.12656023222061	436
eng_msa	eng	msa	0.294811320754717	500
eng_ita	eng	ita	0.123932746617628	1887
deu_nor	deu	nor	0.0419003629165292	127
deu_heb	deu	heb	0.0129198966408269	55
jpn_rus	jpn	rus	0.00483200359590965	86
eng_hbs	eng	hbs	0.220574162679426	461
deu_nld	deu	nld	0.0457935365694099	350
fra_ita	fra	ita	0.0203599106791015	310
eng_swe	eng	swe	0.269831088304469	1262
eng_epo	eng	epo	0.25	140
eng_lat	eng	lat	0.322463768115942	89
eng_mal	eng	mal	0.41358024691358	134
eng_kat	eng	kat	0.192452830188679	51
por_spa	por	spa	0.00900491177005639	198
eng_hin	eng	hin	0.434944237918216	117
fra_nld	fra	nld	0.0226350909328798	173
eng_sqi	eng	sqi	0.244252873563218	85
eng_isl	eng	isl	0.341121495327103	73
ita_spa	ita	spa	0.00845915954156813	186
dan_eng	dan	eng	0.00176531339316451	441
fra_pol	fra	pol	0.0117722602739726	110
eng_gle	eng	gle	0.442622950819672	54
deu_sqi	deu	sqi	0.195402298850575	68
eng_fas	eng	fas	0.17614929449249	387
deu_eng	deu	eng	0.0297981698383597	7444
eng_jpn	eng	jpn	0.0603277274687365	1399
eng_slv	eng	slv	0.133644859813084	143
ara_fra	ara	fra	0.0036751905296143	95
fra_jpn	fra	jpn	0.00651142733937042	151
ces_eng	ces	eng	0.00146509002698007	366
deu_por	deu	por	0.0119961093699341	111
eng_heb	eng	heb	0.11933286351891	508
ita_por	ita	por	0.00648438344320761	60
jpn_nld	jpn	nld	0.00732696585110559	56
ces_deu	ces	deu	0.00210965626361531	92
eng_nld	eng	nld	0.245845872039775	1879
pol_rus	pol	rus	0.00483200359590965	86
fra_zho	fra	zho	0.00538672629332249	53
eng_lav	eng	lav	0.218354430379747	69
eng_vie	eng	vie	0.152966404574696	214
jpn_pol	jpn	pol	0.00545804794520548	51
eng_lit	eng	lit	0.196078431372549	130
fra_rus	fra	rus	0.00854028542532869	152
deu_pol	deu	pol	0.0285744863013699	267
jpn_kor	jpn	kor	0.0293178519593614	101
eng_tam	eng	tam	0.361842105263158	110
eng_pol	eng	pol	0.118043664383562	1103
fra_por	fra	por	0.0118880363125473	110
eng_mar	eng	mar	0.327044025157233	52
ita_rus	ita	rus	0.00404539835936622	72
deu_spa	deu	spa	0.0176914680734946	389
deu_hbs	deu	hbs	0.0349282296650718	73
eng_rus	eng	rus	0.117204180244971	2086
eng_ukr	eng	ukr	0.115439429928741	243
ita_pol	ita	pol	0.00738441780821918	69
eng_fra	eng	fra	0.162868969786065	4210
eng_tel	eng	tel	0.297560975609756	61
eng_fin	eng	fin	0.204839153148199	745
deu_ita	deu	ita	0.0213450676474452	325
fra_swe	fra	swe	0.0149668590977122	70
fin_deu	fin	deu	0.00217844940264624	95
spa_fra	spa	fra	0.0148941931989632	385
spa_nld	spa	nld	0.00680361114745519	52
zho_eng	zho	eng	0.00629668473344168	1573
ron_eng	ron	eng	0.00158918235166964	397
jpn_deu	jpn	deu	0.00678758971771882	296
tur_eng	tur	eng	0.00228169758300175	570
por_eng	por	eng	0.00608052390978888	1519
nor_eng	nor	eng	0.00336250170126574	840
spa_jpn	spa	jpn	0.00357912893488573	83
spa_pol	spa	pol	0.00599315068493151	56
spa_glg	spa	glg	0.292834890965732	94
jpn_ita	jpn	ita	0.00453172205438067	69
spa_eus	spa	eus	0.283636363636364	78
hun_deu	hun	deu	0.0023618977733954	103
spa_cat	spa	cat	0.255213505461768	514
rus_deu	rus	deu	0.00777362471049554	339
hun_eng	hun	eng	0.00195345336930676	488
swe_fin	swe	fin	0.0159472092383833	58
eng_ara	eng	ara	0.169530355097365	444
zho_jpn	zho	jpn	0.0125916343251401	292
fra_deu	fra	deu	0.0208213900800294	908
ron_deu	ron	deu	0.00121534545621317	53
eng_ell	eng	ell	0.295095594347465	355
tur_deu	tur	deu	0.0019491389392098	85
spa_rus	spa	rus	0.00488818968423418	87
deu_dan	deu	dan	0.0475285171102662	75
ukr_rus	ukr	rus	0.0276997415439937	493
zho_deu	zho	deu	0.00190327684652251	83
swe_deu	swe	deu	0.00460914031507258	201
eng_ben	eng	ben	0.454545454545455	105
epo_deu	epo	deu	0.00123827650255681	54
swe_nor	swe	nor	0.0217749917518971	66
spa_eng	spa	eng	0.0153634303922118	3838
kor_eng	kor	eng	0.00174529850208555	436
msa_eng	msa	eng	0.00200148910789627	500
ita_eng	ita	eng	0.00755361989320054	1887
nor_deu	nor	deu	0.00291224288564287	127
heb_deu	heb	deu	0.00126120754890046	55
rus_jpn	rus	jpn	0.00370849504096593	86
hbs_eng	hbs	eng	0.00184537295748037	461
nld_deu	nld	deu	0.00802586622027563	350
ita_fra	ita	fra	0.011992726991373	310
eng_cym	eng	cym	0.557522123893805	63
swe_eng	swe	eng	0.0050517585083302	1262
spa_por	spa	por	0.0213984653625851	198
nld_fra	nld	fra	0.00669271538550814	173
spa_ita	spa	ita	0.0122159464074609	186
eng_dan	eng	dan	0.279467680608365	441
pol_fra	pol	fra	0.00425548377113235	110
eng_afr	eng	afr	0.458333333333333	55
sqi_deu	sqi	deu	0.00155931115136784	68
fas_eng	fas	eng	0.00154915256951172	387
eng_deu	eng	deu	0.170698708982091	7444
jpn_eng	jpn	eng	0.00560016652389378	1399
fra_ara	fra	ara	0.0362733867888507	95
jpn_fra	jpn	fra	0.00584161863128167	151
eng_ces	eng	ces	0.148901545972335	366
por_deu	por	deu	0.00254534614414456	111
heb_eng	heb	eng	0.00203351293362262	508
por_ita	por	ita	0.00394062787337449	60
nld_jpn	nld	jpn	0.00241483398016386	56
eng_bul	eng	bul	0.209606986899563	240
deu_ces	deu	ces	0.0374288039056143	92
nld_eng	nld	eng	0.0075215960674742	1879
rus_pol	rus	pol	0.00920376712328767	86
zho_fra	zho	fra	0.00205036945336377	53
pol_jpn	pol	jpn	0.00219922380336352	51
eng_cat	eng	cat	0.114200595829196	230
rus_fra	rus	fra	0.00588030484738288	152
pol_deu	pol	deu	0.00612258937375312	267
kor_jpn	kor	jpn	0.00435532557136697	101
pol_eng	pol	eng	0.00441528497201918	1103
por_fra	por	fra	0.00425548377113235	110
rus_ita	rus	ita	0.00472875344804939	72
spa_deu	spa	deu	0.00892017702767777	389
hbs_deu	hbs	deu	0.00167396638308606	73
rus_eng	rus	eng	0.00835021255814326	2086
pol_ita	pol	ita	0.00453172205438067	69
fra_eng	fra	eng	0.0168525382884866	4210
fin_eng	fin	eng	0.00298221877076545	745
ita_deu	ita	deu	0.00745259006168451	325
swe_fra	swe	fra	0.00270803512708422	70
