	tweight.new	tcommon.num.new
eng (pp) vie	0.623309053069719	1198
nld (pp) tur	0.0033641042071327	168
eng (pp) zho	0.196192245182261	845
rus (pp) ukr	0.518207282913165	185
eng (pp) swa	0.97682119205298	590
kor (pp) tha	0.00882376750586902	545
jpn (pp) kor	0.0259734580992151	2376
eng (pp) spa	0.16608541360744	86864
eng (pp) pol	0.621945597049332	1349
eng (pp) kor	0.0371674063709307	3400
eng (pp) msa	0.349553676693502	207544
kor (pp) zho	0.0357557464592524	154
eng (pp) ron	0.312345679012346	253
fil (pp) ita	0.00383765554134202	66
eng (pp) fas	0.106043329532497	93
eng (pp) ita	0.402779392952669	6927
deu (pp) eng	0.00188354748334793	5603
eng (pp) tur	0.0587516770459961	2934
eng (pp) por	0.166624837313695	92947
eng (pp) jpn	0.00679265431338727	5903
eng (pp) slv	0.486631016042781	91
ara (pp) fra	0.0081377151799687	312
eng (pp) hat	0.537634408602151	200
dan (pp) nor	0.0426666666666667	64
fra (pp) hat	0.475806451612903	177
eng (pp) fil	0.942738905846443	32121
kor (pp) msa	0.00134065415838583	796
eng (pp) heb	0.231351351351351	214
msa (pp) por	0.00280376177346896	1564
cat (pp) spa	0.00330014072442487	1726
eng (pp) rus	0.0710019243745783	2841
eng (pp) tha	0.10046142637416	6205
eng (pp) hun	0.389598540145985	427
msa (pp) tur	0.00196239412082741	98
jpn (pp) rus	0.00237422837577787	95
eng (pp) nor	0.334	501
eng (pp) hbs	0.442084942084942	229
aze (pp) tur	0.00126153907767476	63
jpn (pp) tha	0.00212094228122723	131
eng (pp) nld	0.344778066877186	44656
ara (pp) fas	0.0684150513112885	60
fil (pp) msa	0.00182234648162495	1082
eng (pp) swe	0.218789209535759	1395
ara (pp) eng	0.00747670526095688	22241
jpn (pp) zho	0.0636173670768516	274
por (pp) spa	0.00488329050416055	2554
eng (pp) fra	0.36189358372457	13875
eng (pp) tam	0.425	187
eng (pp) fin	0.591355599214145	301
eng (pp) est	0.368686868686869	73
eng (pp) lav	0.19129193433262	268
eng (pp) hin	0.672514619883041	115
spa (pp) heb	0.0713513513513514	66
spa (pp) fra	0.0134324465310381	515
tur (pp) nld	0.00129708695887153	168
spa (pp) ita	0.0208163739969764	358
eng (pp) cat	0.111943092474729	299
ukr (pp) rus	0.00462349736335691	185
tha (pp) kor	0.00595771660945801	545
kor (pp) jpn	0.00273409226640829	2376
spa (pp) eng	0.0292008689262065	86864
eng (pp) dan	0.560683760683761	328
kor (pp) eng	0.00114297009519596	3400
por (pp) fil	0.00187837520544729	64
msa (pp) eng	0.069769583952162	207544
eng (pp) afr	0.81151832460733	155
zho (pp) kor	0.00168346487680098	154
ita (pp) fil	0.00193707443061752	66
ita (pp) eng	0.00232863348512424	6927
eng (pp) deu	0.32112563044475	5603
por (pp) eng	0.0312457768935821	92947
jpn (pp) eng	0.00198439778586523	5903
spa (pp) fil	0.0136182202394928	464
nld (pp) afr	0.31413612565445	60
fra (pp) ara	0.00271009771986971	312
nor (pp) dan	0.109401709401709	64
hat (pp) fra	0.00461658841940532	177
fil (pp) eng	0.0107980418905263	32121
msa (pp) kor	0.00870154572684143	796
eng (pp) ces	0.368029739776952	198
spa (pp) eus	0.686131386861314	94
por (pp) msa	0.0026341496277832	1564
spa (pp) cat	0.646199925121677	1726
tha (pp) eng	0.00208592042373263	6205
tur (pp) aze	0.484615384615385	63
nld (pp) eng	0.0150119036973738	44656
msa (pp) fil	0.0317562808170932	1082
kor (pp) fil	0.00220122094388354	75
eng (pp) ara	0.193190010857763	22241
spa (pp) por	0.00457852146383613	2554
fra (pp) eng	0.0046643264914247	13875
por (pp) glg	0.568181818181818	75
eng (pp) ell	0.156308459779672	752
jpn (pp) ell	0.0999792143005612	481
