	wweight.new	wcommon.num.new
ces (pp) slk	0.0836855452240068	99
deu (pp) fin	0.0357489485603365	221
fra (pp) spa	0.0216570327552986	843
nld (pp) spa	0.00282594733461785	110
hun (pp) pol	0.0040858680848304	63
eng (pp) zho	0.172982998454405	2798
jpn (pp) por	0.00568800677719956	94
eng (pp) ron	0.228453738910013	721
deu (pp) jpn	0.0170849630595393	629
ita (pp) swe	0.008299768094715	68
eng (pp) tur	0.184519695922598	1068
eng (pp) por	0.168280285610553	2781
eng (pp) nor	0.272454031117397	1541
jpn (pp) spa	0.00485549132947977	189
glg (pp) spa	0.00467565831727681	182
eng (pp) mkd	0.226415094339623	108
ita (pp) jpn	0.0045632333767927	168
eus (pp) spa	0.00341682723185613	133
deu (pp) hun	0.0409719758779709	231
cat (pp) spa	0.0258702633269107	1007
deu (pp) rus	0.0238787796793614	706
eng (pp) tha	0.159303313508921	375
eng (pp) hun	0.158034764100745	891
jpn (pp) swe	0.0117173196631271	96
fin (pp) swe	0.0155010374710118	127
ara (pp) eng	0.00195364471867743	859
deu (pp) ell	0.0382566585956416	79
jpn (pp) zho	0.0339412673879444	549
deu (pp) fra	0.0443838108231014	1952
deu (pp) ron	0.0335868187579214	106
spa (pp) zho	0.00401854714064915	65
ell (pp) eng	0.00150105414939128	660
eng (pp) est	0.193689745836985	221
deu (pp) tur	0.0326537664132688	189
rus (pp) spa	0.00513808606294155	200
heb (pp) rus	0.00267198809443279	79
dan (pp) deu	0.0021694032785107	160
eng (pp) slk	0.194420963651733	230
dan (pp) swe	0.00891004516050287	73
rus (pp) ukr	0.262138647207409	934
deu (pp) zho	0.0130448222565688	211
deu (pp) swe	0.0541926034419627	444
deu (pp) epo	0.0943396226415094	75
nor (pp) swe	0.0187965336262663	154
eng (pp) spa	0.18679511881824	7271
eng (pp) kor	0.136290177769797	759
deu (pp) hbs	0.0422927100723428	152
eng (pp) msa	0.296636085626911	873
eng (pp) ita	0.143255406427974	3597
ces (pp) pol	0.00453985342758934	70
jpn (pp) nor	0.0106082036775106	60
deu (pp) nor	0.0503889674681754	285
eng (pp) kan	0.407766990291262	84
dan (pp) nor	0.0155586987270156	88
fra (pp) ron	0.0285171102661597	90
deu (pp) heb	0.0176793938493537	119
fra (pp) heb	0.0102510771059278	69
jpn (pp) rus	0.00646012311438815	191
eng (pp) hbs	0.229549248747913	825
deu (pp) nld	0.056346516007533	748
