	wsrc.name.new	wtgt.name.new	wweight.new	wcommon.num.new
ces_slk	ces	slk	0.0836855452240068	99
deu_fin	deu	fin	0.0357489485603365	221
fra_spa	fra	spa	0.0216570327552986	843
nld_spa	nld	spa	0.00282594733461785	110
hun_pol	hun	pol	0.0040858680848304	63
eng_zho	eng	zho	0.172982998454405	2798
jpn_por	jpn	por	0.00568800677719956	94
eng_ron	eng	ron	0.228453738910013	721
deu_jpn	deu	jpn	0.0170849630595393	629
ita_swe	ita	swe	0.008299768094715	68
eng_tur	eng	tur	0.184519695922598	1068
eng_por	eng	por	0.168280285610553	2781
eng_nor	eng	nor	0.272454031117397	1541
jpn_spa	jpn	spa	0.00485549132947977	189
glg_spa	glg	spa	0.00467565831727681	182
eng_mkd	eng	mkd	0.226415094339623	108
ita_jpn	ita	jpn	0.0045632333767927	168
eus_spa	eus	spa	0.00341682723185613	133
deu_hun	deu	hun	0.0409719758779709	231
cat_spa	cat	spa	0.0258702633269107	1007
deu_rus	deu	rus	0.0238787796793614	706
eng_tha	eng	tha	0.159303313508921	375
eng_hun	eng	hun	0.158034764100745	891
jpn_swe	jpn	swe	0.0117173196631271	96
fin_swe	fin	swe	0.0155010374710118	127
ara_eng	ara	eng	0.00195364471867743	859
deu_ell	deu	ell	0.0382566585956416	79
jpn_zho	jpn	zho	0.0339412673879444	549
deu_fra	deu	fra	0.0443838108231014	1952
deu_ron	deu	ron	0.0335868187579214	106
spa_zho	spa	zho	0.00401854714064915	65
ell_eng	ell	eng	0.00150105414939128	660
eng_est	eng	est	0.193689745836985	221
deu_tur	deu	tur	0.0326537664132688	189
rus_spa	rus	spa	0.00513808606294155	200
heb_rus	heb	rus	0.00267198809443279	79
dan_deu	dan	deu	0.0021694032785107	160
eng_slk	eng	slk	0.194420963651733	230
dan_swe	dan	swe	0.00891004516050287	73
rus_ukr	rus	ukr	0.262138647207409	934
deu_zho	deu	zho	0.0130448222565688	211
deu_swe	deu	swe	0.0541926034419627	444
deu_epo	deu	epo	0.0943396226415094	75
nor_swe	nor	swe	0.0187965336262663	154
eng_spa	eng	spa	0.18679511881824	7271
eng_kor	eng	kor	0.136290177769797	759
deu_hbs	deu	hbs	0.0422927100723428	152
eng_msa	eng	msa	0.296636085626911	873
eng_ita	eng	ita	0.143255406427974	3597
ces_pol	ces	pol	0.00453985342758934	70
jpn_nor	jpn	nor	0.0106082036775106	60
deu_nor	deu	nor	0.0503889674681754	285
eng_kan	eng	kan	0.407766990291262	84
dan_nor	dan	nor	0.0155586987270156	88
fra_ron	fra	ron	0.0285171102661597	90
deu_heb	deu	heb	0.0176793938493537	119
fra_heb	fra	heb	0.0102510771059278	69
jpn_rus	jpn	rus	0.00646012311438815	191
eng_hbs	eng	hbs	0.229549248747913	825
deu_nld	deu	nld	0.056346516007533	748
fra_ita	fra	ita	0.0275598391015174	692
eng_swe	eng	swe	0.275112901257171	2254
eng_epo	eng	epo	0.291823899371069	232
eng_lat	eng	lat	0.389583333333333	187
eng_mal	eng	mal	0.406367041198502	217
eng_sqi	eng	sqi	0.288107202680067	172
eng_kat	eng	kat	0.225	90
por_spa	por	spa	0.0103532434168272	403
eng_hin	eng	hin	0.449367088607595	213
rus_tur	rus	tur	0.0105390463026952	61
fra_nld	fra	nld	0.0294538606403013	391
eng_jpn	eng	jpn	0.0737179487179487	2714
eng_isl	eng	isl	0.3575	143
ita_spa	ita	spa	0.0109955041746949	428
deu_lat	deu	lat	0.152083333333333	73
eng_eus	eng	eus	0.127931769722815	60
nld_pol	nld	pol	0.00441014332965821	68
dan_eng	dan	eng	0.00191270687823949	841
fra_pol	fra	pol	0.0155003567027693	239
deu_kor	deu	kor	0.0141856706769618	79
eng_gle	eng	gle	0.477777777777778	86
deu_sqi	deu	sqi	0.202680067001675	121
eng_fas	eng	fas	0.181749049429658	717
deu_eng	deu	eng	0.0316676939032184	13924
fra_nor	fra	nor	0.0159123055162659	90
eng_slv	eng	slv	0.129965669445807	265
eng_urd	eng	urd	0.395061728395062	64
ara_fra	ara	fra	0.00381991814461119	168
fra_jpn	fra	jpn	0.00958822251195133	353
spa_swe	spa	swe	0.00952032222629074	78
eng_fil	eng	fil	0.628205128205128	147
ces_eng	ces	eng	0.0016511595643304	726
deu_por	deu	por	0.0176086167251604	291
eng_heb	eng	heb	0.141286584459961	951
fin_rus	fin	rus	0.00243522965568558	72
cat_fra	cat	fra	0.00216007276034561	95
jpn_nld	jpn	nld	0.00873822975517891	116
bul_eng	bul	eng	0.00104846358010512	461
ces_deu	ces	deu	0.00263040147519423	194
pol_spa	pol	spa	0.00346820809248555	135
eng_nld	eng	nld	0.252730696798493	3355
pol_rus	pol	rus	0.0064263004802814	190
ita_zho	ita	zho	0.00377125193199382	61
fin_fra	fin	fra	0.00222828558435653	98
fin_jpn	fin	jpn	0.00206431986093003	76
fra_zho	fra	zho	0.00797527047913447	129
rus_swe	rus	swe	0.0111070425973392	91
eng_lav	eng	lav	0.206642066420664	112
eng_vie	eng	vie	0.168617251842219	389
fra_hun	fra	hun	0.0129478538488826	73
jpn_pol	jpn	pol	0.00856086646345418	132
eng_lit	eng	lit	0.191673894189072	221
cat_eng	cat	eng	0.00100980006413595	444
fra_rus	fra	rus	0.0117026314009335	346
nld_rus	nld	rus	0.00294256916728675	87
epo_fra	epo	fra	0.00170532060027285	75
deu_pol	deu	pol	0.0374862183020948	578
rus_zho	rus	zho	0.00377125193199382	61
nld_swe	nld	swe	0.00891004516050287	73
jpn_kor	jpn	kor	0.0377087448374933	210
eng_tam	eng	tam	0.397463002114165	188
eng_pol	eng	pol	0.136714443219405	2108
fra_por	fra	por	0.0148251240469563	245
eng_mar	eng	mar	0.35655737704918	87
ita_rus	ita	rus	0.00585131570046675	173
deu_slv	deu	slv	0.0367827366356057	75
deu_spa	deu	spa	0.0221965317919075	864
eng_glg	eng	glg	0.137546468401487	74
ita_nld	ita	nld	0.00790960451977401	105
cat_deu	cat	deu	0.00107114286876466	79
ces_fra	ces	fra	0.00188722146430196	83
eng_rus	eng	rus	0.131908273016303	3900
kor_zho	kor	zho	0.00383307573415765	62
deu_ukr	deu	ukr	0.0213303396014594	76
fra_hbs	fra	hbs	0.0172509738452977	62
deu_ita	deu	ita	0.0295113305985901	741
ita_por	ita	por	0.00925813869054823	153
fra_tur	fra	tur	0.0171043538355218	99
ita_pol	ita	pol	0.00791231597379856	122
eng_fra	eng	fra	0.183015006821282	8049
deu_slk	deu	slk	0.0532544378698225	63
ces_rus	ces	rus	0.00213082594872489	63
eng_tel	eng	tel	0.329230769230769	107
eng_fin	eng	fin	0.207376253639599	1282
pol_swe	pol	swe	0.00927621139997559	76
por_rus	por	rus	0.00243522965568558	72
eng_ukr	eng	ukr	0.127140050519225	453
fra_swe	fra	swe	0.018308311973636	150
slk_ces	slk	ces	0.0217152884404475	99
fin_deu	fin	deu	0.00299648827844291	221
spa_fra	spa	fra	0.0191678035470668	843
spa_nld	spa	nld	0.00828625235404896	110
pol_hun	pol	hun	0.0111741752394466	63
zho_eng	zho	eng	0.00636355986363151	2798
por_jpn	por	jpn	0.00255323772272925	94
ron_eng	ron	eng	0.00163978794198653	721
deu_ara	deu	ara	0.014218009478673	66
jpn_deu	jpn	deu	0.00852846663864521	629
deu_bul	deu	bul	0.0316205533596838	64
swe_ita	swe	ita	0.002708192281652	68
tur_eng	tur	eng	0.00242897853265134	1068
por_eng	por	eng	0.00632489634766234	2781
nor_eng	nor	eng	0.00350473400638175	1541
spa_jpn	spa	jpn	0.00513363754889179	189
spa_glg	spa	glg	0.338289962825279	182
jpn_ita	jpn	ita	0.00669082798996376	168
spa_eus	spa	eus	0.283582089552239	133
hun_deu	hun	deu	0.00313207598334983	231
