	bweight.new	bcommon.num.new
fra (pp) spa	0.158315495172775	36240
eng (pp) zho	0.646049481245012	40475
por (pp) eng	0.0157012591083708	2297
lat (pp) nld	0.00532454588716991	593
slk (pp) eng	0.00272054903140252	398
fra (pp) mkd	0.0933094078441425	364
grc (pp) pol	0.00814650677789364	625
spa (pp) fra	0.0351710747579289	8387
ron (pp) deu	0.00256397967986198	749
spa (pp) ara	0.0271460602178091	339
fro (pp) fra	0.0015474098707137	369
gmh (pp) deu	0.00120154454957484	351
cat (pp) spa	0.0233410510681054	5343
hbs (pp) mkd	0.134324532171238	524
rus (pp) slk	0.0961254518609032	1888
rus (pp) lit	0.14753673852528	2279
jpn (pp) zho	0.114860335195531	7196
deu (pp) fra	0.0970926307225859	23153
lat (pp) jpn	0.00233014752507774	305
ces (pp) hun	0.0246412918947426	1355
lat (pp) ces	0.00620713199466187	400
hbs (pp) eng	0.0266518107372825	3899
swe (pp) ces	0.00491915210576953	317
deu (pp) hbs	0.11177724487077	5034
fra (pp) ces	0.0643524409546569	4147
kor (pp) fra	0.00469255188435942	1119
deu (pp) swe	0.0522681620354871	3747
grc (pp) swe	0.00446378752371387	320
fin (pp) fra	0.00135870134989495	324
ara (pp) spa	0.00493206937224237	1129
rus (pp) ara	0.122837924407431	1534
grc (pp) dan	0.00470686276022778	305
spa (pp) ron	0.0258882149046794	478
slk (pp) deu	0.0011981213457299	350
deu (pp) nor	0.0508024301548244	2333
swe (pp) est	0.0377092938607134	777
bul (pp) rus	0.0134465761368579	1113
slv (pp) eng	0.00317853090352304	465
grc (pp) hun	0.00561930567931768	309
spa (pp) ell	0.0329662314929619	904
fra (pp) heb	0.0622206003101907	682
nor (pp) eng	0.00909128193910892	1330
rus (pp) uig	0.262096774193548	390
pol (pp) ita	0.00528163128865118	316
por (pp) ita	0.0059669062343306	357
jpn (pp) rus	0.0061252597496738	507
pol (pp) eng	0.015537205900447	2273
eng (pp) hbs	0.513389288569145	23121
zho (pp) kaz	0.13080684596577	321
spa (pp) bul	0.0158884313573149	409
fin (pp) eng	0.010793333971318	1579
deu (pp) eus	0.0815702268671935	320
eng (pp) ara	0.535233824471493	6684
heb (pp) fra	0.00536351551393717	1279
spa (pp) por	0.0696055994967947	5201
spa (pp) hbs	0.0246913580246914	1112
est (pp) deu	0.00152674891484438	446
tur (pp) deu	0.00235858744916542	689
fra (pp) nld	0.104264126208798	11612
lat (pp) pol	0.00753388946819604	578
swe (pp) dan	0.115943147270791	7513
ukr (pp) eng	0.00280941118569456	411
hbs (pp) ita	0.0101286979776032	606
deu (pp) sqi	0.08628089388782	583
deu (pp) eng	0.191586804653643	28028
nor (pp) deu	0.00675398118607167	1973
spa (pp) hun	0.0147484042262998	811
ara (pp) msa	0.189992614475628	1029
spa (pp) cat	0.200844256831815	3616
spa (pp) swe	0.00922051110367146	661
ita (pp) dan	0.00950631954196824	616
spa (pp) deu	0.022226862565212	6493
ces (pp) eng	0.0213132459294298	3118
jpn (pp) deu	0.00715449603592995	2090
cat (pp) fra	0.0028893371298692	689
jpn (pp) nld	0.00299898537321206	334
rus (pp) hin	0.157729606389047	553
hye (pp) rus	0.00577489972454453	478
rus (pp) nld	0.00929326305770802	1035
eng (pp) nld	0.659264979213619	73423
pol (pp) rus	0.0188469530759194	1560
lat (pp) spa	0.0126599973788825	2898
jpn (pp) fra	0.0359636505453676	8576
rus (pp) bak	0.910358565737052	457
bel (pp) rus	0.00854153578504808	707
kaz (pp) rus	0.00808244333832697	669
fin (pp) deu	0.00229354657611151	670
fra (pp) hun	0.0717779919620288	3947
spa (pp) pol	0.0193952033368092	1488
deu (pp) pol	0.131856100104275	10116
fra (pp) isl	0.0535769112680381	349
yid (pp) deu	0.00104407717270748	305
eng (pp) pol	0.588933785192909	45183
swe (pp) nor	0.133636739760033	6137
nor (pp) pol	0.00598279457768509	459
slk (pp) ces	0.0171627199652401	1106
fra (pp) kor	0.0723430924881368	1616
eng (pp) glg	0.182201602699283	432
swe (pp) jpn	0.00459917642654687	602
ita (pp) nld	0.0157401837103016	1753
rus (pp) pol	0.0439259645464025	3370
zho (pp) uig	0.565188172043011	841
ita (pp) hbs	0.0629718447464251	2836
grc (pp) fra	0.00891123570532955	2125
fra (pp) hbs	0.107958077982059	4862
fra (pp) ell	0.176135949237838	4830
deu (pp) isl	0.0486644151059257	317
ita (pp) pol	0.0413842544316997	3175
ces (pp) rus	0.0108128352582999	895
ukr (pp) rus	0.0132291112936742	1095
lav (pp) rus	0.00651186391533369	539
slv (pp) deu	0.00162944503019266	476
deu (pp) cat	0.0954787824927794	1719
urd (pp) eng	0.00211902060234869	310
deu (pp) fin	0.0711892978323356	3294
hun (pp) pol	0.00450990615224192	346
heb (pp) eng	0.0193514429846747	2831
jpn (pp) ita	0.00514791910412836	308
deu (pp) ces	0.270972347226964	17462
nld (pp) eng	0.0195154961925985	2855
ara (pp) deu	0.00378264024866153	1105
deu (pp) ara	0.0434817424727739	543
eng (pp) mri	0.971786833855799	310
zho (pp) bod	0.88953488372093	306
eng (pp) por	0.626677908486236	46826
fra (pp) bul	0.0930386139383109	2395
eng (pp) nor	0.650893887594452	29891
eng (pp) ell	0.605316898840347	16599
swe (pp) pol	0.0127867570385819	981
fra (pp) cat	0.180071095312153	3242
grc (pp) ita	0.0146247701821829	875
glg (pp) spa	0.00343803241448604	787
eng (pp) mkd	0.388874647526275	1517
pol (pp) lit	0.0240176085971386	371
rus (pp) jpn	0.0151344991710787	1981
deu (pp) ron	0.0847053726169844	1564
dan (pp) pol	0.00394942648592284	303
eng (pp) est	0.570298471244843	11751
