	wweight.new	wcommon.num.new
fra (pp) spa	0.0325871040024195	4741
eng (pp) zho	0.202657873304066	10202
cat (pp) spa	0.0233491652175108	3397
jpn (pp) zho	0.0430464233924634	2167
deu (pp) fra	0.0646801358590987	9236
spa (pp) zho	0.0102302298325421	515
deu (pp) swe	0.0847596563709096	2585
fin (pp) fra	0.00447494660177177	639
deu (pp) nor	0.0672608332967467	1532
jpn (pp) rus	0.0128288068355203	1051
eng (pp) hbs	0.282359416567287	3078
fra (pp) nld	0.0464313859129731	2180
deu (pp) eng	0.0312329715274501	49637
spa (pp) swe	0.0228211686012198	696
ces (pp) eng	0.00192291961617115	3056
jpn (pp) nld	0.0134821409554642	633
eng (pp) nld	0.271261527975975	12736
pol (pp) rus	0.0129874885566067	1064
fra (pp) hun	0.0296678311983586	535
jpn (pp) pol	0.01476124641072	694
deu (pp) pol	0.0611932362012124	2877
eng (pp) pol	0.174050834839945	8183
ita (pp) nld	0.0154203318353177	724
ita (pp) pol	0.0147187067957035	692
deu (pp) fin	0.0615059343616357	1280
jpn (pp) por	0.0104319936515284	631
eng (pp) por	0.177162034817399	10716
glg (pp) spa	0.00408283901654443	594
ell (pp) eng	0.00133270410571024	2118
eng (pp) est	0.235940099833611	709
deu (pp) tur	0.0486082086433169	1163
deu (pp) zho	0.02731372042669	1375
eng (pp) kor	0.163447521865889	2691
eng (pp) ita	0.18914511996273	13804
deu (pp) hbs	0.0710026603063939	774
eng (pp) lat	0.492363636363636	677
por (pp) spa	0.0160357970127915	2333
fra (pp) pol	0.0296288418589812	1393
eng (pp) fas	0.200257106127696	2804
fra (pp) jpn	0.0182097475135382	1873
deu (pp) por	0.0298576553639625	1806
eng (pp) slk	0.228015908086611	1032
fra (pp) zho	0.0168053872588943	846
rus (pp) swe	0.0181323365466588	553
fra (pp) rus	0.0229722306988099	1882
fra (pp) por	0.0245176649527998	1483
eng (pp) rus	0.177821177906622	14568
deu (pp) ita	0.0515750674833176	3764
fra (pp) swe	0.0359695717751984	1097
nld (pp) spa	0.00629609518376212	916
deu (pp) jpn	0.0306736537134079	3155
deu (pp) hun	0.0668219375589198	1205
eng (pp) tha	0.184626135569532	1321
eng (pp) hun	0.195696778128986	3529
eng (pp) nor	0.26746279141239	6092
jpn (pp) swe	0.0200996786674536	613
ara (pp) eng	0.0021330816422841	3390
rus (pp) spa	0.00817255149944669	1189
rus (pp) ukr	0.303151176705225	3040
nor (pp) swe	0.0296084989179618	903
deu (pp) heb	0.0300557953468786	571
fra (pp) ita	0.0450528219673614	3288
eng (pp) swe	0.287953308413666	8782
eng (pp) mal	0.465505226480836	668
ita (pp) spa	0.0175273392124382	2550
dan (pp) eng	0.00223124115148655	3546
ces (pp) deu	0.00468746515621167	1051
eng (pp) tam	0.444530643910008	573
ita (pp) rus	0.0107903570338724	884
ita (pp) por	0.0143997883842809	871
fra (pp) tur	0.0244921842347237	586
eng (pp) ron	0.258313166621852	2882
ita (pp) swe	0.0182307036526985	556
eng (pp) tur	0.189124801471203	4525
eng (pp) sqi	0.299599198396794	598
jpn (pp) spa	0.0088324042697973	1285
ita (pp) jpn	0.00826390036652829	850
deu (pp) rus	0.043552029295087	3568
fin (pp) swe	0.0210177716571578	641
dan (pp) deu	0.0044600049060054	1000
eng (pp) spa	0.198698165471829	28908
eng (pp) msa	0.29195820081781	3213
deu (pp) ron	0.0478623285829524	534
deu (pp) nld	0.0799131008924198	3752
eng (pp) epo	0.379059350503919	677
eng (pp) hin	0.517120894479385	740
fra (pp) nor	0.0288448873863986	657
eng (pp) jpn	0.104941812419184	10794
eng (pp) slv	0.183405327573794	1019
ara (pp) fra	0.00555341573584509	793
eng (pp) heb	0.168701968628277	3205
bul (pp) eng	0.00110177756803524	1751
pol (pp) spa	0.00637170331369813	927
eng (pp) vie	0.178190198932557	1469
eng (pp) lit	0.224888392857143	806
cat (pp) eng	0.00116218341985213	1847
nld (pp) rus	0.00744583460482148	610
jpn (pp) kor	0.045857628765792	755
eng (pp) fra	0.221471340032914	31625
deu (pp) spa	0.0345872827125448	5032
eng (pp) fin	0.220268127432608	4584
nld (pp) swe	0.0182307036526985	556
eng (pp) ukr	0.179896290386917	1804
spa (pp) fra	0.033201442627543	4741
zho (pp) eng	0.00641938021079125	10202
spa (pp) cat	0.310568659718413	3397
zho (pp) jpn	0.0210680848167845	2167
fra (pp) deu	0.0411926053118658	9236
zho (pp) spa	0.00353983517427674	515
swe (pp) deu	0.011529112682024	2585
fra (pp) fin	0.0307049156695978	639
nor (pp) deu	0.00683272751600027	1532
rus (pp) jpn	0.0102180697473191	1051
hbs (pp) eng	0.00193676262387919	3078
nld (pp) fra	0.0152666409888301	2180
eng (pp) deu	0.22138126351939	49637
swe (pp) spa	0.00478393258504196	696
eng (pp) ces	0.200656598818122	3056
nld (pp) jpn	0.00615417521413224	633
nld (pp) eng	0.00801384300770804	12736
rus (pp) pol	0.0226310751887695	1064
hun (pp) fra	0.00374662978395602	535
pol (pp) jpn	0.00674723159337721	694
pol (pp) deu	0.0128314341145775	2877
pol (pp) eng	0.00514896963976719	8183
nld (pp) ita	0.00992039023855524	724
pol (pp) ita	0.00948191995176827	692
fin (pp) deu	0.00570880627968691	1280
por (pp) jpn	0.00613473074268159	631
por (pp) eng	0.00674280320906088	10716
spa (pp) glg	0.38671875	594
eng (pp) ell	0.350662251655629	2118
tur (pp) deu	0.00518698570568428	1163
zho (pp) deu	0.00613250674575742	1375
kor (pp) eng	0.00169325153374233	2691
ita (pp) eng	0.00868585810917099	13804
hbs (pp) deu	0.00345204379724818	774
spa (pp) por	0.0385702712979649	2333
pol (pp) fra	0.00975524353093596	1393
fas (pp) eng	0.0017643542551518	2804
jpn (pp) fra	0.0131167057670086	1873
por (pp) deu	0.00805476886024575	1806
zho (pp) fra	0.00592457719107812	846
swe (pp) rus	0.00675007628928898	553
rus (pp) fra	0.013179733183935	1882
por (pp) fra	0.0103855177001996	1483
rus (pp) eng	0.00916658801321378	14568
ita (pp) deu	0.0167874584662043	3764
swe (pp) fra	0.00768234181869113	1097
spa (pp) nld	0.0195097016037997	916
jpn (pp) deu	0.014071315478447	3155
hun (pp) deu	0.0053743059117365	1205
hun (pp) eng	0.00222054428189398	3529
nor (pp) eng	0.00383325467988045	6092
swe (pp) jpn	0.00595973049962569	613
eng (pp) ara	0.185672034176799	3390
spa (pp) rus	0.0145132743362832	1189
ukr (pp) rus	0.0371071101617333	3040
eng (pp) ben	0.503960396039604	509
swe (pp) nor	0.0396452561794793	903
heb (pp) deu	0.00254666280132908	571
ita (pp) fra	0.0230260163170979	3288
swe (pp) eng	0.00552587698599969	8782
spa (pp) ita	0.0349406009783368	2550
eng (pp) dan	0.288997555012225	3546
deu (pp) ces	0.0690085357846356	1051
rus (pp) ita	0.0121127416724901	884
por (pp) ita	0.0119346131184829	871
tur (pp) fra	0.00410378514653874	586
ron (pp) eng	0.00181343400975303	2882
swe (pp) ita	0.00761842123292364	556
tur (pp) eng	0.00284725499449426	4525
spa (pp) jpn	0.0124930729070457	1285
jpn (pp) ita	0.0116468669927789	850
rus (pp) deu	0.0159132975046273	3568
swe (pp) fin	0.0308010186920379	641
deu (pp) dan	0.0814995925020375	1000
spa (pp) eng	0.0181897121283624	28908
msa (pp) eng	0.0020217083529967	3213
ron (pp) deu	0.00238164261980688	534
nld (pp) deu	0.0167339384073322	3752
nor (pp) fra	0.0046010014356245	657
jpn (pp) eng	0.0067918829636621	10794
fra (pp) ara	0.0434330156643663	793
heb (pp) eng	0.00201667453201196	3205
eng (pp) bul	0.258679273157039	1751
spa (pp) pol	0.0197171115601404	927
eng (pp) cat	0.168860852075334	1847
rus (pp) nld	0.0129922685352815	610
kor (pp) jpn	0.00734028797262218	755
fra (pp) eng	0.0198993235803052	31625
spa (pp) deu	0.0224427446870192	5032
fin (pp) eng	0.00288437942425673	4584
swe (pp) nld	0.0118421332878959	556
ukr (pp) eng	0.00113512663205915	1804
