	wsrc.name.new	wtgt.name.new	wweight.new	wcommon.num.new
fra_spa	fra	spa	0.0325871040024195	4741
eng_zho	eng	zho	0.202657873304066	10202
cat_spa	cat	spa	0.0233491652175108	3397
jpn_zho	jpn	zho	0.0430464233924634	2167
deu_fra	deu	fra	0.0646801358590987	9236
spa_zho	spa	zho	0.0102302298325421	515
deu_swe	deu	swe	0.0847596563709096	2585
fin_fra	fin	fra	0.00447494660177177	639
deu_nor	deu	nor	0.0672608332967467	1532
jpn_rus	jpn	rus	0.0128288068355203	1051
eng_hbs	eng	hbs	0.282359416567287	3078
fra_nld	fra	nld	0.0464313859129731	2180
deu_eng	deu	eng	0.0312329715274501	49637
spa_swe	spa	swe	0.0228211686012198	696
ces_eng	ces	eng	0.00192291961617115	3056
jpn_nld	jpn	nld	0.0134821409554642	633
eng_nld	eng	nld	0.271261527975975	12736
pol_rus	pol	rus	0.0129874885566067	1064
fra_hun	fra	hun	0.0296678311983586	535
jpn_pol	jpn	pol	0.01476124641072	694
deu_pol	deu	pol	0.0611932362012124	2877
eng_pol	eng	pol	0.174050834839945	8183
ita_nld	ita	nld	0.0154203318353177	724
ita_pol	ita	pol	0.0147187067957035	692
deu_fin	deu	fin	0.0615059343616357	1280
jpn_por	jpn	por	0.0104319936515284	631
eng_por	eng	por	0.177162034817399	10716
glg_spa	glg	spa	0.00408283901654443	594
ell_eng	ell	eng	0.00133270410571024	2118
eng_est	eng	est	0.235940099833611	709
deu_tur	deu	tur	0.0486082086433169	1163
deu_zho	deu	zho	0.02731372042669	1375
eng_kor	eng	kor	0.163447521865889	2691
eng_ita	eng	ita	0.18914511996273	13804
deu_hbs	deu	hbs	0.0710026603063939	774
eng_lat	eng	lat	0.492363636363636	677
por_spa	por	spa	0.0160357970127915	2333
fra_pol	fra	pol	0.0296288418589812	1393
eng_fas	eng	fas	0.200257106127696	2804
fra_jpn	fra	jpn	0.0182097475135382	1873
deu_por	deu	por	0.0298576553639625	1806
eng_slk	eng	slk	0.228015908086611	1032
fra_zho	fra	zho	0.0168053872588943	846
rus_swe	rus	swe	0.0181323365466588	553
fra_rus	fra	rus	0.0229722306988099	1882
fra_por	fra	por	0.0245176649527998	1483
eng_rus	eng	rus	0.177821177906622	14568
deu_ita	deu	ita	0.0515750674833176	3764
fra_swe	fra	swe	0.0359695717751984	1097
nld_spa	nld	spa	0.00629609518376212	916
deu_jpn	deu	jpn	0.0306736537134079	3155
deu_hun	deu	hun	0.0668219375589198	1205
eng_tha	eng	tha	0.184626135569532	1321
eng_hun	eng	hun	0.195696778128986	3529
eng_nor	eng	nor	0.26746279141239	6092
jpn_swe	jpn	swe	0.0200996786674536	613
ara_eng	ara	eng	0.0021330816422841	3390
rus_spa	rus	spa	0.00817255149944669	1189
rus_ukr	rus	ukr	0.303151176705225	3040
nor_swe	nor	swe	0.0296084989179618	903
deu_heb	deu	heb	0.0300557953468786	571
fra_ita	fra	ita	0.0450528219673614	3288
eng_swe	eng	swe	0.287953308413666	8782
eng_mal	eng	mal	0.465505226480836	668
ita_spa	ita	spa	0.0175273392124382	2550
dan_eng	dan	eng	0.00223124115148655	3546
ces_deu	ces	deu	0.00468746515621167	1051
eng_tam	eng	tam	0.444530643910008	573
ita_rus	ita	rus	0.0107903570338724	884
ita_por	ita	por	0.0143997883842809	871
fra_tur	fra	tur	0.0244921842347237	586
