	Language	Code	Tweets	Users	Avg. tweets per user	% of total users
1	Afrikaans	afr	69,009	24,782	2.78	0.14
2	Albanian	sqi	26,682	5,155	5.18	0.03
3	Arabic	ara	9,993,172	366,643	27.26	2.07
4	Azerbaijani	aze	12,794	1,261	10.15	0.01
5	Basque	eus	12,104	1,950	6.21	0.01
6	Bulgarian	bul	23,252	1,633	14.24	0.01
7	Catalan	cat	236,424	32,376	7.3	0.18
8	Chinese	zho	453,837	24,113	18.82	0.14
9	Czech	ces	94,324	24,573	3.84	0.14
10	Danish	dan	64,537	12,029	5.37	0.07
11	Dutch	nld	10,526,980	435,128	24.19	2.46
12	English	eng	255,351,176	10,859,465	23.51	61.37
13	Estonian	est	22,197	2,078	10.68	0.01
14	Filipino	fil	1,905,619	257,611	7.4	1.46
15	Finnish	fin	41,165	3,856	10.68	0.02
16	French	fra	3,434,065	147,843	23.23	0.84
17	Galician	glg	26,035	9,302	2.8	0.05
18	German	deu	1,705,256	73,897	23.08	0.42
19	Greek (Modern)	ell	526,527	30,609	17.2	0.17
20	Haitian	hat	22,204	2,600	8.54	0.01
21	Hebrew	heb	77,937	3,384	23.03	0.02
22	Hindi	hin	12,021	1,171	10.27	0.01
23	Hungarian	hun	92,093	4,804	19.17	0.03
24	Italian	ita	1,586,225	89,242	17.77	0.5
25	Japanese	jpn	91,669,691	2,602,426	35.22	14.71
26	Korean	kor	11,674,755	289,982	40.26	1.64
27	Latvian	lav	168,312	13,573	12.4	0.08
28	Malay	msa	49,546,710	1,651,705	30	9.33
29	Maltese	mlt	2,838	1,156	2.46	0.01
30	Norwegian	nor	170,430	16,500	10.33	0.09
31	Persian	fas	79,657	2,719	29.3	0.02
32	Polish	pol	167,597	8,207	20.42	0.05
33	Portuguese	por	46,520,572	1,617,409	28.76	9.14
34	Romanian	ron	73,428	5,040	14.57	0.03
35	Russian	rus	4,577,942	243,159	18.83	1.37
36	Serbo-Croatian	hbs	54,889	8,152	6.73	0.05
37	Slovak	slk	16,657	3,657	4.55	0.02
38	Slovenian	slv	21,468	2,230	9.63	0.01
39	Spanish	spa	44,195,979	2,043,468	21.63	11.55
40	Swahili	swa	32,737	5,636	5.81	0.03
41	Swedish	swe	596,130	36,604	16.29	0.21
42	Tamil	tam	40,693	1,432	28.42	0.01
43	Thai	tha	7,449,790	154,171	48.32	0.87
44	Turkish	tur	4660694	233158	19.99	1.32
45	Ukrainian	ukr	33231	2842	11.69	0.02
46	Vietnamese	vie	144500	6150	23.5	0.03
47	Welsh	cym	5336	910	5.86	0.01
