Language	Code	Number of Speakers (millions)	GDP per capita ($)
Abkhazian	abk	0.125	
Afrikaans	afr	13	5554
Albanian	sqi	16	1719
Amharic	amh	25	1341
Arabic	ara	530	5027
Armenian	hye	6	3265
Assamese	asm	13	
Asturian	ast	0.275	
Avaric	ava	0.06	
Azerbaijani	aze	27	3239
Bashkir	bak	2	
Basque	eus	1	28815
Bavarian	bar	12	
Belarusian	bel	6	8772
Bengali	ben	230	2729
Breton	bre	0.25	
Bulgarian	bul	12	6750
Buriat	bua	0.4	
Burmese	mya	52	
Catalan	cat	9	27214
Central Khmer	khm	18	1749
Chechen	che	1	
Chinese	zho	1575	8003
Chuvash	chv	1	
Cree	cre	0.117	
Czech	ces	12	22952
Danish	dan	6	34325
Dutch	nld	27	35089
English	eng	1500	11943
Esperanto	epo	1	
Estonian	est	1.07	16995
Faroese	fao	0.07	
Filipino	fil	90	2583
Finnish	fin	6	30195
French	fra	200	16622
Galician	glg	4	25213
Georgian	kat	4	5020
German	deu	185	19535
Greek (Modern)	ell	15	20746
Gujarati	guj	46	
Haitian	hat	12	2322
Hebrew	heb	10	18810
Hindi	hin	550	3322
Hungarian	hun	15	14527
Icelandic	isl	0.32	37250
Inuktitut	iku	0.03	
Irish	gle	0.53	17658
Italian	ita	70	27715
Japanese	jpn	132	33521
Kabardian	kbd	2	
Kalaallisut	kal	0.05	
Kalmyk	xal	0.174	
Kannada	kan	47	
Kara-Kalpak	kaa	0.41	
Karachay-Balkar	krc		
Kazakh	kaz	12	11391
Kirghiz	kir	5	1687
Komi	kom	0.293	
Korean	kor	78	19866
Kurdish	kur	30	9985
Lak	lbe	0.12	
Lao	lao	5	
Latin	lat		
Latvian	lav	2.15	9292
Lezghian	lez	0.784	
Lithuanian	lit	4	13665
Macedonian	mkd	3	4785
Malagasy	mlg	20	
Malay	msa	300	5579
Malayalam	mal	37	3849
Maori	mri	0.157	
Marathi	mar	90	3462
Mari (Russia)	chm	0.6	
Moksha	mdf	0.5	
Moldavian	mol		
Mongolian	mon	5	3017
Nepali	nep	30	
Northern Sami	sme	0.02	
Norwegian	nor	5	50340
Occitan	oci	2	
Official Aramaic (700-300 BCE)	arc	2	
Oriya	ori	31	
Ossetian	oss	0.52	
Panjabi	pan	104	3646
Persian	fas	107	7352
Polish	pol	43	17921
Portuguese	por	290	9535
Pushto	pus	26	
Romanian	ron	28	9232
Romansh	roh	0.035	
Russian	rus	278	9437
Samoan	smo	0.37	
Sanskrit	san	0.05	
Scottish Gaelic	gla	0.07	812624
Serbo-Croatian	hbs	23	7927
Sinhala	sin	19	4747
Slovak	slk	7	16428
Slovenian	slv	2	28593
Spanish	spa	500	13300
Swahili	swa	50	3147
Swedish	swe	10	37727
Tajik	tgk	4	5045
Tamil	tam	66	4311
Tatar	tat	8	
Telugu	tel	80	4006
Thai	tha	73	8636
Tibetan	bod	7	
Tonga (Tonga Islands)	ton	0.105	
Turkish	tur	70	15156
Turkmen	tuk	9	3173
Udmurt	udm	0.55	
Uighur	uig	10	
Ukrainian	ukr	45	4841
Urdu	urd	60	4416
Uzbek	uzb	24	3125
Vietnamese	vie	80	3842
Welsh	cym	0.75	36406
Yakut	sah	0.456	
Yiddish	yid	3	
Zhuang	zha	14	
	ady		
	alt		
	chp		
	dar		
	enm		
	fro		
	gmh		
	grc		
	gsw		
	inh		
	kac		
	kum		
	lis		
	non		
	orv		
	tab		
	tiz		
	tkl		
	tyv		
	yiz		
