	Country	Languages
1	Afghanistan	Persian: 50%
2	Albania	Albanian: 95%, Romanian: 5%
3	Algeria	Arabic: 73%, French: 5%
4	American Samoa	English: 2.9%
5	Andorra	Catalan: 50%, Spanish: 40%, French: 10%
6	Angola	Portuguese: 80%
7	Anguilla	English: 100%
8	Antigua and Barbuda	English: 100%
9	Argentina	Spanish: 85%, Italian: 3.8%
10	Armenia	Armenian: 97.7%, Russian: 0.9%
11	Aruba	Spanish: 12.6%, English: 7.7%, Dutch: 5.8%
12	Australia	English: 78.5%, Chinese: 2.5%, Italian: 1.6%, Greek: 1.3%, Arabic: 1.2%
13	Austria	German: 88.6%, Turkish: 2.3%, Serbo-Croatian: 2.2%
14	Azerbaijan	Azerbaijani: 90.3%, Russian: 1.8%, Armenian: 1.5%
15	Bahamas	English: 100%
16	Bahrain	Arabic: 100%
17	Bangladesh	Bengali: 98%, English: 2%
18	Barbados	English: 100%
19	Belarus	Russian: 62.8%, Belarusian: 36.7%
20	Belgium	Dutch: 60%, French: 40%
21	Belize	Spanish: 46%, Haitian: 32.9%, English: 3.9%
22	Benin	French: 40%
23	Bermuda	English: 91.8%, Portuguese: 4%
24	Bolivia	Spanish: 60.7%, Quechua: 21.2%, Aymara: 14.6%
25	Bosnia and Herzegovina	Serbo-Croatian: 33.2%
26	Botswana	English: 2.1%
27	Brazil	Portuguese: 100%
28	Brunei Darussalam	Malay : 80%, English: 20%
29	Bulgaria	Bulgarian: 84.5%, Turkish: 9.6%
30	Burkina Faso	French: 100%
31	Burundi	French: 0.02%
32	Cambodia	Central Khmer: 95%, French: 2.5%, English: 2.5%
33	Cameroon	French: 50%, English: 50%
34	Canada	English: 65%, French: 35%
35	Cape Verde	Portuguese: 100%
36	Cayman Islands	English: 95%, Spanish: 5%
37	Central African Republic	French: 100%
38	Chad	French: 50%, Arabic: 50%
39	Channel Islands	English: 100%
40	Chile	English: 100%
41	China	Chinese: 100%
42	Colombia	Spanish: 100%
43	Comoros	Arabic: 100%
44	Congo, Dem. Rep	French: 100%
45	Congo, Republic	French: 100%
46	Costa Rica	Spanish: 100%
47	Cote d'Ivoire	French: 100%
48	Croatia	Serbo-Croatian: 100%
49	Cuba	Spanish: 100%
50	Cyprus	Greek: 50%, French: 50%
51	Czech Republic	Czech: 100%
52	Denmark	Danish: 100%
53	Djibouti	French: 50%, Arabic: 50%
54	Dominica	English: 100%
55	Dominican Republic	Spanish: 100%
56	Ecuador	Spanish: 100%
57	Egypt	Arabic: 100%
58	El Salvador	Spanish: 100%
59	Equatorial Guinea	Spanish: 75%, French: 25%
60	Eritrea	Arabic: 70%, English: 30%
61	Estonia	Estonian: 70%, Russian: 30%
62	Ethiopia	Amharic: 32.7%, Oromo: 31.6%, Arabic: 7.5%, English: 7.5%
63	Faeroe Islands	Danish: 100%
64	Falkland Islands	English: 100%
65	Fiji	Hindi: 50%, English: 50%
66	Finland	Finnish: 95%, Swedish: 5%
67	France	French: 100%
68	French Guiana	French: 100%
69	French Polynesia	French: 61.1%
70	Gabon	French: 100%
71	Gambia	English: 100%
72	Georgia	Georgian: 80%, Russian: 10%, Armenian: 10%
73	Germany	German: 100%
74	Ghana	English: 100%
75	Gibraltar	English: 100%
76	Greece	Greek: 100%
77	Greenland	Danish: 13.7%
78	Grenada	English: 100%
79	Guam	English: 38.3%, Chamorro: 22.2%, Filipino : 22.2%
80	Guatemala	Spanish: 100%
81	Guinea	French: 100%
82	Guinea-Bissau	Portuguese: 100%
83	Guyana	English: 100%
84	Haiti	Haitian: 74.8%, French: 25.2%
85	Honduras	Spanish: 100%
86	Hong Kong	Chinese: 91.7%, English: 2.8%
87	Hungary	Hungarian: 93.6%
88	Iceland	Icelandic: 100%
89	India	Hindi: 41%, Bengali: 8.1%, Telugu: 7.2%, Marathi: 7%, Tamil: 5.9%, Urdu: 5%, Malayalam: 3.2%, Panjabi: 2.8%
90	Indonesia	Malay : 100%
91	Iran	Persian: 75%, Kurdish: 20%, Arabic: 5%
92	Iraq	Arabic: 80%, Kurdish: 20%
93	Ireland	English: 95%, Irish: 5%
94	Israel	Hebrew: 80%, Arabic: 20%
95	Italy	Italian: 100%
96	Jamaica	English: 100%
97	Japan	Japanese: 100%
98	Jordan	Arabic: 100%
99	Kazakhstan	Kazakh: 60%, Russian: 40%
100	Kenya	Swahili : 80%, English: 20%
101	Korea, DPR	Korean: 100%
102	Kuwait	Arabic: 50%, English: 50%
103	Kyrgyzstan	Kirghiz: 64.7%, Uzbek: 13.6%, Russian: 12.5%
104	Laos	Lao: 100%
105	Latvia	Latvian: 58.2%, Russian: 37.5%, Lithuanian: 4.3%
106	Lebanon	Arabic: 100%
107	Lesotho	English: 10%
108	Liberia	English: 20%
109	Libya	Arabic: 90%, English: 5%, Italian: 5%
110	Lithuania	Lithuanian: 80%, Russian: 10%, Polish: 10%
111	Luxembourg	Luxembourgish: 77%, French: 6%, German: 4%, English: 1%
112	Macao (China)	Chinese: 97%, English: 1.5%, Filipino : 1.3%
113	Macedonia	Macedonian: 66.5%, Albanian: 25.1%, Turkish: 8.4%
114	Madagascar	French: 100%
115	Malawi	English: 100%
116	Malaysia	Malay : 100%
117	Maldives	Dhivehi: 95%, English: 5%
118	Mali	Bambara: 80%
119	Malta	Maltese: 90.2%, English: 6%
120	Marshall Islands	English: 100%
121	Martinique	French: 100%
122	Mauritania	Arabic: 100%
123	Mauritius	Haitian: 80.5%, French: 3.5%, English: 1%
124	Mayotte	French: 100%
125	Mexico	Spanish: 100%
126	Micronesia	English: 100%
127	Moldova	Romanian: 75.17%, Russian: 15.99%, Ukrainian: 3.85%, Bulgarian: 1.14%
128	Mongolia	Mongolian: 100%
129	Montenegro	Serbo-Croatian: 91%, Albanian: 5%
130	Morocco	Arabic: 100%
131	Mozambique	Portuguese: 10.7%
132	Myanmar	Burmese: 66.7%
133	Namibia	German: 32%, English: 7%, Afrikaans: 4.4%
134	Netherlands	Dutch: 100%
135	New Caledonia	French: 100%
136	New Zealand	English: 91.2%
137	Nicaragua	Spanish: 97.5%
138	Niger	French: 100%
139	Nigeria	English: 100%
140	Norfolk Island	English: 100%
141	Norway	Norwegian: 100%
142	Oman	Arabic: 100%
143	Pakistan	Panjabi: 48%, Urdu: 8%
144	Palau	Filipino : 13.5%, English: 9.4%, Chinese: 5.7%, Japanese: 1.5%
145	Palestinian State	Arabic: 100%
146	Panama	Spanish: 86%, English: 14%
147	Papua New Guinea	English: 1%
148	Paraguay	Spanish: 3.1%
149	Peru	Spanish: 84.1%
150	Philippines	Filipino : 55%, English: 4%
151	Poland	Polish: 97.8%
152	Portugal	Portuguese: 100%
153	Puerto Rico	Spanish: 87%, English: 2.5%
154	Qatar	Arabic: 50%, English: 50%
155	Korea, Republic of	Korean: 100%
156	Reunion	French: 100%
157	Romania	Romanian: 91%, Hungarian: 6.7%
158	Russia	Russian: 100%
159	Rwanda	French: 20%, English: 20%
160	Saint Pierre and Miquelon	French: 100%
161	Sao Tome and Principe	Portuguese: 100%
162	Saudi Arabia	Arabic: 100%
163	Senegal	French: 100%
164	Serbia	Serbo-Croatian: 95%, Hungarian: 5%
165	Seychelles	Haitian: 95%, English: 5%
166	Sierra Leone	English: 100%
167	Singapore	Chinese: 40.7%, English: 23%, Malay : 14.1%
168	Slovakia	Slovak: 90%, Hungarian: 10%
169	Slovenia	Slovenian: 100%
170	Solomon Islands	English: 2%
171	Somalia	Somali: 80%, Arabic: 10%, English: 5%, Italian: 5%
172	South Africa	Zulu: 23.83%, Xhosa: 17.64%, Afrikaans: 13.35%, Pedi: 9.39%, English: 8.2%
173	South Sudan	Arabic: 50%, English: 50%
174	Spain	Spanish: 74%, Catalan: 17%, Galician: 7%, Basque: 2%
175	Sri Lanka	Sinhala: 74%, Tamil: 18%
176	St. Helena	English: 100%
177	St. Kitts and Nevis	English: 100%
178	St. Lucia	English: 100%
179	St. Vincent and the Grenadines	English: 100%
180	Sudan	Arabic: 50%, English: 50%
181	Suriname	Dutch: 100%
182	Swaziland	English: 100%
183	Sweden	Swedish: 100%
184	Switzerland	German: 66.7%, French: 23.4%, Italian: 8.9%, English: 1%
185	Syria	Arabic: 100%
186	Taiwan (Republic of China)	Chinese: 100%
187	Tajikistan	Tajik: 100%
188	Tanzania	Swahili : 90%, English: 10%
189	Thailand	Thai: 100%
190	Togo	French: 100%
191	Trinidad and Tobago	English: 100%
192	Tunisia	Arabic: 100%
193	Turkey	Turkish: 90%, Kurdish: 6%, Arabic: 1.2%
194	Turkmenistan	Turkmen: 72%, Russian: 12%, Uzbek: 9%
195	Turks and Caicos Islands	English: 100%
196	Uganda	Swahili : 80%, English: 20%
197	Ukraine	Ukrainian: 67%, Russian: 24%
198	United Arab Emirates	Arabic: 100%
199	United Kingdom	English: 96.3%, Scottish Gaelic: 2.5%, Welsh: 1.2%
200	United States	English: 82.1%, Spanish: 10.7%
201	Uruguay	Spanish: 100%
