Cook_Islands	
Bahrain	Arabic: 100%
Serbia	Serbo-Croatian: 95%, Hungarian: 5%
Johnston_Island	
Singapore	Chinese: 40.7%, English: 23%, Malay (macrolanguage): 14.1%
Ghana	English: 100%
Antarctica	
Cape Verde	Portuguese: 100%
Philippines	Filipino (macrolanguage): 55%, English: 4%
Egypt, Arab Rep.	Arabic: 100%
Tajikistan	Tajik: 100%
Greenland	Danish: 13.7%
Portugal	Portuguese: 100%
Democratic People's Republic of Korea	Korean: 100%
Guatemala	Spanish: 100%
Switzerland	German: 66.7%, French: 23.4%, Italian: 8.9%, English: 1%
Brunei Darussalam	Malay (macrolanguage): 80%, English: 20%
Israel	Hebrew: 80%, Arabic: 20%
Chile	English: 100%
Mauritania	Arabic: 100%
Tanzania	Swahili (macrolanguage): 90%, English: 10%
Netherlands	Dutch: 100%
Uzbekistan	Uzbek: 74.3%, Russian: 14.2%, Tajik: 4.4%
Hungary	Hungarian: 93.6%
Ethiopia	Amharic: 32.7%, Oromo: 31.6%, Arabic: 7.5%, English: 7.5%
Qatar	Arabic: 50%, English: 50%
Azerbaijan	Azerbaijani: 90.3%, Russian: 1.8%, Armenian: 1.5%
Bermuda	English: 91.8%, Portuguese: 4%
Gabon	French: 100%
Norfolk Island	English: 100%
Algeria	Arabic: 73%, French: 5%
Falkland Islands	English: 100%
Kyrgyzstan	Kirghiz: 64.7%, Uzbek: 13.6%, Russian: 12.5%
Ecuador	Spanish: 100%
Iceland	Icelandic: 100%
Russia	Russian: 100%
Sri Lanka	Sinhala: 74%, Tamil: 18%
Libya	Arabic: 90%, English: 5%, Italian: 5%
Belgium	Dutch: 60%, French: 40%
Latvia	Latvian: 58.2%, Russian: 37.5%, Lithuanian: 4.3%
Japan	Japanese: 100%
Slovakia	Slovak: 90%, Hungarian: 10%
Bahamas, The	English: 100%
Mali	Bambara: 80%
Comoros	Arabic: 100%
Sudan	Arabic: 50%, English: 50%
Burkina Faso	French: 100%
Denmark	Danish: 100%
Honduras	Spanish: 100%
Malaysia	Malay (macrolanguage): 100%
St. Kitts and Nevis	English: 100%
Luxembourg	Luxembourgish: 77%, French: 6%, German: 4%, English: 1%
Bolivia	Spanish: 60.7%, Quechua: 21.2%, Aymara: 14.6%
Micronesia, Federated States of	English: 100%
Malawi	English: 100%
Costa Rica	Spanish: 100%
United States	English: 82.1%, Spanish: 10.7%
Wallis_&_Futuna_Is	French: 10.8%
Neth_Antilles	
Mauritius	Haitian: 80.5%, French: 3.5%, English: 1%
Channel Islands	English: 100%
Croatia	Serbo-Croatian: 100%
Thailand	Thai: 100%
Congo, Republic	French: 100%
Macedonia, Former Yugoslav Republic of	Macedonian: 66.5%, Albanian: 25.1%, Turkish: 8.4%
Palestinian Authority	Arabic: 100%
Puerto Rico	Spanish: 87%, English: 2.5%
Nicaragua	Spanish: 97.5%
Seychelles	Haitian: 95%, English: 5%
Caroline_Is	
Austria	German: 88.6%, Turkish: 2.3%, Serbo-Croatian: 2.2%
Zimbabwe	English: 100%
Ukraine	Ukrainian: 67%, Russian: 24%
Pakistan	Panjabi: 48%, Urdu: 8%
Cameroon	French: 50%, English: 50%
Tuvalu	
Bangladesh	Bengali: 98%, English: 2%
Andorra	Catalan: 50%, Spanish: 40%, French: 10%
Czech Republic	Czech: 100%
Aruba	Spanish: 12.6%, English: 7.7%, Dutch: 5.8%
Haiti	Haitian: 74.8%, French: 25.2%
Monaco	
Romania	Romanian: 91%, Hungarian: 6.7%
Dominica	English: 100%
Guinea	French: 100%
Lesotho	English: 10%
Cuba	Spanish: 100%
St. Helena	English: 100%
Mongolia	Mongolian: 100%
Germany	German: 100%
New_Caledonia	French: 100%
Greece	Modern Greek (1453-): 100%
Sweden	Swedish: 100%
Belize	Spanish: 46%, Haitian: 32.9%, English: 3.9%
Jamaica	English: 100%
Kuwait	Arabic: 50%, English: 50%
Mexico	Spanish: 100%
Mozambique	Portuguese: 10.7%
France	French: 100%
Faeroe Islands	Danish: 100%
Colombia	Spanish: 100%
Tonga	
Tunisia	Arabic: 100%
Guam	English: 38.3%, Chamorro: 22.2%, Filipino (macrolanguage): 22.2%
Cocos_Islands	
Saint Pierre and Miquelon	French: 100%
Turks and Caicos Islands	English: 100%
Trinidad and Tobago	English: 100%
Belarus	Russian: 62.8%, Belarusian: 36.7%
Angola	Portuguese: 80%
Indonesia	Malay (macrolanguage): 100%
Estonia	Estonian: 70%, Russian: 30%
Taiwan	Chinese: 100%
French Guiana	French: 100%
Sao Tome and Principe	Portuguese: 100%
Guinea-Bissau	Portuguese: 100%
Cayman Islands	English: 95%, Spanish: 5%
Reunion	French: 100%
United Kingdom	English: 96.3%, Scottish Gaelic: 2.5%, Welsh: 1.2%
Mayotte	French: 100%
Albania	Albanian: 95%, Romanian: 5%
Myanmar	Burmese: 66.7%
Slovenia	Slovenian: 100%
Uruguay	Spanish: 100%
Nauru	
American_Samoa	English: 2.9%
Uganda	Swahili (macrolanguage): 80%, English: 20%
Afghanistan	Persian: 50%
Martinique	French: 100%
Fiji	Hindi: 50%, English: 50%
Turkmenistan	Turkmen: 72%, Russian: 12%, Uzbek: 9%
Malta	Maltese: 90.2%, English: 6%
India	Hindi: 41%, Bengali: 8.1%, Telugu: 7.2%, Marathi: 7%, Tamil: 5.9%, Urdu: 5%, Malayalam: 3.2%, Panjabi: 2.8%
Rome	Latin: 100%
Chad	French: 50%, Arabic: 50%
Moldova	Romanian: 75.17%, Russian: 15.99%, Ukrainian: 3.85%, Bulgarian: 1.14%
Canada	English: 65%, French: 35%
Eritrea	Arabic: 70%, English: 30%
Virgin Islands, U.S.	English: 74.7%, Spanish: 16.8%, French: 6.6%
Poland	Polish: 97.8%
Bhutan	
Montenegro	Serbo-Croatian: 91%, Albanian: 5%
Lao People's Democratic Republic	Lao: 100%
Maldives	Dhivehi: 95%, English: 5%
Senegal	French: 100%
Djibouti	French: 50%, Arabic: 50%
Sierra Leone	English: 100%
Grenada	English: 100%
Argentina	Spanish: 85%, Italian: 3.8%
Guadeloupe	
Norway	Norwegian: 100%
Republic of Korea	Korean: 100%
Palau	Filipino (macrolanguage): 13.5%, English: 9.4%, Chinese: 5.7%, Japanese: 1.5%
Christmas_Island	
Bulgaria	Bulgarian: 84.5%, Turkish: 9.6%
Western Sahara	Arabic: 100%
Morocco	Arabic: 100%
Niue	
Ireland	English: 95%, Irish: 5%
Botswana	English: 2.1%
St. Vincent and the Grenadines	English: 100%
Northern_Mariana_Islands	
Arab World	Arabic: 100%
New Zealand	English: 91.2%
Samoa	
Bosnia and Herzegovina	Serbo-Croatian: 33.2%
Hong Kong	Chinese: 91.7%, English: 2.8%
Armenia	Armenian: 97.7%, Russian: 0.9%
Anc Greece	Ancient Greek (to 1453): 100%
Rwanda	French: 20%, English: 20%
Saudi Arabia	Arabic: 100%
Zambia	English: 1.7%
Congo, Dem. Rep.	French: 100%
Kiribati	
Niger	French: 100%
Cyprus	Modern Greek (1453-): 50%, French: 50%
United Arab Emirates	Arabic: 100%
Gibraltar	English: 100%
China	Chinese: 100%
Erythrea	
Somalia	Somali: 80%, Arabic: 10%, English: 5%, Italian: 5%
Lebanon	Arabic: 100%
El Salvador	Spanish: 100%
Papua New Guinea	English: 1%
South Sudan	Arabic: 50%, English: 50%
Peru	Spanish: 84.1%
Kazakhstan	Kazakh: 60%, Russian: 40%
Spain	Spanish: 74%, Catalan: 17%, Galician: 7%, Basque: 2%
Solomon_Islands	English: 2%
Lithuania	Lithuanian: 80%, Russian: 10%, Polish: 10%
Jordan	Arabic: 100%
Brazil	Portuguese: 100%
Anguilla	English: 100%
French_Polynesia	French: 61.1%
Madagascar	French: 100%
Georgia	Georgian: 80%, Russian: 10%, Armenian: 10%
Benin	French: 40%
Syrian Arab Republic	Arabic: 100%
Kenya	Swahili (macrolanguage): 80%, English: 20%
Iran, Islamic Rep.	Persian: 75%, Kurdish: 20%, Arabic: 5%
Paraguay	Spanish: 3.1%
Cote d'Ivoire	French: 100%
Namibia	German: 32%, English: 7%, Afrikaans: 4.4%
South Africa	Zulu: 23.83%, Xhosa: 17.64%, Afrikaans: 13.35%, Pedi: 9.39%, English: 8.2%
Gambia, The	English: 100%
Iraq	Arabic: 80%, Kurdish: 20%
Vanuatu	English: 2%
Marshall Islands	English: 100%
Barbados	English: 100%
Virgin Islands, U.K.	
Suriname	Dutch: 100%
Nepal	
Togo	French: 100%
Nigeria	English: 100%
Venezuela	Spanish: 100%
Macao SAR, China	Chinese: 97%, English: 1.5%, Filipino (macrolanguage): 1.3%
Vietnam	Vietnamese: 100%
Dominican Republic	Spanish: 100%
Equatorial Guinea	Spanish: 75%, French: 25%
Swaziland	English: 100%
Guyana	English: 100%
Australia	English: 78.5%, Chinese: 2.5%, Italian: 1.6%, Modern Greek (1453-): 1.3%, Arabic: 1.2%
Oman	Arabic: 100%
Panama	Spanish: 86%, English: 14%
Finland	Finnish: 95%, Swedish: 5%
Antigua and Barbuda	English: 100%
Cambodia	Central Khmer: 95%, French: 2.5%, English: 2.5%
Turkey	Turkish: 90%, Kurdish: 6%, Arabic: 1.2%
Liberia	English: 20%
St. Lucia	English: 100%
Italy	Italian: 100%
Central African Republic	French: 100%
Burundi	French: 0.02%
Yemen, Rep.	Arabic: 100%
