Num	Language	Code	People (all years)	People (1800-1950 only)
1	Afrikaans	afr	8.7	3.6
2	Albanian	sqi	21.5	11.1
3	Arabic	ara	194.2	86.9
4	Armenian	hye	17.1	8.4
5	Azerbaijani	aze	12.6	9.9
6	Basque	eus	6.9	2
7	Belarusian	bel	9.9	4
8	Bengali	ben	22.2	15
9	Bulgarian	bul	20.4	9.3
10	Catalan	cat	59.8	17.5
11	Chinese	zho	154.6	55.5
12	Czech	ces	37	16
13	Danish	dan	96.4	38.1
14	Dutch	nld	267.5	106.5
15	English	eng	5071	2325.1
16	Estonian	est	16.1	7.7
17	Filipino	fil	14.2	10.8
18	Finnish	fin	79.8	37
19	French	fra	1145.8	586.1
20	Galician	glg	24.2	7
21	Georgian	kat	25.6	11.2
22	German	deu	1019.9	574.5
23	Greek (Modern)	ell	112	37
24	Haitian	hat	9.4	4.6
25	Hebrew	heb	44.8	22.4
26	Hindi	hin	68.7	36.6
27	Hungarian	hun	91.7	66.8
28	Icelandic	isl	14	5
29	Italian	ita	661.9	227.5
30	Japanese	jpn	216	93
31	Kazakh	kaz	16.2	12
32	Kirghiz	kir	1.9	1.3
33	Korean	kor	7	4
34	Latvian	lav	9.9	7
35	Lithuanian	lit	20.7	12.5
36	Macedonian	mkd	5.3	1.3
37	Malay	msa	22.8	14.4
38	Malayalam	mal	5.3	2.8
39	Maltese	mlt	6.3	3.6
40	Marathi	mar	11.6	6.2
41	Mongolian	mon	7	2
42	Norwegian	nor	79	42
43	Persian	fas	41.8	15.8
44	Polish	pol	181.5	123.8
45	Portuguese	por	264.6	90.4
46	Romanian	ron	65.4	32.2
47	Russian	rus	449.6	279.6
48	Serbo-Croatian	hbs	145.4	34.4
49	Sinhala	sin	5.2	4.4
50	Slovak	slk	30.6	9
51	Slovenian	slv	28	6
52	Spanish	spa	994.6	391.1
53	Swahili	swa	21.2	10.7
54	Swedish	swe	179.2	74
55	Tajik	tgk	4.4	1.1
56	Tamil	tam	11	6.3
57	Thai	tha	6	4
58	Turkish	tur	93.2	28.1
59	Turkmen	tuk	2.2	0.7
60	Ukrainian	ukr	76.6	41.6
61	Urdu	urd	10.7	5.8
62	Uzbek	uzb	7.4	1.8
63	Vietnamese	vie	12	10
64	Welsh	cym	18.2	8.1
