Language	Code	ev.Twitter	ev.Wikipedia	ev.Book translations	bet.Twitter	bet.Wikipedia	bet.Book translations	speakers.millions	gdp.pc.dollars
Afrikaans	afr	0.28		0.03	0		0	13	10373
Albanian	sqi	0.21	0.05	0.2	0	0	65	16	9182
Arabic	ara	0.27	0.17	0.32	46.5	0	12.45	530	8720
Armenian	hye			0.06			0	6	5598
Azerbaijani	aze	0.09		0.06	0		0	27	11902
Bashkir	bak			0.03			0	2	0
Basque	eus	0.1		0.16	0		0	1	30626
Belarusian	bel			0.06			0	6	15028
Bengali	ben		0.05	0.1		0	0	230	2457
Bulgarian	bul	0.08	0.1	0.29	0	0	0	12	13488
Catalan	cat	0.32	0.16	0.28	0	0	0.2	9	30626
Chinese	zho	0.16	0.4	0.35	0	0	111.6	1575	9207
Czech	ces	0.43	0.18	0.47	48	0	7.46	12	27062
Danish	dan	0.19	0.18	0.5	2.5	0	6.96	6	37152
Dutch	nld	0.48	0.58	0.54	8.54	0	5.79	27	40518
English	eng	1	1	1	952.15	830.47	1324.42	1500	32953
Esperanto	epo		0.05			0		1	0
Estonian	est	0.06	0.05	0.29	0	0	0	1.07	20380
Filipino	fil	0.58			14.95			90	4073
Finnish	fin	0.09	0.32	0.41	0	0	4.87	6	36236
French	fra	0.51	0.82	0.91	57.82	46.47	488.32	200	15103
French (Old)	fro			0.03			0	0	0
Galician	glg	0.25	0.07	0.12	0	0	0	4	30626
Georgian	kat			0.06			0	4	5491
German	deu	0.35	0.88	0.95	1.67	116.47	489.17	185	38268
German (Middle High)	gmh			0.03			0	0	0
Greek (Ancient)	grc			0.28			0	0	0
Greek (Modern)	ell	0.17	0.1	0.27	0	0	0	15	26693
Haitian	hat	0.11			0			12	1235
Hebrew	heb	0.06	0.18	0.24	0	0	0	10	30975
Hindi	hin	0.06	0.05	0.1	0	0	0	550	3696
Hungarian	hun	0.06	0.26	0.48	0	0	8.32	15	18672
Icelandic	isl			0.18			0	0.32	38061
Italian	ita	0.47	0.67	0.67	1.07	1.9	27.33	70	30623
Japanese	jpn	0.27	0.72	0.49	11.5	15.3	22.45	132	34740
Kara-Kalpak	kaa			0.03			0	0.41	0
Kazakh	kaz			0.07			2.17	12	13001
Kirghiz	kir			0.06			0	5	2372
Korean	kor	0.4	0.16	0.2	100.23	0	0	78	21723
Latin	lat		0.05	0.26		0	0	0.01	0
Latvian	lav	0.06		0.16	0		0	2.15	15662
Lithuanian	lit		0.05	0.23		0	0	4	18856
Macedonian	mkd			0.09			0	3	10367
Malay	msa	0.82	0.1	0.05	128.4	0	0	300	6023
Malayalam	mal		0.05	0.03		0	0	37	3694
Maltese	mlt	0.09			0			0.37	25428
Maori	mri			0.03			0	0.157	27668
Marathi	mar			0.03			0	90	3694
Moldavian	mol			0.13			0	3.5	0
Mongolian	mon			0.04			0	5	4744
Norwegian	nor	0.09	0.32	0.45	45.5	0	2.61	5	53471
Occitan	oci			0.03			0	2	0
Persian	fas	0.09	0.1	0.2	0	0	0	107	9826
Polish	pol	0.06	0.52	0.55	0	0	14.44	43	20326
Portuguese	por	0.57	0.46	0.35	32.5	0	0	290	11853
Romanian	ron	0.1	0.18	0.34	0	0	0	28	11354
Russian	rus	0.22	0.64	0.86	121.33	9.57	1454.82	278	15487
Sanskrit	san			0.07			0	0.05	0
Serbo-Croatian	hbs	0.17	0.18	0.45	0	0	20.95	23	12908
Sinhala	sin			0.03			0	19	5674
Slovak	slk	0.11	0.05	0.36	0	0	0.48	7	23432
Slovenian	slv	0.06	0.05	0.24	0	0	0	2	28642
Spanish	spa	0.69	0.72	0.78	100.59	83.3	212.73	500	16777
Swahili	swa	0.14			0			50	1415
Swedish	swe	0.12	0.64	0.57	88	6.5	11.47	10	40265
Tajik	tgk			0.03			0	4	2238
Tamil	tam	0.06	0.05	0.06	0	0	0	66	3923
Tatar	tat			0.06			0	8	0
Thai	tha	0.22	0.05	0.03	0	0	0	73	9396
Tibetan	bod			0.05			0	7	0
Turkish	tur	0.31	0.26	0.17	46.75	0	0	70	14623
Turkmen	tuk			0.03			0	9	5816
Uighur	uig			0.04			0	10	0
Ukrainian	ukr	0.03	0.16	0.13	0	0	0	45	7242
Urdu	urd			0.07			0	60	3511
Uzbek	uzb			0.06			0	24	3182
Vietnamese	vie	0.1	0.05	0.03	0	0	0	80	3447
Welsh	cym	0.06		0.07	0		0	0.75	0
Yiddish	yid			0.07			0	3	0
