Code	unw.eig	unw.bet	exposure.eig	exposure.bet	common.eig	common.bet	Lang_Name
afr	0.034220195108228	0	0.20683372371391	0	0.00172755118431194	0	Afrikaans
ara	0.321843319844543	12.45	0.155027350787241	305	0.0302931426949928	314	Arabic
aze	0.0587210081334555	0	0.0535423879994728	0	0.000710867531065532	0	Azerbaijani
bak	0.0293605040667277	0	0.0686790101357928	0	0.000202661548157797	0	Bashkir
bel	0.0587210081334555	0	0.0494761909374365	0	0.000851444578693589	0	Belarusian
ben	0.101348580175718	0	0.0992140914267034	0	0.00293259638748286	132	Bengali
bod	0.0463574912629782	0	0.0357966523665301	0	0.001082691734572	23	Tibetan
bul	0.291313211135865	0	0.14078680642162	33	0.0430116523982609	61	Bulgarian
cat	0.277040665022585	0.2	0.109543713843198	0	0.035321110150211	0	Catalan
ces	0.474386986264056	7.45615079365079	0.148623176599696	4	0.126405138510365	22	Czech
cym	0.0684403902164559	0	0.208050478090683	0	0.00629855823685621	0	Welsh
dan	0.502651584265192	6.95555555555556	0.168092941663583	103	0.131832358083272	98	Danish
deu	0.948573661161241	489.173412698413	0.30342572393004	574	0.661780023564657	570	German
ell	0.27431646054084	0	0.155522871323343	0	0.0561381176170855	0	Modern Greek
eng	1	1324.42341269841	1	854	1	930	English
est	0.293886259592247	0	0.15002365120862	0	0.0393791498039794	14.5	Estonian
eus	0.160438463133299	0	0.0823822580279888	0	0.00550729939975583	96	Basque
fas	0.204823747582721	0	0.167622774738913	44	0.0226654850350258	137	Persian
fin	0.414018475113666	4.8702380952381	0.156374038847248	71	0.0849998403141436	149	Finnish
fra	0.908485778147254	488.31626984127	0.312244886831475	440	0.603946106741266	447	French
fro	0.0310885605812494	0	0.000104797772201461	0	0.000520263976505105	0	Old French
glg	0.11849770176385	0	0.0632873442928361	0	0.00313332759147833	250	Galician
gmh	0.0324603757594638	0	7.90758059252821e-05	0	0.000542275487939931	0	Middle High German
grc	0.282279184003563	0	0.00725764960417354	0	0.016291250769329	0	Ancient Greek
hbs	0.447113949111919	20.9454365079365	0.149374797594216	50	0.0856578689010723	125	Serbo-Croatian
heb	0.240628268852555	0	0.183163666865555	56	0.0344776747227909	173	Hebrew
hin	0.103672287119184	0	0.0726107718719234	0	0.00324779050833262	14	Hindi
hun	0.480815797918295	8.31964285714286	0.142779824675676	36	0.10394623172435	117	Hungarian
hye	0.0587210081334555	0	0.0554210032583682	0	0.000903329482707733	0	Armenian
isl	0.182405051901754	0	0.138740644403721	0	0.010532341368245	30	Icelandic
ita	0.666951794601442	27.3313492063492	0.171049955222486	114	0.166518112606872	164.5	Italian
jpn	0.486422610783059	22.4535714285714	0.193843469072005	295	0.294078609949342	99	Japanese
kaa	0.0293605040667277	0	0.057378204664871	0	0.000191575030206059	0	Kara-Kalpak
kat	0.0587210081334554	0	0.0462326141927288	0	0.000878939143213907	0	Georgian
kaz	0.0708583042882058	2.16666666666667	0.0526013960335898	0	0.00106457110678149	19	Kazakh
kir	0.0587210081334554	0	0.0627408684066268	0	0.000722840970453413	0	Kirghiz
kor	0.199138265052469	0	0.180033670460335	0	0.0479972995191075	0	Korean
lat	0.261057064078141	0	0.00837131215236315	0	0.0203477659365587	0	Latin
lav	0.156490139582397	0	0.130438024427573	0	0.0121455310125721	136	Latvian
lit	0.232258362339215	0	0.126382272968028	0	0.0238300391993597	10	Lithuanian
mal	0.034220195108228	0	0.0817419674750452	0	0.0010575414682342	0	Malayalam
mar	0.034220195108228	0	0.0869559891951946	0	0.000821754076861895	0	Marathi
