Language	Code	ev.Twitter	ev.Wikipedia	ev.Book translations	bet.Twitter	bet.Wikipedia	bet.Book translations
Afrikaans	afr	0.28		0.03	0		0
Albanian	sqi	0.21	0.05	0.2	0	0	65
Arabic	ara	0.27	0.17	0.32	46.5	0	12.45
Armenian	hye			0.06			0
Azerbaijani	aze	0.09		0.06	0		0
Bashkir	bak			0.03			0
Basque	eus	0.1		0.16	0		0
Belarusian	bel			0.06			0
Bengali	ben		0.05	0.1		0	0
Bulgarian	bul	0.08	0.1	0.29	0	0	0
Catalan	cat	0.32	0.16	0.28	0	0	0.2
Chinese	zho	0.16	0.4	0.35	0	0	111.6
Czech	ces	0.43	0.18	0.47	48	0	7.46
Danish	dan	0.19	0.18	0.5	2.5	0	6.96
Dutch	nld	0.48	0.58	0.54	8.54	0	5.79
English	eng	1	1	1	952.15	830.47	1324.42
Esperanto	epo		0.05			0	
Estonian	est	0.06	0.05	0.29	0	0	0
Filipino	fil	0.58			14.95		
Finnish	fin	0.09	0.32	0.41	0	0	4.87
French	fra	0.51	0.82	0.91	57.82	46.47	488.32
French (Old)	fro			0.03			0
Galician	glg	0.25	0.07	0.12	0	0	0
Georgian	kat			0.06			0
German	deu	0.35	0.88	0.95	1.67	116.47	489.17
German (Middle High)	gmh			0.03			0
Greek (Ancient)	grc			0.28			0
Greek (Modern)	ell	0.17	0.1	0.27	0	0	0
Haitian	hat	0.11			0		
Hebrew	heb	0.06	0.18	0.24	0	0	0
Hindi	hin	0.06	0.05	0.1	0	0	0
Hungarian	hun	0.06	0.26	0.48	0	0	8.32
Icelandic	isl			0.18			0
Italian	ita	0.47	0.67	0.67	1.07	1.9	27.33
Japanese	jpn	0.27	0.72	0.49	11.5	15.3	22.45
Kara-Kalpak	kaa			0.03			0
Kazakh	kaz			0.07			2.17
Kirghiz	kir			0.06			0
Korean	kor	0.4	0.16	0.2	100.23	0	0
Latin	lat		0.05	0.26		0	0
Latvian	lav	0.06		0.16	0		0
Lithuanian	lit		0.05	0.23		0	0
Macedonian	mkd			0.09			0
Malay	msa	0.82	0.1	0.05	128.4	0	0
Malayalam	mal		0.05	0.03		0	0
Maltese	mlt	0.09			0		
Maori	mri			0.03			0
Marathi	mar			0.03			0
Moldavian	mol			0.13			0
Mongolian	mon			0.04			0
Norwegian	nor	0.09	0.32	0.45	45.5	0	2.61
Occitan	oci			0.03			0
Persian	fas	0.09	0.1	0.2	0	0	0
Polish	pol	0.06	0.52	0.55	0	0	14.44
Portuguese	por	0.57	0.46	0.35	32.5	0	0
Romanian	ron	0.1	0.18	0.34	0	0	0
Russian	rus	0.22	0.64	0.86	121.33	9.57	1454.82
Sanskrit	san			0.07			0
Serbo-Croatian	hbs	0.17	0.18	0.45	0	0	20.95
Sinhala	sin			0.03			0
Slovak	slk	0.11	0.05	0.36	0	0	0.48
Slovenian	slv	0.06	0.05	0.24	0	0	0
Spanish	spa	0.69	0.72	0.78	100.59	83.3	212.73
Swahili	swa	0.14			0		
Swedish	swe	0.12	0.64	0.57	88	6.5	11.47
Tajik	tgk			0.03			0
Tamil	tam	0.06	0.05	0.06	0	0	0
Tatar	tat			0.06			0
Thai	tha	0.22	0.05	0.03	0	0	0
Tibetan	bod			0.05			0
Turkish	tur	0.31	0.26	0.17	46.75	0	0
Turkmen	tuk			0.03			0
Uighur	uig			0.04			0
Ukrainian	ukr	0.03	0.16	0.13	0	0	0
Urdu	urd			0.07			0
Uzbek	uzb			0.06			0
Vietnamese	vie	0.1	0.05	0.03	0	0	0
Welsh	cym	0.06		0.07	0		0
Yiddish	yid			0.07			0
