Code	Language	Number of Speakers (millions)	GDP per capita ($)
afr	Afrikaans	13	10373
ara	Arabic	530	8720
aze	Azerbaijani	27	11902
bak	Bashkir	2	
bel	Belarusian	6	15028
ben	Bengali	230	2457
bod	Tibetan	7	
bul	Bulgarian	12	13488
cat	Catalan	9	30626
ces	Czech	12	27062
cym	Welsh	0.75	
dan	Danish	6	37152
deu	German	185	38268
ell	Modern Greek	15	26693
eng	English	1500	32953
epo	Esperanto	1	
est	Estonian	1.07	20380
eus	Basque	1	30626
fas	Persian	107	9826
fil	Filipino	90	4073
fin	Finnish	6	36236
fra	French	200	15103
fro	Old French	1e-06	
glg	Galician	4	30626
gmh	Middle High German	1e-06	
grc	Ancient Greek	1e-06	
hat	Haitian	12	1235
hbs	Serbo-Croatian	23	12908
heb	Hebrew	10	30975
hin	Hindi	550	3696
hun	Hungarian	15	18672
hye	Armenian	6	5598
isl	Icelandic	0.32	38061
ita	Italian	70	30623
jpn	Japanese	132	34740
kaa	Kara-Kalpak	0.41	
kat	Georgian	4	5491
kaz	Kazakh	12	13001
kir	Kirghiz	5	2372
kor	Korean	78	21723
lat	Latin	0.01	
lav	Latvian	2.15	15662
lit	Lithuanian	4	18856
mal	Malayalam	37	3694
mar	Marathi	90	3694
mkd	Macedonian	3	10367
mlt	Maltese	0.37	25428
mol	Moldavian	3.5	
mon	Mongolian	5	4744
mri	Maori	0.157	27668
msa	Malay	300	6023
nld	Dutch	27	40518
nor	Norwegian	5	53471
oci	Occitan	2	
pol	Polish	43	20326
por	Portuguese	290	11853
ron	Romanian	28	11354
rus	Russian	278	15487
san	Sanskrit	0.05	
sin	Sinhala	19	5674
slk	Slovak	7	23432
slv	Slovenian	2	28642
spa	Spanish	500	16777
sqi	Albanian	16	9182
swa	Swahili	50	1415
swe	Swedish	10	40265
tam	Tamil	66	3923
tat	Tatar	8	
tgk	Tajik	4	2238
tha	Thai	73	9396
tuk	Turkmen	9	5816
tur	Turkish	70	14623
uig	Uighur	10	
ukr	Ukrainian	45	7242
urd	Urdu	60	3511
uzb	Uzbek	24	3182
vie	Vietnamese	80	3447
yid	Yiddish	3	
zho	Chinese	1575	9207
