	Country	Languages			Country	Languages			Country	Languages			Country	Languages
1	Afghanistan	"Persian 50%, Pushto 35%, Uzbek 6%, Turkmen 5%"		52	Dominican Republic	Spanish 100%		103	Kuwait	Arabic 100%		154	Russia	Russian 100%
2	Albania	"Albanian 95%, Greek (Modern) 3%"		53	Ecuador	Spanish 100%		104	Kyrgyzstan	"Kirghiz 64.7%, Uzbek 13.6%, Russian 12.5%"		155	Rwanda	Kinyarwanda 98%
3	Algeria	"Arabic 80%, French 20%"		54	Egypt	Arabic 100%		105	Laos	Lao 100%		156	Saint Kitts and Nevis	English 100%
4	Anc. Greece	Greek (Ancient) 100%		55	El Salvador	Spanish 100%		106	Latvia	"Latvian 58.2%, Russian 37.5%"		157	Saint Lucia	English 100%
5	Andorra	"Catalan 40%, Spanish 35%, Portuguese 15%, French 5.5%"		56	Equatorial Guinea	"Spanish 67.6%, French 20%"		107	Lebanon	"Arabic 80%, French 20%"		158	Samoa	"Samoan 90%, English 10%"
6	Angola	Portuguese 70%		57	Eritrea	"Tigrinya 55%, Tigre 16%"		108	Lesotho	Southern Sotho 100%		159	Saudi Arabia	Arabic 100%
7	Arab World	Arabic 100%		58	Estonia	"Estonian 67.3%, Russian 29.7%"		109	Liberia	English 20%		160	Senegal	"Wolof 70%, French 10%"
8	Argentina	Spanish 98%		59	Ethiopia	"Oromo 33.8%, Amharic 29.3%, Somali 6.2%, Tigre 5.9%, Sidamo 4%"		110	Libya	Arabic 95%		161	Serbia	"Serbo-Croatian 90.1%, Hungarian 3.8%, Romany 1.1%"
9	Armenia	"Armenian 97.7%, Russian 0.9%"		60	Faroe Islands	Faroese 100%		111	Lithuania	"Lithuanian 82%, Russian 8%, Polish 5.6%"		162	Seychelles	"Seselwa Creole French 91%, English 4.9%"
10	Aruba	"Papiamento 66.3%, Spanish 12.6%, English 7.7%, Dutch 5.8%"		61	Fiji	"Fiji Hindi 45.3%, Fijian 39.3%"		112	Luxembourg	"Luxembourgish 77%, French 6%, German 4%, English 1%"		163	Sierra Leone	Krio 90%
11	Australia	"English 78.5%, Chinese 2.5%, Italian 1.6%, Greek (Modern) 1.3%, Arabic 1.2%, Vietnamese 1%"		62	Finland	"Finnish 91.2%, Swedish 5.5%"		113	Macedonia	"Macedonian 66.5%, Albanian 25.1%, Turkish 3.5%, Romany 1.9%, Serbo-Croatian 1.2%"		164	Singapore	"Chinese 58.8%, English 23%, Malay 14.1%, Tamil 3.2%"
12	Austria	"German 88.6%, Serbo-Croatian 3.8%, Turkish 2.3%"		63	France	French 100%		114	Madagascar	"French 70%, Malagasy 30%"		165	Slovakia	"Slovak 83.9%, Hungarian 10.7%, Romany 1.8%, Ukrainian 1%"
13	Azerbaijan	"Azerbaijani 90.3%, Lezghian 2.2%, Russian 1.8%, Armenian 1.5%"		64	French Guiana	French 100%		115	Malawi	"Nyanja 70%, Yao 10.1%, Tumbuka 9.5%"		166	Slovenia	"Slovenian 91.1%, Serbo-Croatian 4.5%"
14	"Bahamas, The"	English 100%		65	Gabon	"French 75%, Fang (Equatorial Guinea) 25%"		116	Malaysia	Malay 100%		167	Solomon Islands	English 2%
15	Bahrain	Arabic 100%		66	"Gambia, The"	English 100%		117	Maldives	Dhivehi 100%		168	Somalia	"Somali 80%, Arabic 20%"
16	Bangladesh	Bengali 98%		67	Georgia	"Georgian 71%, Russian 9%, Armenian 7%, Azerbaijani 6%"		118	Mali	"Bambara 46.3%, French 10%, Fulah 9.4%, Soninke 6.4%"		169	South Africa	"Zulu 23.82%, Xhosa 17.64%, Afrikaans 13.35%, Pedi 9.39%, Tswana 8.2%, English 8.2%, Southern Sotho 7.93%"
17	Barbados	English 100%		68	Germany	German 100%		119	Malta	"Maltese 90.2%, English 6%"		170	South Sudan	Arabic 50%
18	Belarus	"Russian 70.2%, Belarusian 23.4%"		69	Ghana	"Akan 24.7%, English 21.3%, Ewe 12.7%, Abron 4.6%"		120	Martinique	French 100%		171	Spain	"Spanish 74%, Catalan 17%, Galician 7%, Basque 2%"
19	Belgium	"Dutch 60%, French 40%"		70	Gibraltar	English 100%		121	Mauritania	Arabic 100%		172	Sri Lanka	"Sinhala 74%, Tamil 18%"
20	Belize	"English 41%, Spanish 32%"		71	Greece	Greek (Modern) 99%		122	Mauritius	"Bhojpuri 12.1%, French 3.4%, English 1%"		173	Sudan	Arabic 100%
21	Benin	"French 40%, Fon 39%, Yoruba 12%"		72	Greenland	Danish 100%		123	Mexico	Spanish 98.5%		174	Suriname	Dutch 60%
22	Bermuda	English 100%		73	Grenada	"English 87%, French 2%"		124	Moldova	"Romanian 76.5%, Russian 11.2%, Ukrainian 4.4%, Gagauz 4%, Bulgarian 1.6%"		175	Swaziland	Swati 98%
