Num	Country	People (all years)	People (1800-1950 only)
1	Argentina	2	2
2	Australia	4	4
3	Austria	75	48
4	Belgium	82	27
5	Brazil	3	3
6	Bulgaria	1	1
7	Canada	11	11
8	Chile	3	3
9	China	237	22
10	Croatia	5	3
11	Cuba	3	3
12	Czech Republic	48	28
13	Denmark	37	20
14	Finland	6	5
15	France	542	236
16	Germany	536	267
17	Greece	9	6
18	Guatemala	1	1
19	Hungary	21	18
20	Iceland	2	1
21	India	93	16
22	Italy	389	58
23	Japan	169	57
24	Kenya	1	1
25	Mexico	5	4
26	Montenegro	1	1
27	Netherlands	84	31
28	New Zealand	3	3
29	Nicaragua	1	1
30	Norway	23	22
31	Peru	1	1
32	Poland	25	21
33	Portugal	11	4
34	Romania	5	4
35	Russia	134	118
36	Serbia	2	2
37	Slovakia	4	4
38	Slovenia	2	2
39	South Africa	1	1
40	Spain	76	26
41	Sweden	44	21
42	Switzerland	64	32
43	United Kingdom	531	230
44	United States	297	272
45		134	
46		86	14
47		55	
