Num	Language	Code	People (all years)	People (1800-1950 only)
1	Afrikaans	afr	0.13	0.13
2	Albanian	sqi	0.88	0.47
3	Ancient Greek	grc	134	
4	Arabic	ara	86.05	14.05
5	Basque	eus	1.52	0.52
6	Bengali	ben	7.53	1.3
7	Bulgarian	bul	0.77	0.77
8	Catalan	cat	12.92	4.42
9	Chinese	zho	237.16	22.16
10	Czech	ces	45.79	26.71
11	Danish	dan	37	20
12	Dutch	nld	133.2	47.2
13	English	eng	788.1	466.26
14	Finnish	fin	5.47	4.56
15	French	fra	590.27	255.74
16	Galician	glg	5.32	1.82
17	German	deu	643.22	329.91
18	Hindi	hin	38.16	6.59
19	Hungarian	hun	20.5	17.62
20	Icelandic	isl	2	1
21	Italian	ita	393.22	60.14
22	Japanese	jpn	169	57
23	Latin	lat	55	
24	Malayalam	mal	2.98	0.51
25	Maori	mri	0.12	0.12
26	Marathi	mar	6.51	1.12
27	Modern Greek	ell	8.96	5.99
28	Norwegian	nor	23	22
29	Polish	pol	24.45	20.54
30	Portuguese	por	14.77	7.38
31	Romanian	ron	4.55	3.64
32	Russian	rus	134	118
33	Serbo-Croatian	hbs	11.61	8.11
34	Slovak	slk	4.12	3.8
35	Slovenian	slv	1.82	1.82
36	Spanish	spa	104.02	63.01
37	Swahili	swa	0.8	0.8
38	Swedish	swe	44.33	21.27
39	Tamil	tam	5.49	0.94
40	Turkish	tur	1.81	1.19
41	Ukrainian	ukr	0.04	0.04
42	Urdu	urd	4.65	0.8
43	Vietnamese	vie	0.04	0.04
