Num	Country	People (all years)	People (1800-1950 only)
1	Afghanistan	21	10
2	Albania	15	7
3	Algeria	17	11
4	Andorra	1	
5	Angola	5	4
6	Antigua and Barbuda	1	1
7	Argentina	102	33
8	Armenia	12	4
9	Aruba	1	1
10	Australia	95	28
11	Austria	139	91
12	Azerbaijan	15	6
13	Bahrain	1	1
14	Bangladesh	8	7
15	Barbados	1	
16	Belarus	22	10
17	Belgium	103	40
18	Benin	3	1
19	Bermuda	1	
20	Bhutan	4	1
21	Bolivia	3	1
22	Bosnia and Herzegovina	26	8
23	Botswana	4	3
24	Brazil	137	53
25	Brunei	1	1
26	Bulgaria	29	8
27	Burkina Faso	2	1
28	Burma	7	7
29	Burundi	1	
30	Cambodia	5	2
31	Cameroon	11	2
32	Canada	106	46
33	Cape Verde	4	1
34	Central African Republic	1	1
35	Chad	2	
36	Chile	27	13
37	China	94	37
38	Colombia	17	3
39	Congo, Democratic Republic of the	7	3
40	Congo, Republic of the	2	1
41	Costa Rica	3	1
42	Cote d'Ivoire	15	3
43	Croatia	56	10
44	Cuba	13	9
45	Cyprus	9	5
46	Czech Republic	105	53
47	Denmark	99	39
48	Djibouti	1	
49	Dominican Republic	2	1
50	Ecuador	4	1
51	Egypt	68	24
52	El Salvador	3	1
53	Equatorial Guinea	1	1
54	Eritrea	1	1
55	Estonia	15	9
56	Ethiopia	10	6
57	Faroe Islands	1	1
58	Finland	63	34
59	France	857	397
60	French Guiana	1	
61	Gabon	3	3
62	Gambia, The	1	
63	Georgia	21	12
64	Germany	740	407
65	Ghana	17	4
66	Gibraltar	1	
67	Greece	140	34
68	Greenland	1	
69	Guadeloupe	4	1
70	Guam	1	1
71	Guatemala	5	2
72	Guinea	5	3
73	Guinea-Bissau	3	3
74	Guyana	1	
75	Haiti	7	2
76	Honduras	4	1
77	Hong Kong	5	
78	Hungary	81	58
79	Iceland	15	8
80	India	136	69
81	Indonesia	8	7
82	Iran	61	20
83	Iraq	29	8
84	Ireland	73	29
85	Isle of Man	4	3
86	Israel	73	20
87	Italy	793	194
88	Jamaica	10	3
89	Japan	137	75
90	Jersey	1	
91	Jordan	7	3
92	Kazakhstan	10	6
93	Kenya	10	8
94	Korea, North	6	4
95	Korea, South	37	17
96	Kosovo	7	
97	Kuwait	3	2
98	Kyrgyzstan	5	4
99	Laos	1	1
100	Latvia	18	11
101	Lebanon	13	6
102	Lesotho	1	
103	Liberia	5	2
104	Libya	11	2
105	Lithuania	28	19
106	Luxembourg	8	4
107	Macedonia	15	3
108	Madagascar	2	1
109	Malawi	4	4
110	Malaysia	6	4
111	Maldives	3	1
112	Mali	8	4
113	Malta	3	2
114	Martinique	3	2
115	Mauritania	1	
116	Mauritius	1	1
117	Mexico	56	23
118	Micronesia, Federated States of	1	1
119	Moldova	5	2
120	Monaco	4	1
121	Mongolia	8	1
122	Montenegro	10	4
123	Morocco	14	7
124	Mozambique	6	3
125	Namibia	2	2
126	Nauru	1	
127	Nepal	4	3
128	Netherlands	162	56
129	New Caledonia	2	
130	New Zealand	17	9
131	Nicaragua	5	5
132	Niger	1	1
133	Nigeria	23	6
134	Norway	59	33
135	Oman	2	1
136	Pakistan	28	13
137	Palestinian State	14	2
138	Panama	4	3
139	Paraguay	13	3
140	Peru	21	12
141	Philippines	19	16
142	Poland	167	114
143	Portugal	88	16
144	Puerto Rico	6	
145	Qatar	1	
146	Romania	50	26
147	Russia	369	240
148	Rwanda	1	1
149	Saint Kitts and Nevis	1	
150	Saint Lucia	2	2
151	Samoa	1	1
152	Sao Tome and Principe	1	1
153	Saudi Arabia	35	9
154	Senegal	10	2
155	Serbia	60	12
156	Seychelles	1	1
157	Sierra Leone	1	
158	Singapore	7	4
159	Slovakia	24	6
160	Slovenia	15	3
161	Solomon Islands	1	
162	Somalia	8	3
163	South Africa	43	22
164	South Sudan	1	1
165	Spain	298	77
166	Sri Lanka	6	5
167	Sudan	4	4
168	Suriname	5	2
169	Swaziland	1	
170	Sweden	135	61
171	Switzerland	102	56
172	Syria	19	2
173	Taiwan	10	4
174	Tajikistan	1	
175	Tanzania	3	3
176	Thailand	7	5
177	Timor-Leste	3	3
178	Togo	5	2
179	Tonga	2	1
180	Trinidad and Tobago	5	2
181	Tunisia	18	7
182	Turkey	184	35
183	Turkmenistan	3	1
184	Uganda	5	3
185	Ukraine	100	58
186	United Arab Emirates	5	4
187	United Kingdom	1140	508
188	United States	2291	1221
189	Uruguay	23	7
190	Uzbekistan	9	1
191	Vanuatu	1	1
192	Venezuela	12	3
193	Vietnam	10	9
194	Virgin Islands	2	1
195	Yemen	6	2
196	Zambia	3	3
197	Zimbabwe	7	4
