Num	Language	Code	People (all years)	People (1800-1950 only)
1	Afrikaans	afr	6.94	4.14
2	Albanian	sqi	26.87	8.34
3	Arabic	ara	273.07	94.46
4	Armenian	hye	13.42	4.84
5	Azerbaijani	aze	25.79	9.74
6	Basque	eus	5.96	1.54
7	Belarusian	bel	5.15	2.34
8	Bengali	ben	18.86	12.45
9	Bulgarian	bul	22.35	6.18
10	Catalan	cat	51.06	13.09
11	Chinese	zho	115.6	44.24
12	Czech	ces	100.17	50.56
13	Danish	dan	100	39
14	Dutch	nld	226.86	81.26
15	English	eng	3300.8	1617.77
16	Estonian	est	10.1	6.06
17	Filipino	fil	19.22	16.22
18	Finnish	fin	57.46	31.01
19	French	fra	997.7	455.51
20	Galician	glg	20.86	5.39
21	Georgian	kat	14.91	8.52
22	German	deu	929.09	524.1
23	Haitian	hat	5.25	1.5
24	Hebrew	heb	58.4	16
25	Hindi	hin	55.95	28.39
26	Hungarian	hun	84.01	57.13
27	Icelandic	isl	15	8
28	Italian	ita	801.15	198.09
29	Japanese	jpn	137	75
30	Kazakh	kaz	6.3	3.78
31	Kirghiz	kir	3.23	2.59
32	Korean	kor	43	21
33	Latvian	lav	10.48	6.4
34	Lithuanian	lit	22.96	15.58
35	Macedonian	mkd	9.97	2
36	Malay	msa	15.99	12.56
37	Malayalam	mal	4.35	2.21
38	Maltese	mlt	2.71	1.8
39	Maori	mri	0.66	0.35
40	Marathi	mar	9.52	4.83
41	Modern Greek	ell	147.22	38.08
42	Mongolian	mon	7.2	0.9
43	Norwegian	nor	59	33
44	Persian	fas	42.83	15.6
45	Polish	pol	164.89	112.56
46	Portuguese	por	235.69	74.92
47	Romanian	ron	49.33	25.19
48	Russian	rus	429.38	272.91
49	Serbo-Croatian	hbs	152.84	36.92
50	Sinhala	sin	4.44	3.7
51	Slovak	slk	21.82	5.88
52	Slovenian	slv	13.66	2.73
53	Spanish	spa	774.64	305.48
54	Swahili	swa	12.4	10
55	Swedish	swe	138.47	62.87
56	Tajik	tgk	1.4	0.04
57	Tamil	tam	9.33	5.1
58	Thai	tha	7	5
59	Turkish	tur	164.86	33.64
60	Turkmen	tuk	3.21	1.22
61	Ukrainian	ukr	67.46	39.01
62	Urdu	urd	9.04	4.49
63	Uzbek	uzb	8.9	1.98
64	Vietnamese	vie	10.95	9.28
