language	book.deg	book.bet	book.eig
abk	2	0	1.59948694757296e-05
abq	2	0	1.3191644928557e-06
ady	2	0	9.64639035392274e-06
afr	3	579	0.00224814814302346
akk	1	0	7.84698121058057e-05
alt	2	0	7.75009139546479e-06
ang	1	0	0.000222753015010017
ara	10	1598	0.0108147487458046
arc	1	0	0.000420193187405254
asm	3	389	9.69566209673704e-05
ast	2	0	0.000100106413239415
ava	2	0	1.58299739141253e-05
aze	2	0	0.000132163792626681
bak	2	0	6.13411489171994e-05
bam	2	0	5.31420195231825e-05
bdm	1	0	2.03190074647469e-05
bel	3	244	0.00020521581821975
ben	9	1280	0.00127017964508973
bod	3	62	0.00161366204610564
bre	3	10475	0.000585219132448358
bua	2	0	1.26145104628194e-05
bul	3	0	0.00152088355970304
cat	9	1538	0.0171773677388165
ces	7	0	0.0420122493329472
che	2	0	9.48149479231578e-06
chm	2	0	1.47581527636865e-05
chp	2	0	0.000318941816946164
chu	1	0	1.24625427147275e-06
chv	2	0	2.57237076104389e-05
ckt	2	0	4.45218016335156e-06
cop	1	0	0.000149345771427169
cor	1	0	2.02502740918234e-05
cos	2	0	0.000129729047659513
cre	3	0	0.000172128791166191
crh	2	0	2.55588120489621e-06
cym	3	10390	0.00682946122899324
dak	2	172	1.51938054654714e-05
dan	15	1219	0.118015772045485
dar	2	0	9.89373369633448e-06
deu	33	11331	0.648231414884667
djj	1	0	4.55631167065986e-05
djk	1	0	1.52694208647633e-05
dlg	1	0	9.0692558883309e-07
dum	2	0	6.08733952193047e-05
egy	1	0	0.000136689350119786
ell	6	205	0.0550858738091495
eng	145	17006	1
enm	1	0	0.00037716135496014
est	7	2879	0.0349710833952701
eus	5	1273	0.00241635945392079
evn	2	0	2.14364230088011e-06
fao	4	970	7.81853080199648e-05
fas	6	90	0.0218404787825238
fil	2	0	0.000460693735588897
fin	9	2762	0.0786483724146772
fra	65	17924	0.617473350582363
fri	2	0	8.71629441030043e-05
frm	2	0	0.000365123534009049
fro	3	142	0.000969712794459935
ful	1	0	2.65710097615887e-05
gag	1	0	9.06925588831789e-07
gcf	3	772	0.000169856029042836
gcr	2	0	3.75120137810767e-05
gez	1	0	2.02502740918234e-05
gla	2	0	0.000612570791277541
gld	1	0	1.40161227365007e-06
gle	2	0	0.000377553643321852
glg	5	111	0.00207472607470967
gmh	2	0	0.00076072490146863
goh	1	0	2.46128696743982e-05
grc	10	0	0.0128423036486371
gsc	1	0	1.71930063163247e-05
gsw	2	0	0.000113219200502216
guj	4	801	0.000187405508618176
hat	1	0	2.78441268762552e-05
hau	2	2070	1.71664523081342e-05
haw	1	0	4.30318324451201e-05
hbs	14	1482	0.0189361808645259
heb	5	403	0.0324431746403882
hin	10	641	0.000965312683478517
hit	1	0	1.51877055688701e-05
hns	1	0	1.39969691260321e-05
hop	1	0	3.79692639221642e-05
hun	10	370	0.0296889046016043
hye	3	0	0.00060585830673064
iku	3	0	0.000109491650512958
inh	2	0	7.91498695706655e-06
isl	7	1778	0.00165502856847365
ita	16	637	0.0970606794106683
jpn	10	3369	0.279954166010027
jvn	1	0	5.72603282428869e-06
kaa	2	0	4.3449980483017e-05
kab	1	0	5.93940218200178e-05
kal	2	0	8.81257825835356e-05
kan	3	0	0.000258935820071206
kas	1	0	1.51877055688675e-05
kat	2	0	0.000163411501550887
kaz	3	0	0.000273371576251207
kbd	2	0	1.45932572020796e-05
kca	1	0	1.3191644928492e-06
khm	2	0	4.71947584214839e-05
kik	1	0	2.53128426147805e-05
kir	2	0	0.000134389882708355
kjh	2	0	3.29791123211844e-06
kom	2	0	9.06925588831008e-06
kor	5	0	0.046528893895958
krc	2	0	1.70666906261632e-05
krl	1	0	1.40161227365007e-06
kum	2	0	7.58519583385783e-06
lad	1	0	3.0375411137735e-05
lao	2	0	4.2791772144952e-05
lat	7	72	0.0202967474027038
lav	3	9378	0.001842840317387
lbe	2	0	7.75009139546479e-06
lez	2	0	7.66764361466001e-06
lin	1	0	2.03190074647482e-05
lit	6	491	0.00499758220812581
mal	6	273	0.000280186465383823
mar	4	0	0.000333216293966634
mdf	2	0	9.89373369633448e-06
mga	1	0	2.27815583533032e-05
mkd	5	4	0.000652135785378358
mlg	2	3039	4.32868656983013e-05
mlt	1	0	2.78441268762578e-05
mol	3	0	0.0019920695990801
mon	3	0	0.000469406926340486
mri	2	0	0.000911262334131871
msa	4	1183	0.00991212006137335
mya	2	3379	0.000588672335340044
myv	2	0	7.2554047106465e-06
nav	1	0	2.0250274091826e-05
nci	1	0	7.08759593213713e-05
nep	3	307	5.20510306779157e-05
nld	16	1414	0.251345089545005
nog	2	0	4.03994125934326e-06
non	2	0	0.00011867315815447
nor	13	2755	0.0840369771440765
oci	2	0	0.000906540333042304
oji	2	0	2.27885296637071e-05
ojp	1	0	1.07182115043875e-06
ori	5	323	0.000176292346441127
orv	1	0	8.4921214226766e-06
oss	2	0	2.01172585158595e-05
ota	1	0	1.77189898303487e-05
pal	1	0	1.51877055688701e-05
pan	3	0	0.000326782089620783
pcd	2	0	4.22010155037022e-05
pli	1	0	0.000296160258592863
pol	13	546	0.142573049373259
por	7	0	0.153926092750468
pro	1	0	0.000125040045936873
raj	1	0	2.02502740918234e-05
rcf	2	0	7.03350258394942e-05
roh	2	0	0.000454517659987113
ron	6	1241	0.0121603649101501
rop	1	0	1.51877055688688e-05
rus	137	21213	0.0325715219177098
sah	2	0	2.54763642680324e-05
san	10	610	0.00301207627906238
sco	1	0	3.2906695399211e-05
sga	1	0	2.27815583533032e-05
sin	2	0	7.47915419553208e-05
slk	10	424	0.00625500166847648
slv	6	1302	0.0080213082716727
sme	4	2680	4.53392721849469e-05
snd	1	0	3.54379796606896e-05
som	2	377	3.82997281997365e-05
spa	21	1531	0.425243842410957
sqi	8	559	0.00140011875828715
srm	1	0	1.59056467341283e-05
srn	1	0	2.16316795584105e-05
sux	1	0	6.07508222754623e-05
swa	2	0	5.61569695855689e-05
swe	16	640	0.142106221372973
syr	1	0	0.000174658614041946
tab	2	0	5.68889687539207e-06
tam	6	1	0.000645156213630234
tat	2	0	8.90436032668854e-05
tbt	1	0	1.87560068905358e-05
tel	4	91	0.000201203055044165
tgk	2	0	8.79717821164545e-05
tha	3	0	0.00289426114306468
tkl	1	0	3.79692639221655e-05
tmh	1	0	3.28230120584317e-05
tuk	2	0	6.90912403126459e-05
tur	7	9669	0.00489776549941909
tyv	2	0	1.55001827909114e-05
tzm	1	0	6.72090246910733e-05
udm	2	0	9.64639035392274e-06
uig	3	185	0.000277602265657745
ukr	5	105	0.001364193260541
urd	4	1203	0.000795055413823099
uzb	2	0	0.000225494680495295
vie	3	0	0.000692664493971102
wbp	1	0	3.79692639221681e-05
xal	2	0	1.39336749556621e-05
xno	1	0	2.02502740918234e-05
yid	4	169	0.00148928119173266
ykg	1	0	1.31916449284789e-06
yor	1	0	3.54379796606883e-05
yrk	1	0	2.72077676649276e-06
zho	21	2793	0.114019967536811
zul	2	0	8.60636648902427e-05
ssw	1	0	4.05005481836441e-05
xho	1	0	5.56882537525077e-05
smn	1	0	1.19448832371133e-06
beh	1	0	2.03190074647469e-05
box	1	0	3.59490132068513e-05
cme	1	0	2.50080091873776e-05
dos	1	0	1.71930063163247e-05
gng	1	0	2.1882008038958e-05
kzr	1	0	1.87560068905358e-05
las	1	0	1.40670051679025e-05
muy	1	0	1.40670051679038e-05
nnh	1	0	1.87560068905384e-05
wln	1	0	3.28230120584317e-05
wol	1	0	2.03190074647469e-05
xsm	1	0	3.12600114842219e-05
flr	1	0	2.92567689965675e-07
ife	1	0	7.1516546435649e-07
mif	1	0	4.55105295502305e-07
ted	1	0	2.27552647754406e-07
thd	1	0	3.25075211075864e-07
rom	1	0	1.48591855444692e-06
dyo	1	0	5.74860281520571e-07
epo	1	0	2.78058910747402e-06
new	1	0	9.9210100409922e-06
sma	1	0	2.12721477627226e-06
amh	1	0	2.22609008167253e-05
eve	1	0	9.89373369639175e-07
pus	1	0	2.16013185703013e-05
arg	1	0	2.58339130940451e-05
que	1	0	1.50697826381945e-05
kur	1	0	3.70502578868051e-05
rmu	1	0	3.95682365781774e-06
smj	1	0	7.19422483239388e-06
hmn	1	0	7.21542373300783e-06
hni	1	0	3.17478644252563e-06
iii	1	0	5.19510508776673e-06
kac	1	0	1.847148475649e-05
lhu	1	0	8.65850847960731e-06
lis	1	0	2.25121220469735e-05
nbf	1	0	5.48372203708559e-06
tiz	1	0	4.12722237527785e-05
wbm	1	0	7.79265763164814e-06
yiz	1	0	6.4072962749067e-05
zha	1	0	2.91503118813359e-05
