language	book.deg	book.bet	book.eig
abk	2	0	0.0814516670921097
abq	2	0	0.0814516670921097
ady	2	0	0.0814516670921096
afr	3	0	0.1209332362473
akk	1	0	0.0544218105754042
alt	2	0	0.0814516670921097
ang	1	0	0.0544218105754041
ara	10	628.092658730159	0.184560710176154
arc	1	0	0.0544218105754041
asm	3	0	0.102549896350399
ast	2	0	0.0295791076528304
ava	2	0	0.0814516670921097
aze	2	0	0.0814516670921097
bak	2	0	0.0814516670921097
bam	2	0	0.0484900065766256
bdm	1	0	0.0242450032883128
bel	3	0	0.0959944441298564
ben	9	135.362353363011	0.136016280066312
bod	3	6.14166666666667	0.0875947730379683
bre	3	11.75	0.0545751104402542
bua	2	0	0.0814516670921096
bul	3	0	0.135873477667514
cat	9	35.5333333333333	0.143700805051586
ces	7	3.15	0.141038339931191
che	2	0	0.0814516670921096
chm	2	0	0.0814516670921097
chp	2	0	0.108843621150808
chu	1	0	0.00859612426771215
chv	2	0	0.0814516670921097
ckt	2	0	0.0814516670921096
cop	1	0	0.0544218105754041
cor	1	0	0.0544218105754042
cos	2	0	0.0484900065766256
cre	3	0	0.060704860743276
crh	2	0	0.0814516670921097
cym	3	57.9166666666667	0.11181369747332
dak	2	0	0.057725479007781
dan	15	1073.06666666666	0.18136136434946
dar	2	0	0.0814516670921097
deu	33	3007.98950085003	0.381853584553544
djj	1	0	0.0544218105754042
djk	1	0	0.0120896150964917
dlg	1	0	0.0407258335460549
dum	2	0	0.0665114256718959
egy	1	0	0.0544218105754041
ell	6	97.7285714285714	0.168823165207129
eng	145	21679.5361418552	1
enm	1	0	0.0544218105754042
est	7	3176.37441345204	0.219164063808679
eus	5	0	0.0996418342123355
evn	2	0	0.0814516670921096
fao	4	0	0.0400969032326931
fas	6	239.636413075229	0.140277717126474
fil	2	0	0.108843621150808
fin	9	311.711111111111	0.166425760245155
fra	65	7616.68652597402	0.445501592688103
fri	2	0	0.0241792301929835
frm	2	0	0.078666813863717
fro	3	0	0.08622289928099
ful	1	0	0.0242450032883128
gag	1	0	0.0407258335460548
gcf	3	0	0.10291181715203
gcr	2	0	0.0484900065766256
gez	1	0	0.0544218105754042
gla	2	0	0.108843621150808
gld	1	0	0.0407258335460548
gle	2	0	0.0752029740215162
glg	5	0	0.0996418342123355
gmh	2	0	0.0752029740215162
goh	1	0	0.020781163446112
grc	10	0	0.112985911468775
gsc	1	0	0.0242450032883128
gsw	2	0	0.0415623268922241
guj	4	0	0.110242932595402
hat	1	0	0.0544218105754041
hau	2	0	0.095147644121459
haw	1	0	0.0544218105754041
hbs	14	671.312109820005	0.157953661901818
heb	5	403	0.136743837804066
hin	10	317.887646636989	0.141359432250868
hit	1	0	0.0544218105754041
hns	1	0	0.0120896150964917
hop	1	0	0.0544218105754041
hun	10	577.542771848035	0.182907222842995
hye	3	0	0.135873477667514
iku	3	0	0.0741618382080505
inh	2	0	0.0814516670921097
isl	7	37.1666666666667	0.126054270422111
ita	16	189.025468975469	0.252915646906115
jpn	10	527.543686868687	0.172820026379162
jvn	1	0	0.0120896150964917
kaa	2	0	0.0814516670921096
kab	1	0	0.0242450032883128
kal	2	0	0.0197400276326463
kan	3	0	0.101255324179594
kas	1	0	0.0544218105754042
kat	2	0	0.0814516670921097
kaz	3	60.8516233766234	0.090379626266361
kbd	2	0	0.0814516670921097
kca	1	0	0.0407258335460548
khm	2	0	0.095147644121459
kik	1	0	0.0544218105754041
kir	2	0	0.0814516670921097
kjh	2	0	0.0814516670921097
kom	2	0	0.0814516670921096
kor	5	6.14166666666667	0.105927910951463
krc	2	0	0.0814516670921097
krl	1	0	0.0407258335460548
kum	2	0	0.0814516670921097
lad	1	0	0.0544218105754041
lao	2	0	0.095147644121459
lat	7	5.64285714285714	0.1388429627273
lav	3	199.05092860356	0.102232830538222
lbe	2	0	0.0814516670921097
lez	2	0	0.0814516670921097
lin	1	0	0.0242450032883128
lit	6	217.050928603561	0.185740195189119
mal	6	2.58333333333333	0.12175963831537
mar	4	0	0.108948360424597
mdf	2	0	0.0814516670921097
mga	1	0	0.0544218105754041
mkd	5	2.25	0.085814096306645
mlg	2	314.1	0.0649708368343676
mlt	1	0	0.0544218105754042
mol	3	0	0.135873477667514
mon	3	60.8516233766234	0.090379626266361
mri	2	0	0.108843621150808
msa	4	0	0.130977364256169
mya	2	0	0.0638269893146472
myv	2	0	0.0814516670921097
nav	1	0	0.0544218105754042
nci	1	0	0.0544218105754041
nep	3	0	0.104552822860702
nld	16	1266.66666666667	0.222146506495608
nog	2	0	0.0814516670921097
non	2	0	0.0640242930075492
nor	13	570.9	0.176445478947091
oci	2	0	0.0484900065766256
oji	2	0	0.057725479007781
ojp	1	0	0.0407258335460548
ori	5	0	0.0833178153524854
orv	1	0	0.0407258335460548
oss	2	0	0.0814516670921097
ota	1	0	0.0544218105754042
pal	1	0	0.0544218105754042
pan	3	0	0.102840680366462
pcd	2	0	0.0484900065766256
pli	1	0	0.0544218105754042
pol	13	3572.92552243078	0.267223322487533
por	7	0	0.200676862807745
pro	1	0	0.0242450032883128
raj	1	0	0.0544218105754042
rcf	2	0	0.0484900065766256
roh	2	0	0.0415623268922241
ron	6	1617.40973646237	0.162187917200231
rop	1	0	0.0544218105754042
rus	137	18577.3480566218	0.748336615696149
sah	2	0	0.0814516670921097
san	10	37.3333333333333	0.112228534728223
sco	1	0	0.0544218105754041
sga	1	0	0.0544218105754042
sin	2	0	0.095147644121459
slk	10	193.983333333333	0.188869894018855
slv	6	2.86904761904762	0.126940513430533
sme	4	0.666666666666667	0.0390165492311213
snd	1	0	0.0544218105754042
som	2	0	0.0642918243917273
spa	21	1286.43095238095	0.271757842490807
sqi	8	45.8047619047619	0.131948192061025
srm	1	0	0.0120896150964917
srn	1	0	0.0120896150964917
sux	1	0	0.0544218105754041
swa	2	0	0.095147644121459
swe	16	915.10992063492	0.197611822432864
syr	1	0	0.0544218105754041
tab	2	0	0.0814516670921096
tam	6	1	0.120375101161725
tat	2	0	0.0814516670921097
tbt	1	0	0.0242450032883128
tel	4	0	0.107806355133012
tgk	2	0	0.0814516670921097
tha	3	0	0.118248799890051
tkl	1	0	0.0544218105754042
tmh	1	0	0.0242450032883128
tuk	2	0	0.0814516670921097
tur	7	20.5261904761905	0.128977290676117
tyv	2	0	0.0814516670921096
tzm	1	0	0.0242450032883128
udm	2	0	0.0814516670921097
uig	3	60.8516233766234	0.090379626266361
ukr	5	66.7561289587605	0.159012378972973
urd	4	77.4921670434828	0.07950235816262
uzb	2	0	0.0814516670921097
vie	3	314.1	0.119392647409772
wbp	1	0	0.0544218105754042
xal	2	0	0.0814516670921097
xno	1	0	0.0544218105754041
yid	4	67.8333333333333	0.123370654805898
ykg	1	0	0.0407258335460548
yor	1	0	0.0544218105754041
yrk	1	0	0.0407258335460548
zho	21	2912.31522366522	0.164051123618558
zul	2	0	0.108843621150808
ssw	1	0	0.0544218105754041
xho	1	0	0.0544218105754042
smn	1	0	0.00905719119892948
beh	1	0	0.0242450032883128
box	1	0	0.0242450032883128
cme	1	0	0.0242450032883128
dos	1	0	0.0242450032883128
gng	1	0	0.0242450032883128
kzr	1	0	0.0242450032883128
las	1	0	0.0242450032883128
muy	1	0	0.0242450032883128
nnh	1	0	0.0242450032883128
wln	1	0	0.0242450032883128
wol	1	0	0.0242450032883128
xsm	1	0	0.0242450032883128
flr	1	0	0.00614889787164307
ife	1	0	0.00614889787164306
mif	1	0	0.00614889787164307
ted	1	0	0.00614889787164306
thd	1	0	0.00614889787164306
rom	1	0	0.00859612426771215
dyo	1	0	0.00744184723832665
epo	1	0	0.00995414223443469
new	1	0	0.00940517873924308
sma	1	0	0.00960248243214506
amh	1	0	0.0407258335460548
eve	1	0	0.0407258335460548
pus	1	0	0.0407258335460548
arg	1	0	0.0147895538264152
que	1	0	0.0147895538264152
kur	1	0	0.0107543931679017
rmu	1	0	0.0107543931679017
smj	1	0	0.0107543931679017
hmn	1	0	0.00892795917425135
hni	1	0	0.00892795917425135
iii	1	0	0.00892795917425135
kac	1	0	0.00892795917425136
lhu	1	0	0.00892795917425135
lis	1	0	0.00892795917425135
nbf	1	0	0.00892795917425136
tiz	1	0	0.00892795917425134
wbm	1	0	0.00892795917425136
yiz	1	0	0.00892795917425135
zha	1	0	0.00892795917425136
