language	twit.deg	twit.bet	twit.eig
afr	6	0	0.016902294720264
amh	2	0	7.35044068930816e-06
ara	6	0	0.0782142230918448
aze	6	586	0.000388309598876725
bel	2	0	2.91720337626547e-06
ben	2	0	7.28361850122106e-05
bod	2	0	4.68458418315305e-07
bul	6	0	0.000410716293057718
cat	4	0	0.0158302127732259
ces	10	0	0.0186554731945827
chr	2	0	8.6868844510026e-06
cym	2	0	0.000549278386055364
dan	6	268	0.00673789217871107
deu	6	32	0.0246840608785545
div	4	1858	2.25623676151719e-05
ell	6	0	0.00882987196833172
eng	132	3051	1
est	2	0	0.00064483411501633
eus	4	0	0.000891521529890706
fas	6	242	0.0006071388384963
fil	8	136	0.192074214256645
fin	4	0	0.00199940461131379
fra	10	76	0.0533202868027797
gle	2	0	0.00021717211127493
glg	6	0	0.00701005514372092
guj	4	0	2.78229684040655e-05
hat	6	58	0.00137428306875411
hbs	12	950	0.00463294448841663
heb	4	440	0.0010490641167069
hin	2	0	0.000634142564922795
hun	2	0	0.00174606377465044
hye	6	1656	6.23019899065643e-05
isl	2	0	0.000228531883249311
ita	6	0	0.0363186589524597
jpn	32	2465	0.0637320179989406
kan	4	0	5.2219653146027e-05
kat	6	0	0.000151890770458016
khm	2	0	1.60373251403108e-05
kor	12	136	0.0324615375831031
lao	4	0	3.73027655402448e-05
lav	4	0	0.00337560860843113
lit	2	0	0.000302036290142368
mal	2	0	9.6892172722663e-05
mkd	8	136	0.000247574376660928
mlt	4	0	0.000871606192497853
msa	16	122	0.700417354819959
mya	2	0	1.87102126636946e-05
nld	8	268	0.152647883419535
nor	6	136	0.00630296343082956
pan	4	0	0.000110545508494708
pol	2	0	0.00338521204836552
por	22	628	0.507845665182444
ron	4	0	0.00226870964853765
rus	24	1902	0.020211207644556
sin	2	0	9.88968383652034e-05
slk	6	120	0.00193684696293526
slv	4	0	0.000703737664153356
spa	28	594	0.502116098052256
sqi	6	0	0.00374922328795014
swa	6	28	0.00411833266321728
swe	4	0	0.0105047907124791
tam	4	0	0.000625609786222923
tel	4	0	4.84658446345636e-05
tha	6	0	0.0264464725330567
tur	10	504	0.0347441694563833
ukr	2	0	2.81456103524877e-05
urd	4	226	0.000324986699188269
vie	4	0	0.00294994588492629
yid	2	0	1.60373251403108e-05
zho	6	264	0.00654338172436948
