language	twit.deg	twit.bet	twit.eig
afr	6	0	0.133077441279985
amh	2	0	0.102064681435045
ara	6	0	0.131656886466673
aze	6	3	0.147583913299819
bel	2	0	0.0281352262463689
ben	2	0	0.102064681435045
bod	2	0	0.0341182823174663
bul	6	0	0.14735811263377
cat	4	0	0.135698824618729
ces	10	1.83333333333333	0.20586090727029
chr	2	0	0.102064681435045
cym	2	0	0.102064681435045
dan	6	1	0.148867208985458
deu	6	1	0.135603373909127
div	4	0	0.136182963752511
ell	6	0	0.16431818999888
eng	132	4167.5	1
est	2	0	0.102064681435045
eus	4	0	0.135698824618729
fas	6	0	0.131656886466673
fil	8	1.66666666666667	0.155002506543705
fin	4	0	0.132405504324393
fra	10	5	0.158278913219928
gle	2	0	0.102064681435045
glg	6	0	0.166039647508077
guj	4	0	0.136182963752511
hat	6	1	0.151853511474406
hbs	12	14	0.224084611942703
heb	4	0	0.135698824618729
hin	2	0	0.102064681435045
hun	2	0	0.102064681435045
hye	6	0	0.16431818999888
isl	2	0	0.102064681435045
ita	6	0	0.166039647508077
jpn	32	240.666666666667	0.334280985721583
kan	4	0	0.136182963752511
kat	6	0	0.16431818999888
khm	2	0	0.102064681435045
kor	12	9.66666666666667	0.204967506676347
lao	4	0	0.136182963752511
lav	4	0	0.130199907681414
lit	2	0	0.102064681435045
mal	2	0	0.102064681435045
mkd	8	0.666666666666667	0.168111091036677
mlt	4	0	0.132405504324393
msa	16	19	0.236740464238664
mya	2	0	0.102064681435045
nld	8	1.66666666666667	0.1488514751559
nor	6	1	0.129019991848112
pan	4	0	0.136182963752511
pol	2	0	0.102064681435045
por	22	33.5	0.29727053925757
ron	4	0	0.135698824618729
rus	24	304.666666666667	0.275660746212924
sin	2	0	0.102064681435045
slk	6	0	0.153416632244865
slv	4	0	0.124935805967473
spa	28	69	0.329537531600377
sqi	6	0	0.166039647508077
swa	6	0.5	0.159861664684033
swe	4	0	0.115233065801775
tam	4	0	0.136182963752511
tel	4	0	0.136182963752511
tha	6	0	0.157102907025968
tur	10	5.66666666666667	0.170323420148708
ukr	2	0	0.0281352262463689
urd	4	0	0.126227521500349
vie	4	0	0.122984624708502
yid	2	0	0.102064681435045
zho	6	0	0.157102907025968
