language	wiki.deg	wiki.bet	wiki.eig
afr	4	0	0.00338395851406093
amh	2	0	0.0003301928223957
ang	2	0	0.000601422640792171
ara	8	0	0.0486530490147156
arg	2	0	0.000323929730638623
asm	2	0	0.000365570624795241
ast	2	0	0.000555308109666215
aze	6	0	0.00457337467999586
bar	4	0	0.00293040478247286
bel	4	0	0.00193582789054492
ben	2	0	0.00600243380712193
bik	2	0	0.000176889011997696
bre	4	1368	0.00156814931531176
bul	8	34	0.0246891537801803
cat	6	0	0.0422385700748941
ceb	2	0	0.000518874435193249
ces	14	0	0.0502344828118076
chv	2	0	9.76554609300594e-05
cor	2	0	0.000271229818396469
cos	2	0	0.000126896833715787
csb	2	0	5.36993241161066e-05
cym	2	0	0.00321938001835812
dan	8	0	0.0516928758629115
deu	80	4144	0.72610657024536
ell	4	0	0.0284703039418633
eml	4	1940	0.000418962872004675
eng	226	15782	1
epo	8	0	0.0125543337995137
est	4	0	0.0100649282663801
eus	4	0	0.00477659418776293
fao	2	0	0.000625007842391866
fas	8	526	0.03316231434233
fil	2	0	0.00569582618632592
fin	14	0	0.0725120543129073
fra	58	1338	0.512415070261456
fry	2	0	0.000246060219549422
fur	2	0	0.000112355251208658
gla	2	0	0.000707556047990793
gle	2	0	0.00297173540156135
glg	6	254	0.00656836413837834
glk	2	0	1.75981470587105e-05
grn	2	0	0.00013882702741655
guj	2	0	0.00137973429358205
hbs	12	64	0.0459589905959834
heb	12	10	0.046254805823276
hif	2	0	0.000365570624795239
hin	2	0	0.00872652459188649
hun	18	158	0.058319765852931
hye	4	0	0.00262224937698077
ido	2	0	0.000495289233593556
ina	2	0	0.000672178245591252
isl	4	0	0.00593031675191776
ita	42	1828	0.238190143793654
jav	4	0	0.000938633765904462
jpn	42	802	0.188067027035558
kab	2	0	0.000169195778287719
kal	2	0	0.000165096411197851
kan	2	0	0.00297173540156135
kas	2	0	7.07556047990764e-05
kat	4	0	0.00363038573954379
kaz	4	1624	0.00145760787988547
khm	2	0	0.000660385644791407
kin	2	0	8.25482055989223e-05
kir	2	0	7.32415956975459e-05
kor	8	0	0.0375513874462748
ksh	2	0	0.000470947670657713
kur	6	440	0.00159479974011303
lao	2	0	0.000247644616796776
lat	8	0	0.0119092892524384
lav	4	0	0.00525576733146594
lij	2	0	8.14575571262752e-05
lim	4	0	0.000735178869614414
lit	6	0	0.0114521678246534
lmo	4	0	0.000722785114405782
ltz	6	0	0.00357841295563036
mal	2	0	0.00787745733429754
mar	2	0	0.00310145401035966
mkd	6	188	0.00474352429852075
mlt	2	0	0.000919822862388031
mol	2	0	0.00017688901199769
mon	2	0	0.00106133407198619
msa	8	864	0.0382928716882922
mya	2	0	0.00063680044319171
mzn	4	780	0.000194938731751742
nap	4	0	0.00059364708417176
nav	2	0	0.000153303810398003
nds	4	0	0.00210147338149283
nep	2	0	0.000919822862388028
nld	22	530	0.20456514509108
nor	12	28	0.0915522006356782
nrm	2	0	6.04270636741819e-05
oci	2	0	0.000441117564821569
ori	2	0	0.000389155826394936
pam	2	0	0.000141511209598156
pan	2	0	0.000471704031993862
pap	2	0	0.00029481501999616
pdc	4	3960	0.000364292289812664
pol	30	796	0.142301423334057
por	14	0	0.166644139175541
pus	2	0	0.00020047421359739
que	4	1218	0.0005198228774803
roh	4	0	0.000461711739823011
ron	12	0	0.0426011816657114
rup	2	0	0.00022405941519708
rus	56	1864	0.230029977147793
sah	2	0	5.96783372350359e-05
san	2	0	0.000955200664787575
scn	4	0	0.00108280848529654
sco	2	0	0.00162737891037883
sin	2	0	0.00235852015996932
slk	10	1004	0.0157245316725715
slv	6	20	0.0149847743214323
som	2	0	0.000707556047990795
spa	34	982	0.436014229891983
sqi	4	0	0.0104427985070438
srd	2	0	0.000120781895049314
sun	4	1088	0.000575424432891816
swa	2	0	0.00106133407198619
swe	22	56	0.140677419544806
szl	2	0	6.54460512665053e-05
tam	2	0	0.00675716025831211
tat	2	0	9.2230157545057e-05
tel	2	0	0.0043278844935437
tha	6	0	0.0176970951626573
tpi	2	0	0.000247644616796775
tur	14	222	0.0685014571331818
ukr	6	0	0.0299499075810576
urd	2	0	0.00239389796236886
vec	2	0	0.000275270365461225
vie	6	268	0.0179502646016598
vls	4	762	0.000666297270572438
yid	4	252	0.000750777970155821
zho	12	8	0.142197025252235
zul	2	0	0.000106133407198614
