Language	ABS(Eigenvector)	Popfrom	Popto
afr	  0.01171827	48761	48761
amh	  0.00000510	15	15
ara	  0.05422551	131637	131637
aze	  0.00026921	1809	1809
bel	  0.00000202	274	274
ben	  0.00005050	136	136
bod	  0.00000032	36	36
bul	  0.00028475	1353	1353
cat	  0.01097500	40534	40534
ces	  0.01293374	37535	37535
chr	  0.00000602	19	19
cym	  0.00038081	878	878
dan	  0.00467135	17932	17932
deu	  0.01711333	44604	44604
div	  0.00001564	57	57
ell	  0.00612170	30542	30542
eng	  0.69329476	3525628	3525628
est	  0.00044706	1365	1365
eus	  0.00061809	2355	2355
fas	  0.00042093	1763	1763
fil	  0.13316405	359115	359115
fin	  0.00138618	4130	4130
fra	  0.03696668	97224	97224
gle	  0.00015056	417	417
glg	  0.00486003	17091	17091
guj	  0.00001929	65	65
hat	  0.00095278	3661	3661
hbs	  0.00321200	10655	10655
heb	  0.00072731	1750	1750
hin	  0.00043965	1172	1172
hun	  0.00121054	2893	2893
hye	  0.00004319	203	203
iku	  0.00000000	13	13
isl	  0.00015844	419	419
ita	  0.02517954	70750	70750
jpn	  0.04418507	143837	143837
kan	  0.00003620	143	143
kat	  0.00010531	381	381
khm	  0.00001112	27	27
kor	  0.02250541	82174	82174
lao	  0.00002586	135	135
lav	  0.00234029	5875	5875
lit	  0.00020940	704	704
mal	  0.00006717	181	181
mkd	  0.00017164	981	981
mlt	  0.00060428	2170	2170
msa	  0.48559568	1255593	1255593
mya	  0.00001297	30	30
nld	  0.10582998	270045	270045
nor	  0.00436981	14433	14433
ori	  0.00000000	2	2
pan	  0.00007664	372	372
pol	  0.00234695	5832	5832
por	  0.35208674	864037	864037
ron	  0.00157288	4834	4834
rus	  0.01401232	41784	41784
sin	  0.00006856	191	191
slk	  0.00134281	5476	5476
slv	  0.00048790	1752	1752
spa	  0.34811446	919417	919417
sqi	  0.00259932	8650	8650
swa	  0.00285522	7362	7362
swe	  0.00728292	17619	17619
syr	  0.00000015	16	16
tam	  0.00043373	1075	1075
tel	  0.00003360	118	118
tha	  0.01833520	46793	46793
tur	  0.02408795	59095	59095
ukr	  0.00001951	2691	2691
urd	  0.00022531	586	586
vie	  0.00204518	5392	5392
yid	  0.00001112	27	27
zho	  0.00453649	15177	15177
