Language	ABS(Eigenvector)	Popfrom	Popto
aar	  0.00000000	5	5
abk	  0.00000000	9	9
afr	  0.00223104	776	776
aka	  0.00000000	183	183
amh	  0.00021770	81	81
ang	  0.00039652	135	135
ara	  0.03207688	6361	6361
arc	  0.00000000	157	157
arg	  0.00021357	377	377
asm	  0.00024102	146	146
ast	  0.00036611	341	341
ava	  0.00000000	105	105
aym	  0.00000000	118	118
aze	  0.00301522	1111	1111
bak	  0.00000000	190	190
bam	  0.00000000	12	12
bar	  0.00193201	515	515
bel	  0.00127629	507	507
ben	  0.00395740	843	843
bik	  0.00011662	58	58
bis	  0.00000000	52	52
bod	  0.00000000	155	155
bpy	  0.00000000	116	116
bre	  0.00103388	359	359
bua	  0.00000000	117	117
bug	  0.00000000	143	143
bul	  0.01627752	4122	4122
cat	  0.02784782	8075	8075
ceb	  0.00034209	139	139
ces	  0.03311951	8493	8493
cha	  0.00000000	62	62
che	  0.00000000	121	121
chm	  0.00000000	118	118
cho	  0.00000000	4	4
chr	  0.00000000	68	68
chu	  0.00000000	178	178
chv	  0.00006438	238	238
chy	  0.00000000	61	61
cor	  0.00017882	65	65
cos	  0.00008366	66	66
cre	  0.00000000	23	23
crh	  0.00000000	139	139
csb	  0.00003540	89	89
cym	  0.00212253	496	496
dan	  0.03408103	8164	8164
deu	  0.47872090	103768	103768
div	  0.00000000	168	168
dsb	  0.00000000	174	174
dzo	  0.00000000	108	108
ell	  0.01877043	3789	3789
eml	  0.00027622	110	110
eng	  0.65929841	273987	273987
epo	  0.00827705	2310	2310
est	  0.00663579	1956	1956
eus	  0.00314920	1093	1093
ewe	  0.00000000	128	128
ext	  0.00000000	139	139
fao	  0.00041207	288	288
fas	  0.02186386	4738	4738
fij	  0.00000000	104	104
fil	  0.00375525	713	713
fin	  0.04780708	11484	11484
fra	  0.33783444	69366	69366
frp	  0.00000000	150	150
fry	  0.00016223	357	357
ful	  0.00000000	101	101
fur	  0.00007408	98	98
gla	  0.00046649	270	270
gle	  0.00195926	523	523
glg	  0.00433051	1541	1541
glk	  0.00001160	184	184
glv	  0.00000000	119	119
got	  0.00000000	134	134
grn	  0.00009153	155	155
guj	  0.00090966	319	319
hat	  0.00000000	190	190
hau	  0.00000000	157	157
haw	  0.00000000	120	120
hbs	  0.03030069	7389	7389
heb	  0.03049572	6538	6538
hif	  0.00024102	68	68
hin	  0.00575338	1178	1178
hsb	  0.00000000	234	234
hun	  0.03845013	9488	9488
hye	  0.00172884	575	575
ibo	  0.00000000	55	55
ido	  0.00032654	235	235
iii	  0.00000000	2	2
iku	  0.00000000	18	18
ile	  0.00000000	26	26
ilo	  0.00000000	84	84
ina	  0.00044317	200	200
ipk	  0.00000000	56	56
isl	  0.00390985	956	956
ita	  0.15703838	33146	33146
jav	  0.00061884	339	339
jbo	  0.00000000	169	169
jpn	  0.12399229	28951	28951
kaa	  0.00000000	104	104
kab	  0.00011155	168	168
kal	  0.00010885	55	55
kan	  0.00195926	354	354
kas	  0.00004665	10	10
kat	  0.00239351	700	700
kau	  0.00000000	9	9
kaz	  0.00096100	349	349
khm	  0.00043539	96	96
kik	  0.00000000	3	3
kin	  0.00005442	19	19
kir	  0.00004829	116	116
kom	  0.00000000	22	22
kon	  0.00000000	14	14
kor	  0.02475757	5941	5941
ksh	  0.00031050	117	117
kur	  0.00105145	373	373
lao	  0.00016327	59	59
lat	  0.00785178	1932	1932
lav	  0.00346512	1069	1069
lbe	  0.00000000	30	30
lij	  0.00005370	112	112
lim	  0.00048470	194	194
lin	  0.00000000	19	19
lit	  0.00755040	1979	1979
lmo	  0.00047653	231	231
ltz	  0.00235924	551	551
lug	  0.00000000	3	3
mah	  0.00000000	3	3
mal	  0.00519360	965	965
mar	  0.00204478	465	465
mdf	  0.00000000	124	124
mkd	  0.00312740	943	943
mlg	  0.00000000	163	163
mlt	  0.00060644	132	132
mol	  0.00011662	43	43
mon	  0.00069974	307	307
mri	  0.00000000	201	201
msa	  0.02524643	5532	5532
mus	  0.00000000	4	4
