"SUID","639_1","639_2","639_2_B","639_3","Common_Twitter_Wiki_Code","Documentation","Element_Scope","Family_Code","Family_Name","Final_Name","Lang_Name","Language_Type","LogNumSpeaker","name","Num_Speakers_M","Partner_Agency","Primary_Family_Code","Primary_Family_Name","Reference_Name","selected","shared name","Status","Twitter_CLD_Only_Code","Viz_Family_Code","Viz_Family_Name","Wiki_Only_Code"
"806","","","","zzj","","SIL","I","tai","Tai","Zhuang","Zhuang","L","7.146128035678238","zha","14.0","SIL","tai","Tai","Zuojiang Zhuang","false","zha","A","","tai","Tai",""
"807","","","","yiz","","SIL","I","sit","Sino-Tibetan","Azhe","Azhe","L","4.698970004336019","yiz","0.05","SIL","sit","Sino-Tibetan","Azhe","false","yiz","A","","sit","Sino-Tibetan",""
"808","","","","wbm","","SIL","I","","","Wa","","L",,"wbm",,"SIL","","Other","Wa","false","wbm","A","","","",""
"809","","","","tiz","","SIL","I","tai","Tai","Tai Hongjin","Tai Hongjin","L","4.929418925714293","tiz","0.085","SIL","tai","Tai","Tai Hongjin","false","tiz","A","","tai","Tai",""
"810","","","","nbf","","","I","","","Naxi","","L",,"nbf",,"SIL","","Sino-Tibetan","Naxi","false","nbf","R","","","",""
"811","","","","lis","","SIL","I","tbq","Tibeto-Burman","Lisu","Lisu","L","5.903089986991944","lis","0.8","SIL","sit","Sino-Tibetan","Lisu","false","lis","A","","sit","Sino-Tibetan",""
"812","","","","lhu","","SIL","I","","","Lahu","","L",,"lhu",,"SIL","","Sino-Tibetan","Lahu","false","lhu","A","","","",""
"813","","kac","","kac","","SIL","I","tbq","Tibeto-Burman","Kachin","Kachin","L","6.0","kac","1.0","JAC","sit","Sino-Tibetan","Kachin","false","kac","A","","sit","Sino-Tibetan",""
"814","ii","iii","","iii","","SIL","I","tbq","Tibeto-Burman","Sichuan Yi","Sichuan Yi","L","6.301029995663981","iii","2.0","JAC","sit","Sino-Tibetan","Sichuan Yi","false","iii","A","","sit","Sino-Tibetan","ii"
"815","","","","hni","","SIL","I","","","Hani","","L",,"hni",,"SIL","","Sino-Tibetan","Hani","false","hni","A","","","",""
"816","","","","sfm","","SIL","I","","","Hmong","","L",,"hmn",,"SIL","","Other","Small Flowery Miao","false","hmn","A","","","",""
"817","","","","yrk","","SIL","I","","","Nenets","","L",,"yrk",,"SIL","","Uralic","Nenets","false","yrk","A","","","",""
"818","yo","yor","","yor","yo","SIL","I","nic","Niger-Kordofanian","Yoruba","Yoruba","L","7.3979400086720375","yor","25.0","JAC","nic","Niger-Kordofanian","Yoruba","false","yor","A","","nic","Niger-Kordofanian",""
"819","","","","ykg","","SIL","I","","","Northern Yukaghir","","L",,"ykg",,"SIL","","Other","Northern Yukaghir","false","ykg","A","","","",""
"820","","","","xno","","","I","","","Anglo-Norman","","H",,"xno",,"LL","","Indo-European","Anglo-Norman","false","xno","A","","","",""
"821","","","","wbp","","SIL","I","","","Warlpiri","","L",,"wbp",,"SIL","","Other","Warlpiri","false","wbp","A","","","",""
"822","","","","tzm","","SIL","I","","","Central Atlas Tamazight","","L",,"tzm",,"SIL","","Afro-Asiatic","Central Atlas Tamazight","false","tzm","A","","","",""
"823","","","","ttq","","SIL","I","","","Tamashek","","L",,"tmh",,"SIL","","Afro-Asiatic","Tawallammat Tamajaq","false","tmh","A","","","",""
"824","","tkl","","tkl","","SIL","I","poz","Malayo-Polynesian","Tokelau","Tokelau","L","3.0","tkl","0.0010","JAC","map","Austronesian","Tokelau","false","tkl","A","","poz","Malayo-Polynesian",""
"825","","","","tbt","","SIL","I","","","Tembo (Kitembo)","","L",,"tbt",,"SIL","","Niger-Kordofanian","Tembo (Kitembo)","false","tbt","A","","","",""
"826","","syr","","syr","","SIL","M","sem","Semitic","Syriac","Syriac","L","0.0","syr","1.0E-6","JAC","afa","Afro-Asiatic","Syriac","false","syr","A","syr","sem","Semitic",""
"827","","smj","","smj","","SIL","I","","","Lule Sami","","L",,"smj",,"JAC","","Uralic","Lule Sami","false","smj","A","","","",""
"828","","","","rmu","","SIL","I","","","Tavringer Romani","","L",,"rmu",,"SIL","","Other","Tavringer Romani","false","rmu","A","","","",""
"829","","","","sdh","","SIL","I","ira","Iranian","Kurdish","Kurdish","L","7.477121254719663","kur","30.0","SIL","ine","Indo-European","Southern Kurdish","false","kur","A","","ira","Iranian",""
"830","","sux","","sux","","LL","I","","","Sumerian","","A",,"sux",,"JAC","","Other","Sumerian","false","sux","A","","","",""
"831","","srn","","srn","","SIL","I","cpe","Creole (English)","Sranan Tongo","Sranan Tongo","L","5.477121254719663","srn","0.3","JAC","crp","Creoles and pidgins","Sranan Tongo","false","srn","A","","crp","Creoles and pidgins",""
"832","","","","srm","","SIL","I","","","Saramaccan","","L",,"srm",,"SIL","","Other","Saramaccan","false","srm","A","","","",""
