"SUID","Family_Code","Family_Name","Lang_Name","LogNumSpeaker","name","Num_Speakers_M","Primary_Family_Code","Primary_Family_Name","selected","shared name","Viz_Family_Code","Viz_Family_Name"
"1634","sla","Slavic","Ukrainian","7.653212513775344","ukr","45.0","ine","Indo-European","false","ukr","sla","Slavic"
"1635","zhx","Sinitic","Chinese","9.19728055812562","zho","1575.0","sit","Sino-Tibetan","false","zho","sit","Sino-Tibetan"
"1636","gem","Germanic","Yiddish","6.477121254719663","yid","3.0","ine","Indo-European","false","yid","gem","Germanic"
"1637","aav","Austro-Asiatic","Vietnamese","7.903089986991944","vie","80.0","","Other","false","vie","aav","Austro-Asiatic"
"1638","inc","Indic","Urdu","7.778151250383644","urd","60.0","ine","Indo-European","false","urd","inc","Indic"
"1639","tai","Tai","Thai","7.863322860120456","tha","73.0","tai","Tai","false","tha","tai","Tai"
"1640","dra","Dravidian","Telugu","7.903089986991944","tel","80.0","dra","Dravidian","false","tel","dra","Dravidian"
"1641","dra","Dravidian","Tamil","7.819543935541868","tam","66.0","dra","Dravidian","false","tam","dra","Dravidian"
"1642","gem","Germanic","Swedish","7.0","swe","10.0","ine","Indo-European","false","swe","gem","Germanic"
"1643","nic","Niger-Kordofanian","Swahili","7.698970004336019","swa","50.0","nic","Niger-Kordofanian","false","swa","nic","Niger-Kordofanian"
"1644","sqj","Albanian","Albanian","7.204119982655925","sqi","16.0","ine","Indo-European","true","sqi","sqj","Albanian"
"1645","sla","Slavic","Slovenian","6.301029995663981","slv","2.0","ine","Indo-European","false","slv","sla","Slavic"
"1646","inc","Indic","Sinhala","7.278753600952829","sin","19.0","ine","Indo-European","false","sin","inc","Indic"
"1647","itc","Italic","Romanian","7.447158031342219","ron","28.0","ine","Indo-European","false","ron","itc","Italic"
"1648","sla","Slavic","Polish","7.633468455579586","pol","43.0","ine","Indo-European","false","pol","sla","Slavic"
"1649","inc","Indic","Panjabi","8.01703333929878","pan","104.0","ine","Indo-European","false","pan","inc","Indic"
"1650","tbq","Tibeto-Burman","Burmese","7.7160033436347994","mya","52.0","sit","Sino-Tibetan","false","mya","sit","Sino-Tibetan"
"1651","sem","Semitic","Maltese","5.568201724066995","mlt","0.37","afa","Afro-Asiatic","false","mlt","sem","Semitic"
