"SUID","Family_Code","Family_Name","Lang_Name","LogNumSpeaker","name","Num_Speakers_M","Primary_Family_Code","Primary_Family_Name","selected","shared name","Viz_Family_Code","Viz_Family_Name"
"72","trk","Turkic","Tatar","6.903089986991944","tat","8.0","tut","Altaic","false","tat","trk","Turkic"
"73","trk","Turkic","Yakut","5.658964842664435","sah","0.456","tut","Altaic","false","sah","trk","Turkic"
"74","sla","Slavic","Silesian","4.748188027006201","szl","0.056","ine","Indo-European","false","szl","sla","Slavic"
"75","trk","Turkic","Kirghiz","6.698970004336019","kir","5.0","tut","Altaic","false","kir","trk","Turkic"
"76","itc","Italic","Venetian","6.301029995663981","vec","2.0","ine","Indo-European","true","vec","itc","Italic"
"77","itc","Italic","Sardinian","6.301029995663981","srd","2.0","ine","Indo-European","false","srd","itc","Italic"
"78","itc","Italic","Ligurian","6.301029995663981","lij","2.0","ine","Indo-European","false","lij","itc","Italic"
"79","tup","Tupi","Guarani","6.845098040014257","grn","7.0","","Amerindian","false","grn","sai","South American Indian"
"80","itc","Italic","Friulian","5.899820502427096","fur","0.794","ine","Indo-European","false","fur","itc","Italic"
"81","gem","Germanic","Western Frisian","5.812913356642856","fry","0.65","ine","Indo-European","false","fry","gem","Germanic"
"82","itc","Italic","Occitan","6.301029995663981","oci","2.0","ine","Indo-European","false","oci","itc","Italic"
"83","poz","Malayo-Polynesian","Narom","3.3979400086720375","nrm","0.0025","map","Austronesian","false","nrm","poz","Malayo-Polynesian"
"84","ber","Berber","Kabyle","6.903089986991944","kab","8.0","afa","Afro-Asiatic","false","kab","","Afro-Asiatic (Other)"
"85","ira","Iranian","Gilaki","6.477121254719663","glk","3.0","ine","Indo-European","false","glk","ira","Iranian"
"86","nic","Niger-Kordofanian","Zulu","7.414973347970818","zul","26.0","nic","Niger-Kordofanian","false","zul","nic","Niger-Kordofanian"
"87","gem","Germanic","Yiddish","6.477121254719663","yid","3.0","ine","Indo-European","false","yid","gem","Germanic"
"88","gem","Germanic","Vlaams","6.0","vls","1.0","ine","Indo-European","false","vls","gem","Germanic"
"89","aav","Austro-Asiatic","Vietnamese","7.903089986991944","vie","80.0","","Other","false","vie","aav","Austro-Asiatic"
"90","inc","Indic","Urdu","7.778151250383644","urd","60.0","ine","Indo-European","false","urd","inc","Indic"
"91","sla","Slavic","Ukrainian","7.653212513775344","ukr","45.0","ine","Indo-European","false","ukr","sla","Slavic"
"92","cpe","Creole (English)","Tok Pisin","6.6020599913279625","tpi","4.0","crp","Creoles and pidgins","false","tpi","crp","Creoles and pidgins"
"93","dra","Dravidian","Telugu","7.903089986991944","tel","80.0","dra","Dravidian","false","tel","dra","Dravidian"
"94","dra","Dravidian","Tamil","7.819543935541868","tam","66.0","dra","Dravidian","false","tam","dra","Dravidian"
"95","nic","Niger-Kordofanian","Swahili","7.698970004336019","swa","50.0","nic","Niger-Kordofanian","false","swa","nic","Niger-Kordofanian"
"96","poz","Malayo-Polynesian","Sundanese","7.431363764158987","sun","27.0","map","Austronesian","false","sun","poz","Malayo-Polynesian"
"97","cus","Cushitic","Somali","7.146128035678238","som","14.0","afa","Afro-Asiatic","false","som","","Afro-Asiatic (Other)"
"98","inc","Indic","Sinhala","7.278753600952829","sin","19.0","ine","Indo-European","false","sin","inc","Indic"
"99","gem","Germanic","Scots","6.301029995663981","sco","2.0","ine","Indo-European","false","sco","gem","Germanic"
"100","itc","Italic","Sicilian","6.903089986991944","scn","8.0","ine","Indo-European","false","scn","itc","Italic"
"101","inc","Indic","Sanskrit","4.698970004336019","san","0.05","ine","Indo-European","false","san","inc","Indic"
"102","itc","Italic","Macedo-Romanian","5.477121254719663","rup","0.3","ine","Indo-European","false","rup","itc","Italic"
"103","qwe","Quechuan","Quechua","7.0","que","10.0","","Amerindian","false","que","sai","South American Indian"
"104","ira","Iranian","Pushto","7.414973347970818","pus","26.0","ine","Indo-European","false","pus","ira","Iranian"
"105","","Creole (Spanish)","Papiamento","5.517195897949974","pap","0.329","crp","Creoles and pidgins","false","pap","crp","Creoles and pidgins"
"106","inc","Indic","Panjabi","8.01703333929878","pan","104.0","ine","Indo-European","false","pan","inc","Indic"
