Language	ABS(Eigenvector)	Popfrom	Popto
abk	3.21468464178218e-06	0.001	0.001
abq	2.92244058343848e-07	0.001	0.001
ady	1.68040333547708e-06	0.001	0.001
afr	0.00297254309246953	0.001	0.001
akk	0	0.001	0.001
alt	1.68040333547703e-06	0.001	0.001
ang	0	0.001	0.001
ara	0.0140866953691339	0.001	0.001
arc	0	0.001	0.001
asm	3.62377126317636e-06	0.001	0.001
ast	0.000262293416652957	0.001	0.001
ava	2.08223891569975e-06	0.001	0.001
aze	4.26676325181995e-05	0.001	0.001
bak	1.66944418328921e-05	0.001	0.001
bam	6.07357375391132e-05	0.001	0.001
bdm	0	0.001	0.001
bel	0.000304347126035771	0.001	0.001
ben	1.53386014195558e-05	0.001	0.001
bod	0.000433285516338333	0.001	0.001
bre	0.00152096558218443	0.001	0.001
bua	1.53428130630516e-06	0.001	0.001
bul	0.000143089997066607	0.001	0.001
cat	0.0445594131960155	0.001	0.001
ces	0.135365982137281	0.001	0.001
che	1.93611688652781e-06	0.001	0.001
chm	2.99550159802431e-06	0.001	0.001
chp	0.000433830613495553	0.001	0.001
chu	0	0.001	0.001
chv	5.22386254289618e-06	0.001	0.001
ckt	1.27856775525438e-06	0.001	0.001
cop	0	0.001	0.001
cor	0	0.001	0.001
cos	0.000263188196002824	0.001	0.001
cre	0	0.001	0.001
crh	4.74896594808713e-07	0.001	0.001
cym	0.00887745977615901	0.001	0.001
dak	1.25896589430669e-20	0.001	0.001
dan	0.177018081532989	0.001	0.001
dar	2.15529993028581e-06	0.001	0.001
deu	1	0.001	0.001
djj	0	0.001	0.001
djk	0	0.001	0.001
dlg	0	0.001	0.001
dum	0	0.001	0.001
egy	0	0.001	0.001
ell	0.106153713085118	0.001	0.001
eng	0.526833666600091	0.001	0.001
enm	0	0.001	0.001
est	0.0493959299343493	0.001	0.001
eus	0.00831493416266731	0.001	0.001
evn	2.92244058343835e-07	0.001	0.001
fao	0.000294682653991391	0.001	0.001
fas	0.0321579210126424	0.001	0.001
fil	0.000461949264370265	0.001	0.001
fin	0.123030101730537	0.001	0.001
fra	0.885072569044592	0.001	0.001
fri	0.000130262501229506	0.001	0.001
frm	0	0.001	0.001
fro	0	0.001	0.001
ful	0	0.001	0.001
gag	0	0.001	0.001
gcf	0.00012821989036035	0.001	0.001
gcr	5.39873222569895e-05	0.001	0.001
gez	0	0.001	0.001
gla	0.000819457825491601	0.001	0.001
gld	0	0.001	0.001
gle	0	0.001	0.001
glg	0.00497912587482041	0.001	0.001
gmh	0	0.001	0.001
goh	0	0.001	0.001
grc	0	0.001	0.001
gsc	0	0.001	0.001
gsw	0.000396484544820133	0.001	0.001
guj	4.31808480629722e-06	0.001	0.001
hat	0	0.001	0.001
hau	8.76732175031505e-07	0.001	0.001
haw	0	0.001	0.001
hbs	0.0417678883191166	0.001	0.001
heb	0.0346261100771451	0.001	0.001
hin	2.02732307779111e-05	0.001	0.001
hit	0	0.001	0.001
hns	0	0.001	0.001
hop	0	0.001	0.001
hun	0.0798217616945499	0.001	0.001
hye	5.6951060869756e-05	0.001	0.001
iku	0.000241598136407611	0.001	0.001
inh	1.8630558719419e-06	0.001	0.001
isl	0.00226179063542024	0.001	0.001
ita	0.149545553253208	0.001	0.001
jpn	0.407917646591534	0.001	0.001
jvn	0	0.001	0.001
kaa	1.57811791505669e-05	0.001	0.001
kab	0	0.001	0.001
kal	0.000313132780148412	0.001	0.001
kan	5.55263952703314e-06	0.001	0.001
kas	0	0.001	0.001
kat	4.80741475975604e-05	0.001	0.001
kaz	0.000510160965040555	0.001	0.001
kbd	2.73978804697348e-06	0.001	0.001
kca	0	0.001	0.001
khm	7.45222348776789e-06	0.001	0.001
kik	0	0.001	0.001
kir	4.61745612183263e-05	0.001	0.001
kjh	5.11427102101711e-07	0.001	0.001
kom	8.03671160445559e-07	0.001	0.001
kor	0.0696447305058709	0.001	0.001
krc	3.25121514907519e-06	0.001	0.001
krl	0	0.001	0.001
kum	2.00917790111394e-06	0.001	0.001
lad	0	0.001	0.001
lao	7.74446754611173e-06	0.001	0.001
lat	0	0.001	0.001
lav	0.00777727822661645	0.001	0.001
lbe	2.19183043757891e-06	0.001	0.001
lez	2.22836094487167e-06	0.001	0.001
lin	0	0.001	0.001
lit	0.0171422186419936	0.001	0.001
mal	6.95705572143663e-06	0.001	0.001
mar	5.84488330958327e-06	0.001	0.001
mdf	1.16897623337534e-06	0.001	0.001
mga	0	0.001	0.001
mkd	0.000166877092820594	0.001	0.001
mlg	3.25121514907519e-06	0.001	0.001
mlt	0	0.001	0.001
mol	7.97460974205747e-05	0.001	0.001
mon	0.00209523128018804	0.001	0.001
mri	0.00124525453873724	0.001	0.001
msa	0.0154636918147634	0.001	0.001
mya	0.000903813778115737	0.001	0.001
myv	1.09591521878941e-06	0.001	0.001
nav	0	0.001	0.001
nci	0	0.001	0.001
nep	6.55292924840247e-05	0.001	0.001
nld	0.488122075621757	0.001	0.001
nog	1.13244572608244e-06	0.001	0.001
non	0	0.001	0.001
nor	0.13277408091857	0.001	0.001
oci	0.00107974644513979	0.001	0.001
oji	1.25896589430669e-20	0.001	0.001
