Language	ABS(Eigenvector)	Popfrom	Popto
abk	0.0814516670921097	0.001	0.001
abq	0.0814516670921097	0.001	0.001
ady	0.0814516670921096	0.001	0.001
afr	0.1209332362473	0.001	0.001
akk	0.0544218105754042	0.001	0.001
alt	0.0814516670921097	0.001	0.001
ang	0.0544218105754041	0.001	0.001
ara	0.184560710176154	0.001	0.001
arc	0.0544218105754041	0.001	0.001
asm	0.102549896350399	0.001	0.001
ast	0.0295791076528304	0.001	0.001
ava	0.0814516670921097	0.001	0.001
aze	0.0814516670921097	0.001	0.001
bak	0.0814516670921097	0.001	0.001
bam	0.0484900065766256	0.001	0.001
bdm	0.0242450032883128	0.001	0.001
bel	0.0959944441298564	0.001	0.001
ben	0.136016280066312	0.001	0.001
bod	0.0875947730379683	0.001	0.001
bre	0.0545751104402542	0.001	0.001
bua	0.0814516670921096	0.001	0.001
bul	0.135873477667514	0.001	0.001
cat	0.143700805051586	0.001	0.001
ces	0.141038339931191	0.001	0.001
che	0.0814516670921096	0.001	0.001
chm	0.0814516670921097	0.001	0.001
chp	0.108843621150808	0.001	0.001
chu	0.00859612426771215	0.001	0.001
chv	0.0814516670921097	0.001	0.001
ckt	0.0814516670921096	0.001	0.001
cop	0.0544218105754041	0.001	0.001
cor	0.0544218105754042	0.001	0.001
cos	0.0484900065766256	0.001	0.001
cre	0.060704860743276	0.001	0.001
crh	0.0814516670921097	0.001	0.001
cym	0.11181369747332	0.001	0.001
dak	0.057725479007781	0.001	0.001
dan	0.18136136434946	0.001	0.001
dar	0.0814516670921097	0.001	0.001
deu	0.381853584553544	0.001	0.001
djj	0.0544218105754042	0.001	0.001
djk	0.0120896150964917	0.001	0.001
dlg	0.0407258335460549	0.001	0.001
dum	0.0665114256718959	0.001	0.001
egy	0.0544218105754041	0.001	0.001
ell	0.168823165207129	0.001	0.001
eng	1	0.001	0.001
enm	0.0544218105754042	0.001	0.001
est	0.219164063808679	0.001	0.001
eus	0.0996418342123355	0.001	0.001
evn	0.0814516670921096	0.001	0.001
fao	0.0400969032326931	0.001	0.001
fas	0.140277717126474	0.001	0.001
fil	0.108843621150808	0.001	0.001
fin	0.166425760245155	0.001	0.001
fra	0.445501592688103	0.001	0.001
fri	0.0241792301929835	0.001	0.001
frm	0.078666813863717	0.001	0.001
fro	0.08622289928099	0.001	0.001
ful	0.0242450032883128	0.001	0.001
gag	0.0407258335460548	0.001	0.001
gcf	0.10291181715203	0.001	0.001
gcr	0.0484900065766256	0.001	0.001
gez	0.0544218105754042	0.001	0.001
gla	0.108843621150808	0.001	0.001
gld	0.0407258335460548	0.001	0.001
gle	0.0752029740215162	0.001	0.001
glg	0.0996418342123355	0.001	0.001
gmh	0.0752029740215162	0.001	0.001
goh	0.020781163446112	0.001	0.001
grc	0.112985911468775	0.001	0.001
gsc	0.0242450032883128	0.001	0.001
gsw	0.0415623268922241	0.001	0.001
guj	0.110242932595402	0.001	0.001
hat	0.0544218105754041	0.001	0.001
hau	0.095147644121459	0.001	0.001
haw	0.0544218105754041	0.001	0.001
hbs	0.157953661901818	0.001	0.001
heb	0.136743837804066	0.001	0.001
hin	0.141359432250868	0.001	0.001
hit	0.0544218105754041	0.001	0.001
hns	0.0120896150964917	0.001	0.001
hop	0.0544218105754041	0.001	0.001
hun	0.182907222842995	0.001	0.001
hye	0.135873477667514	0.001	0.001
iku	0.0741618382080505	0.001	0.001
inh	0.0814516670921097	0.001	0.001
isl	0.126054270422111	0.001	0.001
ita	0.252915646906115	0.001	0.001
jpn	0.172820026379162	0.001	0.001
jvn	0.0120896150964917	0.001	0.001
kaa	0.0814516670921096	0.001	0.001
kab	0.0242450032883128	0.001	0.001
kal	0.0197400276326463	0.001	0.001
kan	0.101255324179594	0.001	0.001
kas	0.0544218105754042	0.001	0.001
kat	0.0814516670921097	0.001	0.001
kaz	0.090379626266361	0.001	0.001
kbd	0.0814516670921097	0.001	0.001
kca	0.0407258335460548	0.001	0.001
khm	0.095147644121459	0.001	0.001
kik	0.0544218105754041	0.001	0.001
kir	0.0814516670921097	0.001	0.001
kjh	0.0814516670921097	0.001	0.001
kom	0.0814516670921096	0.001	0.001
kor	0.105927910951463	0.001	0.001
krc	0.0814516670921097	0.001	0.001
krl	0.0407258335460548	0.001	0.001
kum	0.0814516670921097	0.001	0.001
lad	0.0544218105754041	0.001	0.001
lao	0.095147644121459	0.001	0.001
lat	0.1388429627273	0.001	0.001
lav	0.102232830538222	0.001	0.001
