Language	ABS(Eigenvector)	Popfrom	Popto
afr	0.016902294720264	0.001	0.001
amh	7.35044068930816e-06	0.001	0.001
ara	0.0782142230918448	0.001	0.001
aze	0.000388309598876725	0.001	0.001
bel	2.91720337626547e-06	0.001	0.001
ben	7.28361850122106e-05	0.001	0.001
bod	4.68458418315305e-07	0.001	0.001
bul	0.000410716293057718	0.001	0.001
cat	0.0158302127732259	0.001	0.001
ces	0.0186554731945827	0.001	0.001
chr	8.6868844510026e-06	0.001	0.001
cym	0.000549278386055364	0.001	0.001
dan	0.00673789217871107	0.001	0.001
deu	0.0246840608785545	0.001	0.001
div	2.25623676151719e-05	0.001	0.001
ell	0.00882987196833172	0.001	0.001
eng	1	0.001	0.001
est	0.00064483411501633	0.001	0.001
eus	0.000891521529890706	0.001	0.001
fas	0.0006071388384963	0.001	0.001
fil	0.192074214256645	0.001	0.001
fin	0.00199940461131379	0.001	0.001
fra	0.0533202868027797	0.001	0.001
gle	0.00021717211127493	0.001	0.001
glg	0.00701005514372092	0.001	0.001
guj	2.78229684040655e-05	0.001	0.001
hat	0.00137428306875411	0.001	0.001
hbs	0.00463294448841663	0.001	0.001
heb	0.0010490641167069	0.001	0.001
hin	0.000634142564922795	0.001	0.001
hun	0.00174606377465044	0.001	0.001
hye	6.23019899065643e-05	0.001	0.001
isl	0.000228531883249311	0.001	0.001
ita	0.0363186589524597	0.001	0.001
jpn	0.0637320179989406	0.001	0.001
kan	5.2219653146027e-05	0.001	0.001
kat	0.000151890770458016	0.001	0.001
khm	1.60373251403108e-05	0.001	0.001
kor	0.0324615375831031	0.001	0.001
lao	3.73027655402448e-05	0.001	0.001
lav	0.00337560860843113	0.001	0.001
lit	0.000302036290142368	0.001	0.001
mal	9.6892172722663e-05	0.001	0.001
mkd	0.000247574376660928	0.001	0.001
mlt	0.000871606192497853	0.001	0.001
msa	0.700417354819959	0.001	0.001
mya	1.87102126636946e-05	0.001	0.001
nld	0.152647883419535	0.001	0.001
nor	0.00630296343082956	0.001	0.001
pan	0.000110545508494708	0.001	0.001
pol	0.00338521204836552	0.001	0.001
por	0.507845665182444	0.001	0.001
ron	0.00226870964853765	0.001	0.001
rus	0.020211207644556	0.001	0.001
sin	9.88968383652034e-05	0.001	0.001
slk	0.00193684696293526	0.001	0.001
slv	0.000703737664153356	0.001	0.001
spa	0.502116098052256	0.001	0.001
sqi	0.00374922328795014	0.001	0.001
swa	0.00411833266321728	0.001	0.001
swe	0.0105047907124791	0.001	0.001
tam	0.000625609786222923	0.001	0.001
tel	4.84658446345636e-05	0.001	0.001
tha	0.0264464725330567	0.001	0.001
tur	0.0347441694563833	0.001	0.001
ukr	2.81456103524877e-05	0.001	0.001
urd	0.000324986699188269	0.001	0.001
vie	0.00294994588492629	0.001	0.001
yid	1.60373251403108e-05	0.001	0.001
zho	0.00654338172436948	0.001	0.001
