Language	ABS(Eigenvector)	Popfrom	Popto
afr	0.016902294720264	0.001	0.001
amh	7.35044068930531e-06	0.001	0.001
ara	0.0782142230918449	0.001	0.001
aze	0.000388309598876705	0.001	0.001
bel	2.91720337626522e-06	0.001	0.001
ben	7.28361850122072e-05	0.001	0.001
bod	4.68458418310954e-07	0.001	0.001
bul	0.000410716293057688	0.001	0.001
cat	0.0158302127732259	0.001	0.001
ces	0.0186554731945827	0.001	0.001
chr	8.68688445099718e-06	0.001	0.001
cym	0.00054927838605536	0.001	0.001
dan	0.00673789217871104	0.001	0.001
deu	0.0246840608785545	0.001	0.001
div	2.25623676151642e-05	0.001	0.001
ell	0.00882987196833169	0.001	0.001
eng	1	0.001	0.001
est	0.00064483411501633	0.001	0.001
eus	0.000891521529890701	0.001	0.001
fas	0.000607138838496296	0.001	0.001
fil	0.192074214256645	0.001	0.001
fin	0.00199940461131377	0.001	0.001
fra	0.0533202868027797	0.001	0.001
gle	0.00021717211127493	0.001	0.001
glg	0.00701005514372091	0.001	0.001
guj	2.7822968404057e-05	0.001	0.001
hat	0.00137428306875409	0.001	0.001
hbs	0.00463294448841658	0.001	0.001
heb	0.00104906411670691	0.001	0.001
hin	0.000634142564922794	0.001	0.001
hun	0.00174606377465043	0.001	0.001
hye	6.2301989906541e-05	0.001	0.001
isl	0.00022853188324931	0.001	0.001
ita	0.0363186589524597	0.001	0.001
jpn	0.0637320179989407	0.001	0.001
kan	5.22196531460097e-05	0.001	0.001
kat	0.000151890770457981	0.001	0.001
khm	1.60373251403025e-05	0.001	0.001
kor	0.0324615375831031	0.001	0.001
lao	3.73027655402303e-05	0.001	0.001
lav	0.00337560860843113	0.001	0.001
lit	0.000302036290142364	0.001	0.001
mal	9.68921727226609e-05	0.001	0.001
mkd	0.000247574376660892	0.001	0.001
mlt	0.000871606192497848	0.001	0.001
msa	0.700417354819959	0.001	0.001
mya	1.87102126636863e-05	0.001	0.001
nld	0.152647883419535	0.001	0.001
nor	0.00630296343082954	0.001	0.001
pan	0.000110545508494695	0.001	0.001
pol	0.00338521204836552	0.001	0.001
por	0.507845665182444	0.001	0.001
ron	0.00226870964853764	0.001	0.001
rus	0.0202112076445559	0.001	0.001
sin	9.88968383651987e-05	0.001	0.001
slk	0.00193684696293527	0.001	0.001
slv	0.000703737664153356	0.001	0.001
spa	0.502116098052256	0.001	0.001
sqi	0.00374922328795012	0.001	0.001
swa	0.00411833266321727	0.001	0.001
swe	0.0105047907124791	0.001	0.001
tam	0.000625609786222913	0.001	0.001
tel	4.84658446345582e-05	0.001	0.001
tha	0.0264464725330567	0.001	0.001
tur	0.0347441694563832	0.001	0.001
ukr	2.81456103524849e-05	0.001	0.001
urd	0.000324986699188262	0.001	0.001
vie	0.00294994588492629	0.001	0.001
yid	1.60373251403025e-05	0.001	0.001
zho	0.00654338172436946	0.001	0.001
