Language	ABS(Eigenvector)	Popfrom	Popto
afr	0.133077441279985	0.001	0.001
amh	0.102064681435045	0.001	0.001
ara	0.131656886466673	0.001	0.001
aze	0.147583913299819	0.001	0.001
bel	0.0281352262463689	0.001	0.001
ben	0.102064681435045	0.001	0.001
bod	0.0341182823174663	0.001	0.001
bul	0.14735811263377	0.001	0.001
cat	0.135698824618729	0.001	0.001
ces	0.20586090727029	0.001	0.001
chr	0.102064681435045	0.001	0.001
cym	0.102064681435045	0.001	0.001
dan	0.148867208985458	0.001	0.001
deu	0.135603373909127	0.001	0.001
div	0.136182963752511	0.001	0.001
ell	0.16431818999888	0.001	0.001
eng	1	0.001	0.001
est	0.102064681435045	0.001	0.001
eus	0.135698824618729	0.001	0.001
fas	0.131656886466673	0.001	0.001
fil	0.155002506543705	0.001	0.001
fin	0.132405504324393	0.001	0.001
fra	0.158278913219928	0.001	0.001
gle	0.102064681435045	0.001	0.001
glg	0.166039647508077	0.001	0.001
guj	0.136182963752511	0.001	0.001
hat	0.151853511474406	0.001	0.001
hbs	0.224084611942703	0.001	0.001
heb	0.135698824618729	0.001	0.001
hin	0.102064681435045	0.001	0.001
hun	0.102064681435045	0.001	0.001
hye	0.16431818999888	0.001	0.001
isl	0.102064681435045	0.001	0.001
ita	0.166039647508077	0.001	0.001
jpn	0.334280985721583	0.001	0.001
kan	0.136182963752511	0.001	0.001
kat	0.16431818999888	0.001	0.001
khm	0.102064681435045	0.001	0.001
kor	0.204967506676347	0.001	0.001
lao	0.136182963752511	0.001	0.001
lav	0.130199907681414	0.001	0.001
lit	0.102064681435045	0.001	0.001
mal	0.102064681435045	0.001	0.001
mkd	0.168111091036677	0.001	0.001
mlt	0.132405504324393	0.001	0.001
msa	0.236740464238664	0.001	0.001
mya	0.102064681435045	0.001	0.001
nld	0.1488514751559	0.001	0.001
nor	0.129019991848112	0.001	0.001
pan	0.136182963752511	0.001	0.001
pol	0.102064681435045	0.001	0.001
por	0.29727053925757	0.001	0.001
ron	0.135698824618729	0.001	0.001
rus	0.275660746212924	0.001	0.001
sin	0.102064681435045	0.001	0.001
slk	0.153416632244865	0.001	0.001
slv	0.124935805967473	0.001	0.001
spa	0.329537531600377	0.001	0.001
sqi	0.166039647508077	0.001	0.001
swa	0.159861664684033	0.001	0.001
swe	0.115233065801775	0.001	0.001
tam	0.136182963752511	0.001	0.001
tel	0.136182963752511	0.001	0.001
tha	0.157102907025968	0.001	0.001
tur	0.170323420148708	0.001	0.001
ukr	0.0281352262463689	0.001	0.001
urd	0.126227521500349	0.001	0.001
vie	0.122984624708502	0.001	0.001
yid	0.102064681435045	0.001	0.001
zho	0.157102907025968	0.001	0.001
