Language	ABS(Eigenvector)	Popfrom	Popto
afr	0.0869462482364709	0.001	0.001
amh	0.0684507797844612	0.001	0.001
ang	0.0684507797844612	0.001	0.001
ara	0.152734290253899	0.001	0.001
arg	0.0234256334923967	0.001	0.001
asm	0.0684507797844612	0.001	0.001
ast	0.0234256334923967	0.001	0.001
aze	0.116110698199241	0.001	0.001
bar	0.111492453883263	0.001	0.001
bel	0.100560779889358	0.001	0.001
ben	0.0684507797844612	0.001	0.001
bik	0.0684507797844612	0.001	0.001
bre	0.103916615197821	0.001	0.001
bul	0.149898859329244	0.001	0.001
cat	0.127342248690218	0.001	0.001
ceb	0.0684507797844612	0.001	0.001
ces	0.247100401249654	0.001	0.001
chv	0.0321100001048963	0.001	0.001
cor	0.0684507797844612	0.001	0.001
cos	0.0354658354133601	0.001	0.001
csb	0.0247350285818766	0.001	0.001
cym	0.0684507797844612	0.001	0.001
dan	0.148025509446017	0.001	0.001
deu	0.628797425454207	0.001	0.001
ell	0.111492453883263	0.001	0.001
eml	0.095577020595134	0.001	0.001
eng	1	0.001	0.001
epo	0.17038392278902	0.001	0.001
est	0.111492453883263	0.001	0.001
eus	0.0918764132768579	0.001	0.001
fao	0.0684507797844612	0.001	0.001
fas	0.0843818138443903	0.001	0.001
fil	0.0684507797844612	0.001	0.001
fin	0.257373499496671	0.001	0.001
fra	0.518121714975863	0.001	0.001
fry	0.0184954684520097	0.001	0.001
fur	0.0271262408106728	0.001	0.001
gla	0.0684507797844612	0.001	0.001
gle	0.0684507797844612	0.001	0.001
glg	0.108055692240895	0.001	0.001
glk	0.00577600095727574	0.001	0.001
grn	0.0234256334923967	0.001	0.001
guj	0.0684507797844612	0.001	0.001
hbs	0.193904983746563	0.001	0.001
heb	0.216223949009092	0.001	0.001
hif	0.0684507797844612	0.001	0.001
hin	0.0684507797844612	0.001	0.001
hun	0.28969820204694	0.001	0.001
hye	0.100560779889357	0.001	0.001
ido	0.0684507797844612	0.001	0.001
ina	0.0684507797844612	0.001	0.001
isl	0.111492453883263	0.001	0.001
ita	0.396288265759548	0.001	0.001
jav	0.0760017612532061	0.001	0.001
jpn	0.459556942078673	0.001	0.001
kab	0.0354658354133601	0.001	0.001
kal	0.0684507797844612	0.001	0.001
kan	0.0684507797844612	0.001	0.001
kas	0.0684507797844612	0.001	0.001
kat	0.100560779889358	0.001	0.001
kaz	0.100560779889358	0.001	0.001
khm	0.0684507797844612	0.001	0.001
kin	0.0684507797844612	0.001	0.001
kir	0.0321100001048963	0.001	0.001
kor	0.156426354830204	0.001	0.001
ksh	0.0430416740988021	0.001	0.001
kur	0.127042372193147	0.001	0.001
lao	0.0684507797844612	0.001	0.001
lat	0.174084530107296	0.001	0.001
lav	0.100560779889358	0.001	0.001
lij	0.0271262408106728	0.001	0.001
lim	0.0869462482364709	0.001	0.001
lit	0.14360245398816	0.001	0.001
lmo	0.0955770205951341	0.001	0.001
ltz	0.146958289296623	0.001	0.001
mal	0.0684507797844612	0.001	0.001
mar	0.0684507797844612	0.001	0.001
mkd	0.0919844209358947	0.001	0.001
mlt	0.0684507797844612	0.001	0.001
mol	0.0684507797844612	0.001	0.001
mon	0.0684507797844612	0.001	0.001
msa	0.110312570470658	0.001	0.001
mya	0.0684507797844612	0.001	0.001
mzn	0.0742267807417369	0.001	0.001
nap	0.095577020595134	0.001	0.001
nav	0.0684507797844612	0.001	0.001
nds	0.111492453883263	0.001	0.001
nep	0.0684507797844612	0.001	0.001
nld	0.270200989824346	0.001	0.001
nor	0.21066093235947	0.001	0.001
nrm	0.0354658354133601	0.001	0.001
oci	0.0354658354133601	0.001	0.001
ori	0.0684507797844612	0.001	0.001
pam	0.0684507797844612	0.001	0.001
pan	0.0684507797844612	0.001	0.001
pap	0.0684507797844612	0.001	0.001
pdc	0.111492453883263	0.001	0.001
pol	0.36135495694516	0.001	0.001
por	0.23636369103438	0.001	0.001
pus	0.0684507797844612	0.001	0.001
que	0.0918764132768579	0.001	0.001
roh	0.111492453883263	0.001	0.001
ron	0.226024598044462	0.001	0.001
rup	0.0684507797844612	0.001	0.001
rus	0.469096191540912	0.001	0.001
sah	0.0321100001048963	0.001	0.001
san	0.0684507797844612	0.001	0.001
scn	0.095577020595134	0.001	0.001
sco	0.0684507797844612	0.001	0.001
sin	0.0684507797844612	0.001	0.001
slk	0.172971765448001	0.001	0.001
slv	0.124765401224809	0.001	0.001
som	0.0684507797844612	0.001	0.001
spa	0.342225955148497	0.001	0.001
sqi	0.111492453883263	0.001	0.001
srd	0.0271262408106728	0.001	0.001
sun	0.076001761253206	0.001	0.001
swa	0.0684507797844612	0.001	0.001
swe	0.323051841662828	0.001	0.001
szl	0.0247350285818765	0.001	0.001
tam	0.0684507797844612	0.001	0.001
tat	0.0321100001048963	0.001	0.001
tel	0.0684507797844612	0.001	0.001
tha	0.142949484923911	0.001	0.001
tpi	0.0684507797844612	0.001	0.001
tur	0.227169337717512	0.001	0.001
ukr	0.125295808471234	0.001	0.001
urd	0.0684507797844612	0.001	0.001
vec	0.0271262408106728	0.001	0.001
vie	0.113384680731402	0.001	0.001
vls	0.086946248236471	0.001	0.001
yid	0.0832514777022091	0.001	0.001
zho	0.196884096115916	0.001	0.001
zul	0.0684507797844612	0.001	0.001
