SourceLanguageCode	TargetLanguageCode	SourceLanguageName	TargetLanguageName	SourcePopulation	TargetPopulations	Coocurrences	PhiCorrelation	Tstatistic
aar	abk	Afar	Abkhazian	5	9	0	 -0.00000262	 -0.00000944
aar	afr	Afar	Afrikaans	5	776	0	 -0.00002431	 -0.00054842
aar	aka	Afar	Akan	5	183	0	 -0.00001180	 -0.00006356
aar	amh	Afar	Amharic	5	81	0	 -0.00000785	 -0.00006379
aar	ang	Afar	Old English (ca. 450-1100)	5	135	0	 -0.00001014	 -0.00009291
aar	ara	Afar	Arabic	5	6361	0	 -0.00006967	 -0.00941382
aar	arc	Afar	Official Aramaic (700-300 BCE)	5	157	0	 -0.00001093	 -0.00004765
aar	arg	Afar	Aragonese	5	377	0	 -0.00001694	 -0.00019974
aar	asm	Afar	Assamese	5	146	0	 -0.00001054	 -0.00008946
aar	ast	Afar	Asturian	5	341	0	 -0.00001611	 -0.00023681
aar	ava	Afar	Avaric	5	105	0	 -0.00000894	 -0.00002965
aar	aym	Afar	Aymara	5	118	0	 -0.00000948	 -0.00004239
aar	aze	Afar	Azerbaijani	5	1111	0	 -0.00002909	 -0.00108876
aar	bak	Afar	Bashkir	5	190	0	 -0.00001203	 -0.00008332
aar	bam	Afar	Bambara	5	12	0	 -0.00000302	 -0.00001002
aar	bar	Afar	Bavarian	5	515	0	 -0.00001980	 -0.00037046
aar	bel	Afar	Belarusian	5	507	0	 -0.00001965	 -0.00042685
aar	ben	Afar	Bengali	5	843	0	 -0.00002534	 -0.00080441
aar	bik	Afar	Bikol	5	58	0	 -0.00000664	 -0.00003255
aar	bis	Afar	Bislama	5	52	0	 -0.00000629	 -0.00002669
aar	bod	Afar	Tibetan	5	155	0	 -0.00001086	 -0.00010248
aar	bpy	Afar	Bishnupriya	5	116	0	 -0.00000940	 -0.00003759
aar	bre	Afar	Breton	5	359	0	 -0.00001653	 -0.00028683
aar	bua	Afar	Buriat	5	117	0	 -0.00000944	 -0.00003403
aar	bug	Afar	Buginese	5	143	0	 -0.00001043	 -0.00004427
aar	bul	Afar	Bulgarian	5	4122	0	 -0.00005606	 -0.00461171
aar	cat	Afar	Catalan	5	8075	0	 -0.00007853	 -0.00821195
aar	ceb	Afar	Cebuano	5	139	0	 -0.00001029	 -0.00009540
aar	ces	Afar	Czech	5	8493	0	 -0.00008054	 -0.00993879
aar	cha	Afar	Chamorro	5	62	0	 -0.00000687	 -0.00002279
aar	che	Afar	Chechen	5	121	0	 -0.00000960	 -0.00006366
aar	chm	Afar	Mari (Russia)	5	118	0	 -0.00000948	 -0.00004925
aar	cho	Afar	Choctaw	5	4	0	 -0.00000174	 -0.00000247
aar	chr	Afar	Cherokee	5	68	0	 -0.00000719	 -0.00003739
aar	chu	Afar	Church Slavic	5	178	0	 -0.00001164	 -0.00007544
aar	chv	Afar	Chuvash	5	238	0	 -0.00001346	 -0.00012483
aar	chy	Afar	Cheyenne	5	61	0	 -0.00000681	 -0.00001669
aar	cor	Afar	Cornish	5	65	0	 -0.00000703	 -0.00004719
aar	cos	Afar	Corsican	5	66	0	 -0.00000709	 -0.00005062
aar	cre	Afar	Cree	5	23	0	 -0.00000418	 -0.00001621
aar	crh	Afar	Crimean Tatar	5	139	0	 -0.00001029	 -0.00005819
aar	csb	Afar	Kashubian	5	89	0	 -0.00000823	 -0.00007128
aar	cym	Afar	Welsh	5	496	0	 -0.00001943	 -0.00041679
aar	dan	Afar	Danish	5	8164	0	 -0.00007896	 -0.00874564
aar	deu	Afar	German	5	103768	0	 -0.00028692	 -0.13586192
aar	div	Afar	Dhivehi	5	168	0	 -0.00001131	 -0.00008076
aar	dsb	Afar	Lower Sorbian	5	174	0	 -0.00001151	 -0.00005755
aar	dzo	Afar	Dzongkha	5	108	0	 -0.00000907	 -0.00002720
aar	ell	Afar	Modern Greek (1453-)	5	3789	0	 -0.00005375	 -0.00417629
aar	eml	Afar	Emiliano-Romagnolo	5	110	0	 -0.00000915	 -0.00007656
aar	eng	Afar	English	5	273987	1	  0.00042081	  0.53050095
aar	epo	Afar	Esperanto	5	2310	0	 -0.00004195	 -0.00177198
aar	est	Afar	Estonian	5	1956	0	 -0.00003860	 -0.00211538
aar	eus	Afar	Basque	5	1093	0	 -0.00002885	 -0.00101923
aar	ewe	Afar	Ewe	5	128	0	 -0.00000987	 -0.00004415
aar	ext	Afar	Extremaduran	5	139	0	 -0.00001029	 -0.00005819
aar	fao	Afar	Faroese	5	288	0	 -0.00001481	 -0.00016883
aar	fas	Afar	Persian	5	4738	0	 -0.00006011	 -0.00711253
aar	fij	Afar	Fijian	5	104	0	 -0.00000890	 -0.00002354
aar	fil	Afar	Filipino (macrolanguage)	5	713	0	 -0.00002330	 -0.00066274
aar	fin	Afar	Finnish	5	11484	0	 -0.00009371	 -0.01351786
