	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Twit.PopFrom	Wiki.PopFrom	Book.PopFrom	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV	Pop+GDPpc+Twit.PopFrom	Pop+GDPpc+Wiki.PopFrom	Pop+GDPpc+Book.PopFrom	Pop+GDPpc+Twit.PopFrom+Twit.EV	Pop+GDPpc+Wiki.PopFrom+Wiki.EV	Pop+GDPpc+Book.PopFrom+Book.EV
(Intercept)	-27.908	18.001	-11.857*	8.089	19.653	-0.174	16.286*	-19.368	-5.453	2.735	-10.695	4.754	3.014	-5.212	-0.517	-6.483
	(19.866)	(11.511)	(4.542)	(5.206)	(10.278)	(5.339)	(7.263)	(18.601)	(7.221)	(9.080)	(17.743)	(8.922)	(13.073)	(17.805)	(6.822)	(5.470)
pop	0.149***							0.078	-0.013	-0.013	0.048	-0.035	0.001	0.044	-0.029	0.008
	(0.034)							(0.040)	(0.015)	(0.019)	(0.039)	(0.020)	(0.028)	(0.039)	(0.015)	(0.012)
gdp.pc	0.002**							0.002*	-0.000	0.000	0.001	-0.000	0.001	0.001	-0.000	0.000
	(0.001)							(0.001)	(0.000)	(0.000)	(0.001)	(0.000)	(0.001)	(0.001)	(0.000)	(0.000)
twit.eig		459.882***						307.137**						-417.927		
		(88.426)						(108.425)						(271.113)		
wiki.eig			662.846***						693.330***						469.926***	
			(30.176)						(41.335)						(84.723)	
book.eig				595.837***						604.906***						1534.507***
				(34.575)						(46.349)						(110.439)
twit.popfrom					0.000***						0.000***			0.000**		
					(0.000)						(0.000)			(0.000)		
wiki.popfrom						0.002***						0.002***			0.001**	
						(0.000)						(0.000)			(0.000)	
book.popfrom							0.000***						0.000***			-0.001***
							(0.000)						(0.000)			(0.000)
sigma	74.138	72.468	26.293	32.707	65.844	32.473	46.602	68.502	26.482	32.732	64.088	32.030	46.600	63.013	24.253	19.347
R-squared	0.379	0.392	0.920	0.876	0.498	0.878	0.748	0.482	0.923	0.882	0.547	0.887	0.760	0.573	0.937	0.960
adj. R-squared	0.348	0.377	0.918	0.873	0.486	0.875	0.742	0.444	0.917	0.873	0.513	0.878	0.742	0.529	0.930	0.956
F	12.486	27.048	482.519	296.980	41.641	301.878	124.967	12.425	159.028	99.482	16.095	104.483	42.329	13.081	144.365	232.444
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44
