	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Twit.PopFrom	Wiki.PopFrom	Book.PopFrom	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV	Pop+GDPpc+Twit.PopFrom	Pop+GDPpc+Wiki.PopFrom	Pop+GDPpc+Book.PopFrom	Pop+GDPpc+Twit.PopFrom+Twit.EV	Pop+GDPpc+Wiki.PopFrom+Wiki.EV	Pop+GDPpc+Book.PopFrom+Book.EV
(Intercept)	-8.122***	2.158***	2.528***	2.798***	-0.827	-3.020***	-2.581***	-10.573***	-1.381	-0.379	-9.805***	-4.592*	-3.718**	-4.864	-2.631	-1.827
	(1.212)	(0.248)	(0.160)	(0.135)	(0.468)	(0.449)	(0.277)	(2.385)	(2.721)	(1.504)	(1.715)	(1.709)	(1.075)	(5.524)	(4.884)	(2.020)
pop	0.782***							0.943***	0.321	0.269*	0.967***	0.295	0.202	0.962***	0.301	0.218
	(0.106)							(0.172)	(0.195)	(0.109)	(0.171)	(0.205)	(0.118)	(0.172)	(0.209)	(0.119)
gdp.pc	1.862***							2.292***	0.679	0.545	2.369***	0.532	0.332	2.421***	0.593	0.395
	(0.259)							(0.443)	(0.496)	(0.275)	(0.450)	(0.548)	(0.305)	(0.454)	(0.575)	(0.309)
twit.eig		0.462***						-0.159						0.791		
		(0.104)						(0.133)						(0.840)		
wiki.eig			1.026***						0.678*						0.400	
			(0.109)						(0.251)						(0.931)	
book.eig				0.948***						0.722***						0.378
				(0.073)						(0.119)						(0.343)
twit.popfrom					0.460***						-0.184			-0.980		
					(0.105)						(0.135)			(0.857)		
wiki.popfrom						1.034***						0.736*			0.316	
						(0.110)						(0.275)			(1.017)	
book.popfrom							0.907***						0.756***			0.384
							(0.066)						(0.125)			(0.359)
sigma	0.394	0.565	0.358	0.275	0.568	0.359	0.263	0.391	0.354	0.256	0.388	0.354	0.257	0.389	0.360	0.255
R-squared	0.728	0.420	0.767	0.863	0.414	0.766	0.874	0.743	0.790	0.890	0.747	0.789	0.889	0.756	0.791	0.895
adj. R-squared	0.707	0.399	0.758	0.858	0.392	0.758	0.870	0.712	0.764	0.876	0.717	0.764	0.876	0.716	0.756	0.877
F	34.845	19.565	88.708	170.069	19.076	88.576	188.132	24.073	31.295	67.136	24.624	31.150	66.909	18.605	22.647	50.926
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
