twit.eig	twit.popfrom	wiki.eig	wiki.popfrom	book.eig	book.popfrom	gdp.pc	pop	cultexp	language
0.05422551	131637	0.03207688	6361	0.01588606	11884	8719.5625651	530	14.048	ara
5.05e-05	136	0.0039574	843	0.00334541	2223	2457.33401614	230	1.296	ben
0.010975	40534	0.02784782	8075	0.00949586	8328	30625.747	9	4.42	cat
0.01293374	37535	0.03311951	8493	0.02775867	17202	27062.243	12	26.712	ces
0.00467135	17932	0.03408103	8164	0.03020216	21239	37151.508	6	20	dan
0.01711333	44604	0.4787209	103768	0.26334749	201718	38268.2796026	185	329.912	deu
0.0061217	30542	0.01877043	3789	0.01143029	4862	26693.0809689	15	5.992	ell
0.69329476	3525628	0.65929841	273987	0.89803531	1225237	32952.654697	1500	466.258	eng
0.00138618	4130	0.04780708	11484	0.01160693	8296	36235.97	6	4.56	fin
0.03696668	97224	0.33783444	69366	0.29695532	216624	15102.6722995	200	255.743	fra
0.00486003	17091	0.00433051	1541	0.0014028	1346	30625.747	4	1.82	glg
0.003212	10655	0.03030069	7389	0.02696108	12743	12907.5138499	23	8.107	hbs
0.00043965	1172	0.00575338	1178	0.00247332	1469	3695.83888693	550	6.593	hin
0.00121054	2893	0.03845013	9488	0.02802628	11256	18671.7887242	15	17.62	hun
0.02517954	70750	0.15703838	33146	0.09374308	66453	30623.2300236	70	60.144	ita
0.04418507	143837	0.12399229	28951	0.04398496	26921	34739.655	132	57	jpn
0.10582998	270045	0.13486947	26888	0.03955701	18978	40518.2127388	27	47.2	nld
0.00436981	14433	0.06036022	13866	0.0106394	14530	53470.697	5	22	nor
0.00234695	5832	0.0938191	21517	0.02271051	14104	20326.4642435	43	20.538	pol
0.35208674	864037	0.10986822	22072	0.02105229	11390	11852.9173512	290	7.384	por
0.00157288	4834	0.02808689	6192	0.01328133	5475	11353.6063289	28	3.64	ron
0.01401232	41784	0.1516584	35178	0.08565274	101395	15487.109845	278	118	rus
0.00134281	5476	0.01036716	3485	0.00325322	4205	23432.3606287	7	3.804	slk
0.0004879	1752	0.00987944	2993	0.00428489	2463	28641.568	2	1.822	slv
0.34811446	919417	0.28746349	58791	0.08539987	52955	16776.6240904	500	63.012	spa
0.00728292	17619	0.0927484	20863	0.03363697	39192	40265.4412139	10	21.275	swe
3.36e-05	118	0.00285337	628	0.00050067	277	3693.529	80	1.152	tel
0.02408795	59095	0.0451629	10189	0.00340584	2658	14623.1660236	70	1.186	tur
0.00453649	15177	0.09375027	19201	0.01396375	13337	9206.98537851	1575	22.163	zho
