	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Twit.PopFrom	Wiki.PopFrom	Book.PopFrom	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV	Pop+GDPpc+Twit.PopFrom	Pop+GDPpc+Wiki.PopFrom	Pop+GDPpc+Book.PopFrom	Pop+GDPpc+Twit.PopFrom+Twit.EV	Pop+GDPpc+Wiki.PopFrom+Wiki.EV	Pop+GDPpc+Book.PopFrom+Book.EV
(Intercept)	-48.861	28.931	-18.821*	13.215	30.948	1.235	25.512*	-35.021	-14.493	11.343	-14.658	15.317	16.902	2.902	-2.403	-16.265
	(39.550)	(17.845)	(7.211)	(8.071)	(15.660)	(8.535)	(10.963)	(37.568)	(14.344)	(18.623)	(36.644)	(18.368)	(27.101)	(38.624)	(14.593)	(11.724)
pop	0.156**							0.085	-0.008	-0.019	0.049	-0.043	-0.011	0.036	-0.028	0.016
	(0.045)							(0.053)	(0.020)	(0.026)	(0.054)	(0.027)	(0.039)	(0.054)	(0.021)	(0.016)
gdp.pc	0.003*							0.002	-0.000	0.000	0.002	-0.000	0.000	0.001	-0.000	0.001
	(0.001)							(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)
twit.eig		434.338***						294.338*						-461.725		
		(111.300)						(136.091)						(356.884)		
wiki.eig			684.540***						699.126***						486.154***	
			(38.910)						(52.223)						(111.675)	
book.eig				585.233***						608.084***						1565.692***
				(43.520)						(59.284)						(143.413)
twit.popfrom					0.000***						0.000**			0.000*		
					(0.000)						(0.000)			(0.000)		
wiki.popfrom						0.002***						0.002***			0.001*	
						(0.000)						(0.000)			(0.000)	
book.popfrom							0.000***						0.000***			-0.001***
							(0.000)						(0.000)			(0.000)
sigma	91.217	88.750	31.439	40.005	80.020	40.352	56.132	85.378	32.547	40.761	80.156	39.955	57.714	79.097	30.483	24.116
R-squared	0.350	0.361	0.920	0.870	0.480	0.868	0.744	0.452	0.920	0.875	0.517	0.880	0.750	0.549	0.933	0.958
adj. R-squared	0.300	0.337	0.917	0.865	0.461	0.863	0.735	0.386	0.911	0.860	0.459	0.866	0.720	0.473	0.922	0.951
F	6.988	15.229	309.516	180.837	24.946	177.275	78.568	6.877	96.333	58.399	8.923	61.118	24.953	7.291	83.490	136.986
p	0.004	0.001	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000
N	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
