	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Twit.PopFrom	Wiki.PopFrom	Book.PopFrom	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV	Pop+GDPpc+Twit.PopFrom	Pop+GDPpc+Wiki.PopFrom	Pop+GDPpc+Book.PopFrom	Pop+GDPpc+Twit.PopFrom+Twit.EV	Pop+GDPpc+Wiki.PopFrom+Wiki.EV	Pop+GDPpc+Book.PopFrom+Book.EV
(Intercept)	-61.486	22.271	-20.625	10.360**	22.059	-7.020	24.583***	-56.641*	-12.968	4.846	-32.965	10.299	8.151	-5.600	11.187*	4.455
	(32.123)	(20.121)	(11.235)	(3.746)	(14.876)	(3.587)	(6.322)	(27.982)	(16.622)	(5.976)	(22.735)	(5.232)	(10.528)	(19.327)	(5.074)	(6.054)
pop	0.497***							0.294***	0.103*	0.044**	0.150*	-0.021	0.044	0.108*	-0.023	0.045**
	(0.070)							(0.075)	(0.045)	(0.016)	(0.064)	(0.015)	(0.029)	(0.054)	(0.015)	(0.017)
gdp.pc	0.004**							0.004**	-0.001	0.000	0.003**	-0.001***	0.001	0.002*	-0.001***	0.000
	(0.001)							(0.001)	(0.001)	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)
twit.eig		1263.361***						825.406***						-1671.253***		
		(164.701)						(178.174)						(299.352)		
wiki.eig			1770.493***						1657.892***						-189.285*	
			(91.967)						(121.105)						(81.589)	
book.eig				1797.679***						1730.512***						1813.488***
				(30.693)						(39.557)						(159.617)
twit.popfrom					0.000***						0.000***			0.001***		
					(0.000)						(0.000)			(0.000)		
wiki.popfrom						0.006***						0.006***			0.007***	
						(0.000)						(0.000)			(0.000)	
book.popfrom							0.001***						0.001***			-0.000
							(0.000)						(0.000)			(0.000)
sigma	157.939	157.022	83.721	29.555	117.814	27.643	50.609	137.484	79.846	28.418	110.477	24.754	49.775	90.847	23.935	28.580
R-squared	0.477	0.475	0.851	0.981	0.705	0.984	0.945	0.610	0.868	0.983	0.748	0.987	0.949	0.832	0.988	0.983
adj. R-squared	0.461	0.467	0.848	0.981	0.700	0.983	0.945	0.591	0.862	0.983	0.736	0.987	0.946	0.822	0.988	0.982
F	29.202	58.838	370.617	3430.486	154.980	3930.825	1127.120	32.846	138.641	1239.244	62.389	1640.030	389.807	76.991	1316.928	919.003
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
