	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Twit.PopFrom	Wiki.PopFrom	Book.PopFrom	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV	Pop+GDPpc+Twit.PopFrom	Pop+GDPpc+Wiki.PopFrom	Pop+GDPpc+Book.PopFrom	Pop+GDPpc+Twit.PopFrom+Twit.EV	Pop+GDPpc+Wiki.PopFrom+Wiki.EV	Pop+GDPpc+Book.PopFrom+Book.EV
(Intercept)	-4.450***	2.240***	2.626***	2.651***	-0.263	-1.396***	-0.824***	-3.746***	1.415	-0.064	-4.140***	-1.610*	-1.848**	-3.491**	-1.483	-1.522
	(0.529)	(0.158)	(0.112)	(0.132)	(0.213)	(0.198)	(0.174)	(0.872)	(1.315)	(1.018)	(0.651)	(0.715)	(0.618)	(1.159)	(2.365)	(1.103)
pop	0.669***							0.615***	0.254*	0.397***	0.622***	0.244*	0.363***	0.623***	0.243*	0.358***
	(0.060)							(0.080)	(0.102)	(0.077)	(0.084)	(0.098)	(0.072)	(0.084)	(0.101)	(0.074)
gdp.pc	1.156***							1.041***	0.138	0.400*	1.050***	0.068	0.257	1.062***	0.067	0.246
	(0.120)							(0.166)	(0.238)	(0.188)	(0.177)	(0.237)	(0.183)	(0.179)	(0.240)	(0.187)
twit.eig		0.362***						0.055						0.103		
		(0.051)						(0.054)						(0.152)		
wiki.eig			0.731***						0.583***						0.023	
			(0.054)						(0.123)						(0.401)	
book.eig				0.588***						0.376***						0.050
				(0.050)						(0.078)						(0.141)
twit.popfrom					0.397***						0.051			-0.059		
					(0.054)						(0.062)			(0.173)		
wiki.popfrom						0.752***						0.633***			0.610	
						(0.056)						(0.125)			(0.416)	
book.popfrom							0.597***						0.438***			0.394**
							(0.049)						(0.076)			(0.145)
sigma	0.358	0.507	0.338	0.378	0.498	0.339	0.366	0.358	0.306	0.305	0.359	0.300	0.287	0.361	0.303	0.289
R-squared	0.734	0.457	0.759	0.698	0.476	0.757	0.717	0.739	0.810	0.811	0.737	0.817	0.833	0.739	0.817	0.833
adj. R-squared	0.725	0.447	0.755	0.693	0.467	0.753	0.712	0.725	0.800	0.801	0.723	0.807	0.824	0.721	0.804	0.821
F	80.102	49.588	185.563	136.233	53.629	183.651	149.402	53.774	80.785	81.416	53.327	84.616	94.479	39.733	62.353	69.808
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61
