	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Twit.PopFrom	Wiki.PopFrom	Book.PopFrom	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV	Pop+GDPpc+Twit.PopFrom	Pop+GDPpc+Wiki.PopFrom	Pop+GDPpc+Book.PopFrom	Pop+GDPpc+Twit.PopFrom+Twit.EV	Pop+GDPpc+Wiki.PopFrom+Wiki.EV	Pop+GDPpc+Book.PopFrom+Book.EV
(Intercept)	-72.590	24.584	-23.189	11.367**	24.279	-7.832	26.999***	-67.391*	-15.160	5.626	-39.654	12.490*	9.501	-6.890	13.491*	5.212
	(36.626)	(22.222)	(12.442)	(4.115)	(16.392)	(3.956)	(6.894)	(31.915)	(19.114)	(6.893)	(26.018)	(5.960)	(12.096)	(22.285)	(5.797)	(7.000)
pop	0.500***							0.299***	0.104*	0.043*	0.154*	-0.024	0.042	0.107	-0.025	0.045*
	(0.073)							(0.078)	(0.048)	(0.017)	(0.068)	(0.016)	(0.031)	(0.056)	(0.015)	(0.018)
gdp.pc	0.005**							0.004**	-0.001	0.000	0.003**	-0.001***	0.001	0.002*	-0.001***	0.000
	(0.002)							(0.001)	(0.001)	(0.000)	(0.001)	(0.000)	(0.001)	(0.001)	(0.000)	(0.000)
twit.eig		1257.676***						820.723***						-1672.076***		
		(173.561)						(185.906)						(315.099)		
wiki.eig			1779.120***						1665.563***						-183.435*	
			(97.183)						(128.483)						(85.121)	
book.eig				1795.495***						1730.443***						1804.972***
				(32.165)						(41.804)						(168.499)
twit.popfrom					0.000***						0.000***			0.001***		
					(0.000)						(0.000)			(0.000)		
wiki.popfrom						0.006***						0.006***			0.007***	
						(0.000)						(0.000)			(0.000)	
book.popfrom							0.001***						0.001***			-0.000
							(0.000)						(0.000)			(0.000)
sigma	164.612	164.659	87.582	30.858	123.459	28.909	52.539	143.342	83.568	29.794	115.389	25.595	51.928	94.963	24.815	30.003
R-squared	0.480	0.471	0.850	0.981	0.703	0.984	0.946	0.613	0.868	0.983	0.749	0.988	0.949	0.833	0.989	0.983
adj. R-squared	0.462	0.462	0.848	0.981	0.698	0.983	0.945	0.592	0.861	0.982	0.736	0.987	0.946	0.821	0.988	0.982
F	26.787	52.509	335.144	3116.016	139.353	3558.481	1036.265	30.047	125.305	1116.283	56.688	1519.285	354.724	69.814	1213.470	825.641
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61
