	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Twit.PopFrom	Wiki.PopFrom	Book.PopFrom	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV	Pop+GDPpc+Twit.PopFrom	Pop+GDPpc+Wiki.PopFrom	Pop+GDPpc+Book.PopFrom	Pop+GDPpc+Twit.PopFrom+Twit.EV	Pop+GDPpc+Wiki.PopFrom+Wiki.EV	Pop+GDPpc+Book.PopFrom+Book.EV
(Intercept)	-8.949***	2.172***	2.341***	2.796***	-1.570***	-3.109***	-2.834***	-8.587***	-7.285*	-1.769	-9.831***	-8.494***	-4.817**	-2.815	-4.164	-3.083
	(0.950)	(0.273)	(0.214)	(0.200)	(0.437)	(0.453)	(0.306)	(1.783)	(2.773)	(2.444)	(1.225)	(1.560)	(1.570)	(1.993)	(4.937)	(3.197)
pop	0.858***							0.833***	0.742**	0.371	0.982***	0.791***	0.329	0.963***	0.763**	0.329
	(0.110)							(0.153)	(0.213)	(0.185)	(0.155)	(0.213)	(0.196)	(0.130)	(0.216)	(0.197)
gdp.pc	2.004***							1.943***	1.712**	0.781	2.304***	1.829**	0.601	2.275***	1.802**	0.635
	(0.209)							(0.329)	(0.503)	(0.433)	(0.337)	(0.518)	(0.485)	(0.284)	(0.519)	(0.492)
twit.eig		0.583***						0.028						1.044***		
		(0.096)						(0.114)						(0.254)		
wiki.eig			0.986***						0.163						0.767	
			(0.113)						(0.254)						(0.830)	
book.eig				1.010***						0.648**						0.333
				(0.088)						(0.207)						(0.533)
twit.popfrom					0.566***						-0.139			-1.195***		
					(0.107)						(0.123)			(0.277)		
wiki.popfrom						1.020***						0.100			-0.676	
						(0.120)						(0.271)			(0.882)	
book.popfrom							0.944***						0.670**			0.354
							(0.081)						(0.213)			(0.550)
sigma	0.523	0.724	0.592	0.485	0.770	0.602	0.479	0.529	0.527	0.473	0.521	0.528	0.473	0.439	0.529	0.477
R-squared	0.733	0.474	0.649	0.764	0.405	0.637	0.770	0.733	0.735	0.787	0.741	0.734	0.787	0.821	0.739	0.789
adj. R-squared	0.719	0.461	0.640	0.759	0.391	0.628	0.764	0.713	0.715	0.770	0.721	0.713	0.770	0.802	0.712	0.767
F	54.812	36.943	75.813	133.007	27.936	71.906	137.230	35.700	36.137	47.912	37.231	35.798	47.952	43.558	26.962	35.498
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43
