	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Twit.PopFrom	Wiki.PopFrom	Book.PopFrom	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV	Pop+GDPpc+Twit.PopFrom	Pop+GDPpc+Wiki.PopFrom	Pop+GDPpc+Book.PopFrom	Pop+GDPpc+Twit.PopFrom+Twit.EV	Pop+GDPpc+Wiki.PopFrom+Wiki.EV	Pop+GDPpc+Book.PopFrom+Book.EV
(Intercept)	-9.072***	2.081***	2.273***	2.813***	-1.459**	-3.046***	-2.902***	-8.701***	-7.481*	-1.877	-9.903***	-8.622***	-4.927**	-2.629	-3.468	-3.612
	(1.025)	(0.293)	(0.227)	(0.221)	(0.463)	(0.483)	(0.332)	(1.833)	(2.934)	(2.473)	(1.273)	(1.623)	(1.581)	(2.084)	(6.131)	(3.297)
pop	0.876***							0.850***	0.762**	0.391*	0.992***	0.809***	0.347	0.950***	0.747**	0.344
	(0.122)							(0.162)	(0.232)	(0.190)	(0.162)	(0.222)	(0.197)	(0.136)	(0.234)	(0.199)
gdp.pc	2.028***							1.966***	1.748**	0.804	2.315***	1.856**	0.599	2.260***	1.780**	0.625
	(0.223)							(0.340)	(0.533)	(0.439)	(0.344)	(0.529)	(0.486)	(0.290)	(0.538)	(0.495)
twit.eig		0.554***						0.028						1.059***		
		(0.102)						(0.116)						(0.260)		
wiki.eig			0.955***						0.152						0.875	
			(0.119)						(0.262)						(1.003)	
book.eig				1.016***						0.655**						0.250
				(0.096)						(0.209)						(0.548)
twit.popfrom					0.534***						-0.137			-1.213***		
					(0.116)						(0.125)			(0.285)		
wiki.popfrom						1.001***						0.099			-0.783	
						(0.130)						(0.275)			(1.049)	
book.popfrom							0.965***						0.698**			0.457
							(0.089)						(0.216)			(0.571)
sigma	0.529	0.726	0.593	0.491	0.774	0.608	0.483	0.535	0.533	0.477	0.527	0.535	0.474	0.444	0.536	0.479
R-squared	0.703	0.425	0.617	0.738	0.347	0.597	0.746	0.704	0.706	0.764	0.712	0.704	0.767	0.801	0.710	0.768
adj. R-squared	0.688	0.411	0.608	0.731	0.331	0.587	0.740	0.680	0.683	0.746	0.690	0.681	0.749	0.780	0.679	0.743
F	46.220	29.596	64.462	112.617	21.265	59.367	117.436	30.091	30.401	41.082	31.368	30.170	41.708	37.315	22.674	30.681
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42
