	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Twit.PopFrom	Wiki.PopFrom	Book.PopFrom	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV	Pop+GDPpc+Twit.PopFrom	Pop+GDPpc+Wiki.PopFrom	Pop+GDPpc+Book.PopFrom	Pop+GDPpc+Twit.PopFrom+Twit.EV	Pop+GDPpc+Wiki.PopFrom+Wiki.EV	Pop+GDPpc+Book.PopFrom+Book.EV
(Intercept)	-4.809***	2.662***	3.073***	3.157***	-0.121	-1.315***	-0.767***	-4.267***	1.211	0.267	-4.542***	-1.838**	-1.811**	-4.265***	-2.596	-1.575
	(0.509)	(0.167)	(0.105)	(0.121)	(0.216)	(0.178)	(0.147)	(0.856)	(1.284)	(0.934)	(0.628)	(0.683)	(0.529)	(1.159)	(2.306)	(0.970)
pop	0.703***							0.661***	0.265*	0.380***	0.660***	0.246*	0.333***	0.661***	0.253*	0.329***
	(0.058)							(0.079)	(0.101)	(0.071)	(0.082)	(0.096)	(0.063)	(0.083)	(0.098)	(0.065)
gdp.pc	1.313***							1.224***	0.271	0.442*	1.220***	0.182	0.280	1.224***	0.190	0.271
	(0.116)							(0.162)	(0.231)	(0.172)	(0.171)	(0.227)	(0.157)	(0.173)	(0.230)	(0.161)
twit.eig		0.401***						0.043						0.043		
		(0.053)						(0.054)						(0.152)		
wiki.eig			0.792***						0.595***						-0.134	
			(0.049)						(0.119)						(0.388)	
book.eig				0.664***						0.437***						0.036
				(0.046)						(0.073)						(0.124)
twit.popfrom					0.443***						0.045			-0.000		
					(0.056)						(0.062)			(0.172)		
wiki.popfrom						0.823***						0.659***			0.792	
						(0.050)						(0.120)			(0.402)	
book.popfrom							0.676***						0.509***			0.478***
							(0.042)						(0.066)			(0.125)
sigma	0.359	0.538	0.327	0.352	0.522	0.322	0.324	0.360	0.303	0.284	0.360	0.294	0.254	0.363	0.296	0.256
R-squared	0.773	0.480	0.808	0.777	0.510	0.813	0.811	0.775	0.840	0.859	0.775	0.850	0.888	0.775	0.850	0.888
adj. R-squared	0.765	0.471	0.805	0.773	0.502	0.810	0.808	0.764	0.832	0.852	0.764	0.842	0.882	0.760	0.840	0.880
F	102.109	56.309	257.376	212.493	63.492	266.071	261.846	67.854	103.331	120.247	67.731	111.266	155.290	50.028	82.233	114.682
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63
