	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-4.184***	2.118***	2.414***	2.226***	-3.404***	2.346	0.552
	(0.516)	(0.154)	(0.104)	(0.111)	(0.869)	(1.282)	(1.134)
pop	0.678***				0.617***	0.187	0.364***
	(0.063)				(0.083)	(0.105)	(0.088)
gdp.pc	1.084***				0.954***	-0.068	0.220
	(0.117)				(0.165)	(0.234)	(0.216)
twit.eig		0.355***			0.062		
		(0.051)			(0.056)		
wiki.eig			0.697***			0.652***	
			(0.052)			(0.121)	
book.eig				0.455***			0.336***
				(0.041)			(0.074)
sigma	0.369	0.505	0.340	0.392	0.368	0.304	0.320
R-squared	0.710	0.447	0.749	0.667	0.716	0.806	0.785
adj. R-squared	0.700	0.438	0.745	0.661	0.701	0.796	0.774
F	73.361	49.240	181.962	122.108	49.515	81.598	71.801
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	63	63	63	63	63	63	63
