	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-4.679***	2.602***	2.915***	2.721***	-4.162***	1.242	-0.564
	(0.481)	(0.156)	(0.095)	(0.106)	(0.836)	(1.245)	(1.110)
pop	0.698***				0.657***	0.258*	0.429***
	(0.057)				(0.079)	(0.100)	(0.084)
gdp.pc	1.283***				1.198***	0.242	0.533*
	(0.110)				(0.158)	(0.227)	(0.211)
twit.eig		0.403***			0.041		
		(0.052)			(0.054)		
wiki.eig			0.782***			0.598***	
			(0.048)			(0.119)	
book.eig				0.516***			0.296***
				(0.040)			(0.074)
sigma	0.357	0.534	0.326	0.391	0.359	0.302	0.320
R-squared	0.778	0.496	0.812	0.730	0.780	0.844	0.825
adj. R-squared	0.770	0.488	0.809	0.726	0.769	0.836	0.816
F	106.643	61.017	267.872	167.694	70.785	107.880	94.166
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	64	64	64	64	64	64	64
