	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Twit.PopFrom	Wiki.PopFrom	Book.PopFrom	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV	Pop+GDPpc+Twit.PopFrom	Pop+GDPpc+Wiki.PopFrom	Pop+GDPpc+Book.PopFrom	Pop+GDPpc+Twit.PopFrom+Twit.EV	Pop+GDPpc+Wiki.PopFrom+Wiki.EV	Pop+GDPpc+Book.PopFrom+Book.EV
(Intercept)	-7.887***	2.359***	2.530***	3.021***	-0.865	-2.275***	-2.216***	-9.167***	-10.309**	-2.582	-9.957***	-9.946***	-5.069*	-1.287	0.143	-2.626
	(1.143)	(0.320)	(0.273)	(0.269)	(0.508)	(0.586)	(0.421)	(2.133)	(3.329)	(3.164)	(1.405)	(1.834)	(2.046)	(2.202)	(5.610)	(4.163)
pop	0.958***							1.047***	1.127***	0.597*	1.248***	1.263***	0.597*	1.224***	1.198***	0.596*
	(0.132)							(0.183)	(0.256)	(0.239)	(0.177)	(0.251)	(0.255)	(0.144)	(0.245)	(0.257)
gdp.pc	1.795***							2.011***	2.221***	0.892	2.499***	2.586***	0.839	2.464***	2.523***	0.887
	(0.252)							(0.394)	(0.604)	(0.561)	(0.386)	(0.608)	(0.632)	(0.314)	(0.590)	(0.640)
twit.eig		0.516***						-0.098						1.290***		
		(0.113)						(0.137)						(0.280)		
wiki.eig			0.885***						-0.237						1.787	
			(0.145)						(0.306)						(0.943)	
book.eig				0.945***						0.479						0.469
				(0.118)						(0.268)						(0.694)
twit.popfrom					0.479***						-0.327*			-1.632***		
					(0.125)						(0.141)			(0.306)		
wiki.popfrom						0.892***						-0.455			-2.262*	
						(0.156)						(0.319)			(1.002)	
book.popfrom							0.875***						0.457			0.012
							(0.111)						(0.278)			(0.716)
sigma	0.629	0.849	0.755	0.651	0.896	0.778	0.657	0.633	0.632	0.612	0.597	0.621	0.616	0.485	0.602	0.620
R-squared	0.646	0.339	0.477	0.612	0.265	0.445	0.604	0.651	0.652	0.673	0.689	0.664	0.669	0.800	0.693	0.673
adj. R-squared	0.629	0.323	0.465	0.602	0.247	0.431	0.594	0.624	0.625	0.648	0.665	0.638	0.644	0.779	0.660	0.639
F	36.530	21.046	37.460	64.556	14.766	32.851	62.542	24.223	24.311	26.766	28.819	25.657	26.295	38.093	21.422	19.560
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43
