	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Twit.PopFrom	Wiki.PopFrom	Book.PopFrom	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV	Pop+GDPpc+Twit.PopFrom	Pop+GDPpc+Wiki.PopFrom	Pop+GDPpc+Book.PopFrom	Pop+GDPpc+Twit.PopFrom+Twit.EV	Pop+GDPpc+Wiki.PopFrom+Wiki.EV	Pop+GDPpc+Book.PopFrom+Book.EV
(Intercept)	-4.406***	2.272***	2.632***	2.673***	-0.372	-1.454***	-0.900***	-3.605***	1.891	0.199	-4.017***	-1.351	-1.656**	-3.569**	-1.454	-1.541
	(0.525)	(0.162)	(0.113)	(0.136)	(0.211)	(0.195)	(0.171)	(0.878)	(1.316)	(1.029)	(0.644)	(0.706)	(0.601)	(1.189)	(2.385)	(1.103)
pop	0.700***							0.637***	0.242*	0.407***	0.638***	0.230*	0.361***	0.639***	0.231*	0.359***
	(0.060)							(0.081)	(0.103)	(0.078)	(0.084)	(0.099)	(0.072)	(0.085)	(0.102)	(0.074)
gdp.pc	1.132***							1.001***	0.042	0.341	0.997***	-0.031	0.185	1.003***	-0.030	0.180
	(0.120)							(0.166)	(0.237)	(0.189)	(0.176)	(0.234)	(0.178)	(0.178)	(0.237)	(0.183)
twit.eig		0.383***						0.064						0.070		
		(0.052)						(0.056)						(0.156)		
wiki.eig			0.740***						0.622***						-0.018	
			(0.053)						(0.122)						(0.402)	
book.eig				0.605***						0.397***						0.018
				(0.051)						(0.080)						(0.141)
twit.popfrom					0.419***						0.066			-0.008		
					(0.054)						(0.063)			(0.177)		
wiki.popfrom						0.766***						0.678***			0.696	
						(0.055)						(0.124)			(0.416)	
book.popfrom							0.615***						0.466***			0.451**
							(0.048)						(0.074)			(0.142)
sigma	0.370	0.522	0.351	0.397	0.511	0.352	0.376	0.369	0.311	0.313	0.370	0.304	0.289	0.372	0.306	0.291
R-squared	0.739	0.472	0.761	0.695	0.494	0.759	0.725	0.745	0.819	0.816	0.744	0.827	0.843	0.745	0.827	0.843
adj. R-squared	0.731	0.463	0.757	0.690	0.486	0.756	0.721	0.732	0.809	0.807	0.731	0.818	0.835	0.727	0.815	0.833
F	85.067	54.421	193.795	138.941	59.549	192.621	161.029	57.422	88.766	87.292	57.157	93.983	105.896	42.338	69.295	78.100
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63
