	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Twit.PopFrom	Wiki.PopFrom	Book.PopFrom	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV	Pop+GDPpc+Twit.PopFrom	Pop+GDPpc+Wiki.PopFrom	Pop+GDPpc+Book.PopFrom	Pop+GDPpc+Twit.PopFrom+Twit.EV	Pop+GDPpc+Wiki.PopFrom+Wiki.EV	Pop+GDPpc+Book.PopFrom+Book.EV
(Intercept)	-4.280***	2.172***	2.557***	2.599***	-0.276	-1.368***	-0.842***	-3.481***	2.383	0.250	-3.912***	-1.223	-1.646**	-3.360**	-0.105	-1.511
	(0.549)	(0.165)	(0.115)	(0.143)	(0.215)	(0.201)	(0.179)	(0.894)	(1.328)	(1.036)	(0.661)	(0.717)	(0.609)	(1.219)	(2.686)	(1.125)
pop	0.682***							0.620***	0.191	0.397***	0.623***	0.212*	0.359***	0.623***	0.199	0.356***
	(0.064)							(0.084)	(0.106)	(0.079)	(0.087)	(0.101)	(0.073)	(0.087)	(0.106)	(0.075)
gdp.pc	1.105***							0.975***	-0.051	0.329	0.977***	-0.057	0.184	0.983***	-0.074	0.179
	(0.125)							(0.169)	(0.240)	(0.191)	(0.179)	(0.236)	(0.179)	(0.180)	(0.241)	(0.185)
twit.eig		0.354***						0.063						0.085		
		(0.053)						(0.056)						(0.157)		
wiki.eig			0.708***						0.649***						0.193	
			(0.054)						(0.122)						(0.446)	
book.eig				0.579***						0.394***						0.020
				(0.053)						(0.080)						(0.143)
twit.popfrom					0.389***						0.064			-0.026		
					(0.056)						(0.064)			(0.178)		
wiki.popfrom						0.738***						0.678***			0.488	
						(0.057)						(0.124)			(0.458)	
book.popfrom							0.596***						0.465***			0.447**
							(0.052)						(0.076)			(0.145)
sigma	0.371	0.509	0.341	0.392	0.502	0.348	0.376	0.370	0.306	0.315	0.371	0.304	0.291	0.373	0.306	0.294
R-squared	0.703	0.431	0.744	0.661	0.445	0.733	0.689	0.709	0.801	0.790	0.708	0.804	0.819	0.709	0.804	0.820
adj. R-squared	0.693	0.421	0.740	0.656	0.436	0.729	0.684	0.694	0.790	0.779	0.693	0.794	0.810	0.689	0.791	0.807
F	69.724	45.357	174.567	117.167	48.136	164.707	132.807	47.131	77.625	72.542	46.818	79.232	87.752	34.758	58.638	64.708
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62
