	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-8.949***	2.079***	2.163***	2.112***	-8.592***	-7.314*	-1.949
	(0.950)	(0.259)	(0.195)	(0.162)	(1.767)	(2.729)	(3.020)
pop	0.858***				0.833***	0.742**	0.444*
	(0.110)				(0.153)	(0.213)	(0.200)
gdp.pc	2.004***				1.943***	1.712**	0.693
	(0.209)				(0.329)	(0.503)	(0.575)
twit.eig		0.583***			0.028		
		(0.096)			(0.114)		
wiki.eig			0.986***			0.163	
			(0.113)			(0.254)	
book.eig				0.729***			0.476*
				(0.070)			(0.196)
sigma	0.523	0.724	0.592	0.524	0.529	0.527	0.493
R-squared	0.733	0.474	0.649	0.725	0.733	0.735	0.768
adj. R-squared	0.719	0.461	0.640	0.718	0.713	0.715	0.750
F	54.812	36.943	75.813	107.856	35.700	36.137	42.975
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	43	43	43	43	43	43	43
