	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-9.072***	1.992***	2.101***	2.053***	-8.705***	-7.509*	-1.769
	(1.025)	(0.279)	(0.208)	(0.169)	(1.818)	(2.889)	(3.223)
pop	0.876***				0.850***	0.762**	0.428
	(0.122)				(0.162)	(0.232)	(0.221)
gdp.pc	2.028***				1.966***	1.748**	0.659
	(0.223)				(0.340)	(0.533)	(0.614)
twit.eig		0.554***			0.028		
		(0.102)			(0.116)		
wiki.eig			0.955***			0.152	
			(0.119)			(0.262)	
book.eig				0.707***			0.484*
				(0.073)			(0.204)
sigma	0.529	0.726	0.593	0.522	0.535	0.533	0.500
R-squared	0.703	0.425	0.617	0.703	0.704	0.706	0.742
adj. R-squared	0.688	0.411	0.608	0.695	0.680	0.683	0.721
F	46.220	29.596	64.462	94.549	30.091	30.401	36.366
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	42	42	42	42	42	42	42
