	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-8.949***	0.085	-0.254	-0.104	-8.938***	-6.866***	-8.007***
	(0.950)	(0.213)	(0.145)	(0.179)	(1.062)	(1.444)	(1.132)
pop	0.858***				0.857***	0.624***	0.722***
	(0.110)				(0.134)	(0.165)	(0.143)
gdp.pc	2.004***				2.001***	1.514***	1.781***
	(0.209)				(0.239)	(0.331)	(0.255)
twit.eig		3.280**			0.017		
		(0.956)			(0.708)		
wiki.eig			4.206***			1.408	
			(0.512)			(0.752)	
book.eig				3.808***			0.958
				(0.689)			(0.648)
sigma	0.523	0.880	0.614	0.756	0.529	0.507	0.515
R-squared	0.733	0.223	0.622	0.427	0.733	0.755	0.747
adj. R-squared	0.719	0.204	0.613	0.413	0.712	0.736	0.727
F	54.812	11.774	67.452	30.519	35.628	40.001	38.354
p	0.000	0.001	0.000	0.000	0.000	0.000	0.000
N	43	43	43	43	43	43	43
