	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-7.887***	2.277***	2.370***	2.345***	-9.152***	-10.266**	-3.417
	(1.143)	(0.304)	(0.250)	(0.216)	(2.115)	(3.277)	(3.827)
pop	0.958***				1.047***	1.127***	0.693**
	(0.132)				(0.183)	(0.256)	(0.253)
gdp.pc	1.795***				2.011***	2.221***	0.959
	(0.252)				(0.394)	(0.604)	(0.729)
twit.eig		0.516***			-0.098		
		(0.113)			(0.137)		
wiki.eig			0.885***			-0.237	
			(0.145)			(0.306)	
book.eig				0.665***			0.304
				(0.094)			(0.248)
sigma	0.629	0.849	0.755	0.701	0.633	0.632	0.625
R-squared	0.646	0.339	0.477	0.550	0.651	0.652	0.659
adj. R-squared	0.629	0.323	0.465	0.539	0.624	0.625	0.633
F	36.530	21.045	37.460	50.181	24.223	24.311	25.154
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	43	43	43	43	43	43	43
