	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-6.769***	1.506***	1.908***	2.003***	-6.802***	-2.163	-2.795
	(0.721)	(0.209)	(0.156)	(0.180)	(1.244)	(1.930)	(1.616)
pop	0.783***				0.786***	0.449**	0.523***
	(0.081)				(0.113)	(0.152)	(0.123)
gdp.pc	1.455***				1.461***	0.658	0.776*
	(0.161)				(0.233)	(0.348)	(0.293)
twit.eig		0.412***			-0.002		
		(0.069)			(0.076)		
wiki.eig			0.839***			0.456*	
			(0.078)			(0.179)	
book.eig				0.710***			0.346**
				(0.073)			(0.128)
sigma	0.449	0.632	0.459	0.490	0.453	0.427	0.423
R-squared	0.706	0.406	0.686	0.643	0.706	0.739	0.743
adj. R-squared	0.695	0.394	0.680	0.637	0.689	0.724	0.728
F	62.476	36.172	115.939	95.609	40.851	48.245	49.186
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	55	55	55	55	55	55	55
