	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-6.060***	1.448***	1.757***	2.092***	-6.789***	-1.052	-0.302
	(1.066)	(0.218)	(0.148)	(0.149)	(1.769)	(2.166)	(1.386)
pop	0.585***				0.635***	0.256	0.240*
	(0.115)				(0.152)	(0.165)	(0.109)
gdp.pc	1.388***				1.513***	0.493	0.406
	(0.226)				(0.331)	(0.403)	(0.256)
twit.eig		0.289**			-0.051		
		(0.084)			(0.097)		
wiki.eig			0.673***			0.467*	
			(0.092)			(0.180)	
book.eig				0.697***			0.551***
				(0.074)			(0.109)
sigma	0.379	0.494	0.350	0.294	0.384	0.347	0.281
R-squared	0.586	0.275	0.636	0.743	0.590	0.664	0.780
adj. R-squared	0.559	0.252	0.624	0.735	0.548	0.629	0.758
F	21.257	11.768	54.151	89.758	13.917	19.105	34.322
p	0.000	0.002	0.000	0.000	0.000	0.000	0.000
N	33	33	33	33	33	33	33
